,Year,Subregion,City,Total activities,non-urgent activity,technical assistance,preventive device,dangerous leaks,urban fire,vegetation fire,mobility,practicesal,rescues,simulacrum,technical support
0,2009,Fora de Catalunya,Fora de Catalunya,27.0,1.0,1.0,,,5.0,8.0,4.0,2.0,3.0,1.0,2.0
1,2009,Alt Camp,Aiguamúrcia,49.0,11.0,9.0,2.0,,5.0,14.0,7.0,,1.0,,
2,2009,Alt Camp,Alcover,122.0,9.0,26.0,13.0,4.0,21.0,24.0,21.0,,4.0,,
3,2009,Alt Camp,Alió,20.0,,4.0,,,4.0,3.0,9.0,,,,
4,2009,Alt Camp,Bràfim,4.0,,2.0,,,,1.0,1.0,,,,
5,2009,Alt Camp,Cabra del Camp,49.0,7.0,29.0,,,1.0,6.0,3.0,1.0,2.0,,
6,2009,Alt Camp,Figuerola del Camp,14.0,8.0,2.0,,,,3.0,1.0,,,,
7,2009,Alt Camp,Garidells,5.0,,,,,1.0,3.0,1.0,,,,
8,2009,Alt Camp,Masó,5.0,,1.0,,,1.0,2.0,,,1.0,,
9,2009,Alt Camp,Milà,6.0,,1.0,,,2.0,2.0,,,1.0,,
10,2009,Alt Camp,Montferri,18.0,3.0,2.0,1.0,,2.0,6.0,2.0,1.0,,1.0,
11,2009,Alt Camp,Mont-ral,10.0,1.0,1.0,,,1.0,2.0,1.0,1.0,3.0,,
12,2009,Alt Camp,Nulles,15.0,,2.0,,,1.0,11.0,1.0,,,,
13,2009,Alt Camp,Pla de Santa Maria,47.0,4.0,8.0,1.0,,8.0,12.0,12.0,2.0,,,
14,2009,Alt Camp,Pont d'Armentera,11.0,1.0,5.0,,,,1.0,2.0,,2.0,,
15,2009,Alt Camp,Puigpelat,15.0,3.0,2.0,,,1.0,4.0,2.0,,1.0,2.0,
16,2009,Alt Camp,Querol,23.0,1.0,9.0,,,3.0,2.0,3.0,,5.0,,
17,2009,Alt Camp,Riba,21.0,6.0,3.0,,,,3.0,4.0,1.0,3.0,1.0,
18,2009,Alt Camp,Rodonyà,14.0,1.0,1.0,,1.0,3.0,4.0,4.0,,,,
19,2009,Alt Camp,Rourell,3.0,,,,,1.0,1.0,1.0,,,,
20,2009,Alt Camp,Vallmoll,22.0,2.0,5.0,,,5.0,5.0,4.0,,1.0,,
21,2009,Alt Camp,Valls,401.0,45.0,102.0,21.0,3.0,81.0,63.0,49.0,4.0,30.0,3.0,
22,2009,Alt Camp,Vilabella,12.0,,,,,5.0,5.0,1.0,,1.0,,
23,2009,Alt Camp,Vila-rodona,59.0,16.0,7.0,3.0,1.0,3.0,12.0,7.0,5.0,4.0,,1.0
24,2009,Alt Empordà,Agullana,48.0,37.0,1.0,,,2.0,2.0,6.0,,,,
25,2009,Alt Empordà,Albanyà,7.0,2.0,,,,,,,1.0,4.0,,
26,2009,Alt Empordà,Armentera,9.0,5.0,,,,,2.0,2.0,,,,
27,2009,Alt Empordà,Avinyonet de Puigventós,16.0,4.0,,,,6.0,3.0,3.0,,,,
28,2009,Alt Empordà,Bàscara,222.0,43.0,3.0,125.0,,5.0,2.0,32.0,12.0,,,
29,2009,Alt Empordà,Biure,21.0,5.0,2.0,1.0,,,2.0,9.0,,2.0,,
30,2009,Alt Empordà,Boadella d'Empordà,8.0,3.0,,,,1.0,1.0,2.0,1.0,,,
31,2009,Alt Empordà,Borrassà,13.0,1.0,1.0,,,2.0,1.0,6.0,,2.0,,
32,2009,Alt Empordà,Cabanelles,69.0,58.0,1.0,3.0,,2.0,,5.0,,,,
33,2009,Alt Empordà,Cabanes,12.0,2.0,,,1.0,2.0,3.0,4.0,,,,
34,2009,Alt Empordà,Cadaqués,106.0,53.0,8.0,,2.0,12.0,5.0,11.0,1.0,14.0,,
35,2009,Alt Empordà,Cantallops,38.0,34.0,1.0,,,,2.0,1.0,,,,
36,2009,Alt Empordà,Capmany,55.0,37.0,1.0,,,2.0,3.0,12.0,,,,
37,2009,Alt Empordà,Castelló d'Empúries,205.0,28.0,11.0,4.0,2.0,62.0,20.0,44.0,1.0,30.0,1.0,2.0
38,2009,Alt Empordà,Cistella,5.0,1.0,,,,2.0,1.0,,,1.0,,
39,2009,Alt Empordà,Colera,34.0,20.0,,,1.0,3.0,1.0,5.0,,4.0,,
40,2009,Alt Empordà,Darnius,24.0,10.0,2.0,,,2.0,3.0,3.0,2.0,2.0,,
41,2009,Alt Empordà,Escala,288.0,101.0,25.0,2.0,3.0,58.0,12.0,26.0,20.0,40.0,1.0,
42,2009,Alt Empordà,Espolla,19.0,11.0,,1.0,,1.0,3.0,,,2.0,1.0,
43,2009,Alt Empordà,Far d'Empordà,11.0,1.0,1.0,,,1.0,3.0,4.0,,1.0,,
44,2009,Alt Empordà,Figueres,740.0,168.0,75.0,20.0,19.0,176.0,36.0,135.0,28.0,79.0,3.0,1.0
45,2009,Alt Empordà,Fortià,11.0,2.0,1.0,,,2.0,3.0,2.0,,1.0,,
46,2009,Alt Empordà,Garrigàs,18.0,4.0,2.0,,1.0,2.0,4.0,5.0,,,,
47,2009,Alt Empordà,Garriguella,21.0,7.0,3.0,,1.0,2.0,4.0,4.0,,,,
48,2009,Alt Empordà,Jonquera,277.0,109.0,28.0,3.0,2.0,26.0,8.0,62.0,24.0,12.0,3.0,
49,2009,Alt Empordà,Lladó,3.0,1.0,,,,1.0,,,,1.0,,
50,2009,Alt Empordà,Llançà,288.0,188.0,22.0,5.0,7.0,22.0,5.0,14.0,5.0,15.0,5.0,
51,2009,Alt Empordà,Llers,47.0,10.0,6.0,13.0,,8.0,,7.0,2.0,1.0,,
52,2009,Alt Empordà,Maçanet de Cabrenys,24.0,16.0,,,,1.0,2.0,2.0,,3.0,,
53,2009,Alt Empordà,Masarac,11.0,7.0,,,,,2.0,1.0,1.0,,,
54,2009,Alt Empordà,Mollet de Peralada,10.0,4.0,1.0,,,1.0,3.0,,,1.0,,
55,2009,Alt Empordà,Navata,8.0,2.0,,,1.0,,1.0,3.0,,1.0,,
56,2009,Alt Empordà,Ordis,6.0,1.0,,,,1.0,1.0,2.0,,1.0,,
57,2009,Alt Empordà,Palau de Santa Eulàlia,2.0,,,,,1.0,1.0,,,,,
58,2009,Alt Empordà,Palau-saverdera,36.0,12.0,2.0,,,8.0,7.0,4.0,,3.0,,
59,2009,Alt Empordà,Pau,17.0,2.0,,,,1.0,9.0,1.0,,4.0,,
60,2009,Alt Empordà,Pedret i Marzà,7.0,1.0,,,,2.0,,4.0,,,,
61,2009,Alt Empordà,Peralada,64.0,10.0,5.0,1.0,3.0,6.0,25.0,10.0,,4.0,,
62,2009,Alt Empordà,Pont de Molins,29.0,11.0,1.0,,,3.0,3.0,10.0,,1.0,,
63,2009,Alt Empordà,Pontós,17.0,1.0,4.0,,,1.0,1.0,10.0,,,,
64,2009,Alt Empordà,Port de la Selva,106.0,70.0,7.0,,1.0,5.0,5.0,5.0,,12.0,1.0,
65,2009,Alt Empordà,Portbou,165.0,121.0,10.0,,2.0,6.0,1.0,7.0,2.0,16.0,,
66,2009,Alt Empordà,Rabós,36.0,30.0,,,,1.0,1.0,3.0,1.0,,,
67,2009,Alt Empordà,Riumors,2.0,,,,,2.0,,,,,,
68,2009,Alt Empordà,Roses,389.0,127.0,41.0,7.0,6.0,63.0,27.0,48.0,6.0,59.0,4.0,1.0
69,2009,Alt Empordà,Sant Climent Sescebes,161.0,131.0,2.0,17.0,,1.0,6.0,1.0,1.0,1.0,1.0,
70,2009,Alt Empordà,Sant Llorenç de la Muga,5.0,1.0,,,,1.0,,,,3.0,,
71,2009,Alt Empordà,Sant Miquel de Fluvià,5.0,1.0,,,,,1.0,1.0,,2.0,,
72,2009,Alt Empordà,Sant Mori,3.0,1.0,,,,1.0,,1.0,,,,
73,2009,Alt Empordà,Sant Pere Pescador,29.0,3.0,3.0,,,1.0,4.0,13.0,,5.0,,
74,2009,Alt Empordà,Santa Llogaia d'Àlguema,7.0,2.0,,,,3.0,1.0,,,1.0,,
75,2009,Alt Empordà,"Saus, Camallera i Llampaies",12.0,5.0,1.0,,,3.0,1.0,2.0,,,,
76,2009,Alt Empordà,Selva de Mar,4.0,2.0,,,,,1.0,,,1.0,,
77,2009,Alt Empordà,Siurana,5.0,,,,,1.0,2.0,,2.0,,,
78,2009,Alt Empordà,Terrades,6.0,3.0,,,,2.0,1.0,,,,,
79,2009,Alt Empordà,Torroella de Fluvià,12.0,2.0,,,,1.0,4.0,4.0,,1.0,,
80,2009,Alt Empordà,Vajol,7.0,4.0,2.0,,,,1.0,,,,,
81,2009,Alt Empordà,Ventalló,20.0,6.0,2.0,,,3.0,2.0,6.0,,1.0,,
82,2009,Alt Empordà,Vilabertran,11.0,,1.0,,,2.0,6.0,1.0,,1.0,,
83,2009,Alt Empordà,Viladamat,17.0,8.0,1.0,,,,4.0,3.0,,1.0,,
84,2009,Alt Empordà,Vilafant,39.0,10.0,5.0,2.0,1.0,7.0,3.0,8.0,,3.0,,
85,2009,Alt Empordà,Vilajuïga,126.0,92.0,3.0,7.0,,2.0,6.0,10.0,4.0,2.0,,
86,2009,Alt Empordà,Vilamacolum,9.0,5.0,1.0,,,3.0,,,,,,
87,2009,Alt Empordà,Vilamalla,32.0,12.0,2.0,,,5.0,7.0,5.0,,1.0,,
88,2009,Alt Empordà,Vilamaniscle,4.0,2.0,,,,,1.0,1.0,,,,
89,2009,Alt Empordà,Vilanant,2.0,,,,,,2.0,,,,,
90,2009,Alt Empordà,Vila-sacra,13.0,1.0,1.0,,,6.0,1.0,4.0,,,,
91,2009,Alt Empordà,Vilaür,5.0,1.0,1.0,,,1.0,,2.0,,,,
92,2009,Alt Penedès,Avinyonet del Penedès,24.0,2.0,8.0,,1.0,2.0,4.0,4.0,,3.0,,
93,2009,Alt Penedès,Cabanyes,8.0,1.0,1.0,,,3.0,,1.0,,2.0,,
94,2009,Alt Penedès,Castellet i la Gornal,55.0,3.0,16.0,,,3.0,11.0,15.0,1.0,6.0,,
95,2009,Alt Penedès,Castellví de la Marca,34.0,3.0,3.0,,1.0,4.0,9.0,11.0,1.0,2.0,,
96,2009,Alt Penedès,Font-rubí,23.0,1.0,11.0,,,,6.0,3.0,,2.0,,
97,2009,Alt Penedès,Gelida,206.0,57.0,48.0,6.0,,17.0,8.0,27.0,23.0,15.0,4.0,1.0
98,2009,Alt Penedès,Granada,26.0,1.0,2.0,,1.0,10.0,5.0,6.0,,1.0,,
99,2009,Alt Penedès,Mediona,84.0,8.0,46.0,1.0,,10.0,7.0,5.0,2.0,5.0,,
100,2009,Alt Penedès,Olèrdola,112.0,47.0,17.0,11.0,2.0,6.0,7.0,11.0,3.0,4.0,4.0,
101,2009,Alt Penedès,Olesa de Bonesvalls,53.0,3.0,22.0,,,4.0,3.0,9.0,4.0,7.0,1.0,
102,2009,Alt Penedès,Pacs del Penedès,17.0,2.0,7.0,,,1.0,2.0,5.0,,,,
103,2009,Alt Penedès,Pla del Penedès,12.0,3.0,1.0,,,1.0,2.0,1.0,,4.0,,
104,2009,Alt Penedès,Pontons,8.0,2.0,1.0,,,2.0,2.0,1.0,,,,
105,2009,Alt Penedès,Puigdàlber,6.0,1.0,1.0,,,1.0,3.0,,,,,
106,2009,Alt Penedès,Sant Cugat Sesgarrigues,9.0,1.0,1.0,,,2.0,1.0,1.0,,2.0,1.0,
107,2009,Alt Penedès,Sant Llorenç d'Hortons,20.0,4.0,5.0,,,6.0,3.0,2.0,,,,
108,2009,Alt Penedès,Sant Martí Sarroca,32.0,4.0,11.0,,,5.0,5.0,5.0,,2.0,,
109,2009,Alt Penedès,Sant Pere de Riudebitlles,20.0,2.0,4.0,,,8.0,3.0,1.0,,2.0,,
110,2009,Alt Penedès,Sant Quintí de Mediona,30.0,4.0,15.0,,1.0,2.0,3.0,3.0,,2.0,,
111,2009,Alt Penedès,Sant Sadurní d'Anoia,82.0,14.0,12.0,1.0,2.0,16.0,7.0,12.0,,17.0,,1.0
112,2009,Alt Penedès,Santa Fe del Penedès,2.0,,1.0,,,,1.0,,,,,
113,2009,Alt Penedès,Santa Margarida i els Monjos,64.0,10.0,9.0,,1.0,14.0,15.0,4.0,,8.0,3.0,
114,2009,Alt Penedès,Subirats,114.0,64.0,11.0,,,12.0,11.0,14.0,1.0,1.0,,
115,2009,Alt Penedès,Torrelavit,24.0,2.0,7.0,,,2.0,7.0,5.0,,1.0,,
116,2009,Alt Penedès,Torrelles de Foix,47.0,5.0,23.0,,1.0,5.0,6.0,5.0,,2.0,,
117,2009,Alt Penedès,Vilafranca del Penedès,783.0,327.0,115.0,11.0,15.0,139.0,36.0,55.0,2.0,74.0,9.0,
118,2009,Alt Penedès,Vilobí del Penedès,7.0,3.0,2.0,,,,1.0,,,,1.0,
119,2009,Alt Urgell,Alàs i Cerc,13.0,3.0,5.0,,,,2.0,1.0,,1.0,,1.0
120,2009,Alt Urgell,Arsèguel,7.0,,2.0,1.0,,,1.0,3.0,,,,
121,2009,Alt Urgell,Bassella,20.0,1.0,7.0,,,1.0,2.0,8.0,,1.0,,
122,2009,Alt Urgell,Cabó,2.0,,,,,,,2.0,,,,
123,2009,Alt Urgell,Cava,2.0,1.0,,1.0,,,,,,,,
124,2009,Alt Urgell,Coll de Nargó,87.0,14.0,10.0,10.0,,3.0,5.0,6.0,31.0,6.0,,2.0
125,2009,Alt Urgell,Estamariu,2.0,,,,,,,1.0,,1.0,,
126,2009,Alt Urgell,Fígols i Alinyà,18.0,2.0,2.0,1.0,,4.0,2.0,1.0,5.0,1.0,,
127,2009,Alt Urgell,Josa i Tuixén,10.0,,3.0,1.0,,,1.0,1.0,,4.0,,
128,2009,Alt Urgell,Montferrer i Castellbò,110.0,34.0,24.0,11.0,,,5.0,9.0,4.0,9.0,,14.0
129,2009,Alt Urgell,Oliana,127.0,34.0,24.0,16.0,,3.0,2.0,17.0,7.0,18.0,1.0,5.0
130,2009,Alt Urgell,Organyà,100.0,25.0,9.0,9.0,,5.0,1.0,13.0,27.0,10.0,,1.0
131,2009,Alt Urgell,Peramola,34.0,5.0,12.0,4.0,,1.0,1.0,4.0,2.0,4.0,,1.0
132,2009,Alt Urgell,Pont de Bar,7.0,,,,,,1.0,3.0,,3.0,,
133,2009,Alt Urgell,Ribera d'Urgellet,40.0,2.0,10.0,3.0,,1.0,4.0,16.0,2.0,2.0,,
134,2009,Alt Urgell,Seu d'Urgell,524.0,187.0,46.0,39.0,4.0,35.0,12.0,30.0,103.0,50.0,,18.0
135,2009,Alt Urgell,Valls d'Aguilar,6.0,2.0,,,,,1.0,1.0,,1.0,,1.0
136,2009,Alt Urgell,Valls de Valira,26.0,2.0,4.0,,,2.0,3.0,11.0,,4.0,,
137,2009,Alt Urgell,Vansa i Fórnols,6.0,4.0,,,,1.0,,,,1.0,,
138,2009,Alta Ribagorça,Pont de Suert,138.0,6.0,30.0,15.0,,11.0,9.0,23.0,20.0,20.0,2.0,2.0
139,2009,Alta Ribagorça,Vall de Boí,49.0,2.0,8.0,5.0,1.0,4.0,8.0,3.0,4.0,13.0,,1.0
140,2009,Alta Ribagorça,Vilaller,14.0,,5.0,1.0,1.0,1.0,,6.0,,,,
141,2009,Anoia,Argençola,9.0,2.0,1.0,,,1.0,1.0,2.0,1.0,1.0,,
142,2009,Anoia,Bellprat,6.0,1.0,1.0,,,,2.0,1.0,,1.0,,
143,2009,Anoia,Bruc,82.0,10.0,20.0,3.0,1.0,11.0,6.0,17.0,2.0,11.0,1.0,
144,2009,Anoia,Cabrera d'Anoia,30.0,,18.0,,,4.0,4.0,2.0,,2.0,,
145,2009,Anoia,Calaf,142.0,40.0,27.0,22.0,2.0,9.0,6.0,12.0,11.0,12.0,1.0,
146,2009,Anoia,Calonge de Segarra,9.0,2.0,,1.0,,,4.0,2.0,,,,
147,2009,Anoia,Capellades,159.0,83.0,23.0,8.0,1.0,8.0,1.0,21.0,7.0,7.0,,
148,2009,Anoia,Carme,8.0,1.0,1.0,,,1.0,1.0,2.0,,2.0,,
149,2009,Anoia,Castellfollit de Riubregós,8.0,1.0,1.0,,,,1.0,4.0,,1.0,,
150,2009,Anoia,Castellolí,32.0,3.0,5.0,,,3.0,,20.0,,1.0,,
151,2009,Anoia,Copons,6.0,1.0,,,,1.0,3.0,1.0,,,,
152,2009,Anoia,Hostalets de Pierola,41.0,4.0,9.0,4.0,,8.0,4.0,7.0,,5.0,,
153,2009,Anoia,Igualada,837.0,468.0,122.0,12.0,1.0,80.0,20.0,28.0,23.0,77.0,,6.0
154,2009,Anoia,Jorba,32.0,3.0,4.0,4.0,,1.0,5.0,12.0,1.0,,1.0,1.0
155,2009,Anoia,Llacuna,81.0,50.0,18.0,1.0,,2.0,3.0,3.0,2.0,2.0,,
156,2009,Anoia,Masquefa,57.0,11.0,10.0,2.0,2.0,10.0,5.0,12.0,1.0,3.0,1.0,
157,2009,Anoia,Montmaneu,13.0,2.0,,,,4.0,1.0,5.0,1.0,,,
158,2009,Anoia,Òdena,94.0,11.0,16.0,14.0,,11.0,4.0,20.0,7.0,2.0,,9.0
159,2009,Anoia,Orpí,5.0,,,,,,3.0,2.0,,,,
160,2009,Anoia,Piera,604.0,350.0,104.0,12.0,4.0,36.0,38.0,26.0,8.0,24.0,1.0,1.0
161,2009,Anoia,Pobla de Claramunt,30.0,2.0,7.0,,,6.0,8.0,4.0,,3.0,,
162,2009,Anoia,Prats de Rei,7.0,4.0,,,,3.0,,,,,,
163,2009,Anoia,Pujalt,11.0,4.0,1.0,,,2.0,4.0,,,,,
164,2009,Anoia,Rubió,7.0,,1.0,,,1.0,3.0,,,2.0,,
165,2009,Anoia,Sant Martí de Tous,14.0,3.0,2.0,1.0,,1.0,4.0,2.0,1.0,,,
166,2009,Anoia,Sant Martí Sesgueioles,8.0,4.0,,,,,,1.0,,3.0,,
167,2009,Anoia,Sant Pere Sallavinera,21.0,7.0,2.0,,,,3.0,7.0,1.0,1.0,,
168,2009,Anoia,Santa Margarida de Montbui,61.0,3.0,15.0,,,16.0,13.0,6.0,1.0,7.0,,
169,2009,Anoia,Santa Maria de Miralles,12.0,,3.0,,,,6.0,3.0,,,,
170,2009,Anoia,Torre de Claramunt,87.0,,47.0,,,11.0,12.0,11.0,,6.0,,
171,2009,Anoia,Vallbona d'Anoia,13.0,4.0,5.0,,,2.0,,1.0,,1.0,,
172,2009,Anoia,Veciana,8.0,2.0,,,,1.0,3.0,2.0,,,,
173,2009,Anoia,Vilanova del Camí,69.0,,19.0,,1.0,27.0,7.0,7.0,,7.0,1.0,
174,2009,Bages,Aguilar de Segarra,19.0,5.0,1.0,,,2.0,5.0,5.0,,1.0,,
175,2009,Bages,Artés,33.0,3.0,4.0,,,4.0,5.0,8.0,1.0,7.0,1.0,
176,2009,Bages,Avinyó,41.0,26.0,1.0,,,2.0,1.0,8.0,2.0,1.0,,
177,2009,Bages,Balsareny,33.0,4.0,2.0,3.0,,10.0,1.0,3.0,2.0,7.0,1.0,
178,2009,Bages,Calders,36.0,5.0,5.0,,,1.0,3.0,13.0,6.0,3.0,,
179,2009,Bages,Callús,16.0,2.0,2.0,1.0,,4.0,3.0,3.0,,1.0,,
180,2009,Bages,Cardona,183.0,51.0,17.0,31.0,,9.0,11.0,25.0,20.0,15.0,3.0,1.0
181,2009,Bages,Castellbell i el Vilar,77.0,,23.0,,1.0,5.0,8.0,30.0,1.0,9.0,,
182,2009,Bages,Castellfollit del Boix,46.0,7.0,1.0,1.0,,1.0,4.0,2.0,29.0,1.0,,
183,2009,Bages,Castellgalí,26.0,1.0,3.0,,,5.0,5.0,7.0,,5.0,,
184,2009,Bages,Castellnou de Bages,21.0,1.0,4.0,,,2.0,6.0,3.0,1.0,3.0,1.0,
185,2009,Bages,Estany,4.0,2.0,,,,,,,,2.0,,
186,2009,Bages,Fonollosa,29.0,8.0,7.0,,,1.0,1.0,8.0,1.0,2.0,1.0,
187,2009,Bages,Gaià,3.0,1.0,,,,,1.0,1.0,,,,
188,2009,Bages,Manresa,1043.0,105.0,220.0,87.0,20.0,165.0,38.0,155.0,65.0,149.0,20.0,19.0
189,2009,Bages,Marganell,20.0,2.0,7.0,1.0,,,3.0,2.0,1.0,4.0,,
190,2009,Bages,Moià,192.0,74.0,21.0,4.0,1.0,25.0,6.0,23.0,13.0,23.0,1.0,1.0
191,2009,Bages,Monistrol de Calders,19.0,9.0,2.0,1.0,,2.0,,3.0,,2.0,,
192,2009,Bages,Monistrol de Montserrat,212.0,19.0,10.0,22.0,1.0,6.0,7.0,21.0,85.0,40.0,,1.0
193,2009,Bages,Mura,12.0,1.0,1.0,,,,3.0,2.0,,5.0,,
194,2009,Bages,Navarcles,36.0,2.0,3.0,,2.0,13.0,2.0,6.0,2.0,6.0,,
195,2009,Bages,Navàs,56.0,22.0,2.0,,,10.0,5.0,10.0,1.0,1.0,5.0,
196,2009,Bages,Pont de Vilomara i Rocafort,27.0,5.0,1.0,2.0,,2.0,4.0,5.0,3.0,4.0,1.0,
197,2009,Bages,Rajadell,19.0,1.0,2.0,,,4.0,2.0,5.0,3.0,2.0,,
198,2009,Bages,Sallent,129.0,15.0,23.0,4.0,2.0,19.0,6.0,27.0,9.0,17.0,7.0,
199,2009,Bages,Sant Feliu Sasserra,12.0,8.0,,,,,,2.0,,2.0,,
200,2009,Bages,Sant Fruitós de Bages,100.0,1.0,16.0,1.0,3.0,18.0,10.0,31.0,1.0,13.0,5.0,1.0
201,2009,Bages,Sant Joan de Vilatorrada,46.0,2.0,9.0,,1.0,5.0,6.0,13.0,,6.0,4.0,
202,2009,Bages,Sant Mateu de Bages,23.0,11.0,,1.0,,,4.0,3.0,,3.0,1.0,
203,2009,Bages,Sant Salvador de Guardiola,54.0,5.0,21.0,,,5.0,4.0,14.0,,5.0,,
204,2009,Bages,Sant Vicenç de Castellet,61.0,3.0,10.0,1.0,,8.0,10.0,8.0,7.0,12.0,1.0,1.0
205,2009,Bages,Santa Maria d'Oló,21.0,2.0,3.0,,,3.0,,10.0,,3.0,,
206,2009,Bages,Santpedor,48.0,,7.0,,,9.0,8.0,8.0,1.0,7.0,8.0,
207,2009,Bages,Súria,49.0,9.0,1.0,2.0,,10.0,5.0,15.0,,6.0,1.0,
208,2009,Bages,Talamanca,8.0,3.0,,1.0,,,,1.0,,3.0,,
209,2009,Baix Camp,Albiol,10.0,,4.0,,,,4.0,1.0,1.0,,,
210,2009,Baix Camp,Aleixar,13.0,1.0,6.0,1.0,,,3.0,2.0,,,,
211,2009,Baix Camp,Alforja,46.0,,10.0,1.0,,6.0,12.0,8.0,,9.0,,
212,2009,Baix Camp,Almoster,16.0,,,1.0,,2.0,10.0,2.0,,1.0,,
213,2009,Baix Camp,Arbolí,3.0,1.0,,,,,1.0,,,1.0,,
214,2009,Baix Camp,Argentera,4.0,,1.0,,,1.0,1.0,,,1.0,,
215,2009,Baix Camp,Borges del Camp,24.0,1.0,8.0,1.0,,1.0,5.0,7.0,,,1.0,
216,2009,Baix Camp,Botarell,15.0,,4.0,,,2.0,6.0,3.0,,,,
217,2009,Baix Camp,Cambrils,461.0,31.0,91.0,12.0,12.0,99.0,45.0,63.0,33.0,70.0,4.0,1.0
218,2009,Baix Camp,Capafonts,1.0,,,1.0,,,,,,,,
219,2009,Baix Camp,Castellvell del Camp,22.0,,6.0,,1.0,3.0,7.0,2.0,,3.0,,
220,2009,Baix Camp,Colldejou,15.0,11.0,,1.0,,,,2.0,,1.0,,
221,2009,Baix Camp,Duesaigües,5.0,,2.0,,,,1.0,2.0,,,,
222,2009,Baix Camp,Febró,4.0,2.0,,,,,,2.0,,,,
223,2009,Baix Camp,Maspujols,27.0,1.0,9.0,4.0,,2.0,6.0,5.0,,,,
224,2009,Baix Camp,Montbrió del Camp,22.0,,3.0,,,5.0,8.0,5.0,,1.0,,
225,2009,Baix Camp,Mont-roig del Camp,234.0,11.0,77.0,,2.0,40.0,34.0,49.0,,21.0,,
226,2009,Baix Camp,Prades,92.0,51.0,15.0,8.0,,3.0,4.0,,6.0,5.0,,
227,2009,Baix Camp,Pratdip,28.0,1.0,16.0,,,,4.0,3.0,,2.0,2.0,
228,2009,Baix Camp,Reus,1446.0,134.0,322.0,57.0,31.0,322.0,121.0,248.0,25.0,177.0,5.0,4.0
229,2009,Baix Camp,Riudecanyes,22.0,,8.0,2.0,,3.0,5.0,3.0,,1.0,,
230,2009,Baix Camp,Riudecols,14.0,,1.0,4.0,,3.0,1.0,5.0,,,,
231,2009,Baix Camp,Riudoms,62.0,1.0,8.0,,1.0,9.0,21.0,17.0,,5.0,,
232,2009,Baix Camp,Selva del Camp,66.0,,8.0,,,14.0,23.0,17.0,,4.0,,
233,2009,Baix Camp,Vandellòs i l'Hospitalet de l'Infant,252.0,60.0,39.0,6.0,3.0,11.0,18.0,61.0,11.0,37.0,5.0,1.0
234,2009,Baix Camp,Vilanova d'Escornalbou,13.0,,8.0,,,3.0,2.0,,,,,
235,2009,Baix Camp,Vilaplana,12.0,1.0,1.0,,,1.0,2.0,1.0,2.0,4.0,,
236,2009,Baix Camp,Vinyols i els Arcs,28.0,,4.0,,,5.0,12.0,6.0,,1.0,,
237,2009,Baix Ebre,Aldea,54.0,3.0,6.0,,,8.0,11.0,24.0,,2.0,,
238,2009,Baix Ebre,Aldover,14.0,3.0,,,,,6.0,4.0,,1.0,,
239,2009,Baix Ebre,Alfara de Carles,4.0,1.0,,,,1.0,1.0,,,1.0,,
240,2009,Baix Ebre,Ametlla de Mar,283.0,48.0,91.0,,,20.0,23.0,54.0,17.0,28.0,2.0,
241,2009,Baix Ebre,Ampolla,61.0,6.0,7.0,,,17.0,9.0,18.0,1.0,3.0,,
242,2009,Baix Ebre,Benifallet,31.0,8.0,,7.0,,,7.0,4.0,3.0,2.0,,
243,2009,Baix Ebre,Camarles,32.0,1.0,1.0,,1.0,6.0,9.0,12.0,1.0,1.0,,
244,2009,Baix Ebre,Deltebre,69.0,3.0,8.0,,,21.0,13.0,18.0,1.0,5.0,,
245,2009,Baix Ebre,Paüls,8.0,5.0,1.0,,,,2.0,,,,,
246,2009,Baix Ebre,Perelló,43.0,10.0,,3.0,,5.0,13.0,12.0,,,,
247,2009,Baix Ebre,Roquetes,69.0,2.0,12.0,,1.0,21.0,10.0,15.0,,8.0,,
248,2009,Baix Ebre,Tivenys,8.0,2.0,,,,,5.0,,1.0,,,
249,2009,Baix Ebre,Tortosa,739.0,189.0,112.0,15.0,9.0,129.0,76.0,86.0,34.0,86.0,2.0,1.0
250,2009,Baix Ebre,Xerta,23.0,3.0,2.0,,,2.0,3.0,9.0,,4.0,,
251,2009,Baix Empordà,Albons,18.0,10.0,1.0,,,2.0,3.0,1.0,,1.0,,
252,2009,Baix Empordà,Begur,76.0,13.0,10.0,,,20.0,13.0,14.0,,6.0,,
253,2009,Baix Empordà,Bellcaire d'Empordà,22.0,5.0,2.0,,,,4.0,8.0,2.0,1.0,,
254,2009,Baix Empordà,Bisbal d'Empordà,97.0,30.0,8.0,4.0,5.0,13.0,7.0,16.0,,12.0,2.0,
255,2009,Baix Empordà,Calonge,285.0,125.0,17.0,1.0,4.0,35.0,19.0,52.0,4.0,28.0,,
256,2009,Baix Empordà,Castell-Platja d'Aro,296.0,108.0,32.0,3.0,2.0,44.0,14.0,55.0,3.0,34.0,1.0,
257,2009,Baix Empordà,Colomers,11.0,1.0,2.0,,,1.0,1.0,6.0,,,,
258,2009,Baix Empordà,Corçà,16.0,2.0,1.0,,,1.0,4.0,4.0,,4.0,,
259,2009,Baix Empordà,"Cruïlles, Monells i Sant Sadurní de l'Heura",53.0,35.0,1.0,,,7.0,5.0,1.0,,4.0,,
260,2009,Baix Empordà,Foixà,3.0,1.0,,,,1.0,1.0,,,,,
261,2009,Baix Empordà,Fontanilles,5.0,3.0,,,,,,1.0,,1.0,,
