,Stations,Altitude (m),Annual average,Average maximums,Average minimums,Outright maximum,Outright minimum,Year
Alt Camp,Vila-rodona,290,16,21.7,10.9,35.2,1.3,2002
Alt Empordà,Roses,24,17,22.4,11.6,36.5,-2.6,2002
Alt Penedès,la Granada,238,15,21.5,9.7,35.1,-0.2,2002
Alt Urgell,la Seu d'Urgell,849,12,18.5,5.6,34.8,-6.5,2002
Alta Ribagorça,el Pont de Suert,824,10,18,3.3,32.9,-9.2,2002
Anoia,els Hostalets de Pierola,312,16,21.7,10.7,37.1,-0.2,2002
Bages,Sant Salvador de Guardiola,349,14,20.9,7.7,35.9,-5.2,2002
Baix Camp,Botarell,231,16,21.4,12,33.5,2.8,2002
Baix Ebre,el Perelló,179,17,21.9,13.2,35.7,1.8,2002
Baix Empordà,la Bisbal d'Empordà,29,15,22.2,9.1,33.5,-2.8,2002
Baix Llobregat,Vallirana,220,16,22,11.4,38.5,2.1,2002
Baix Penedès,el Vedrell,60,17,21.9,11.9,32.9,1.3,2002
Barcelonès,Barcelona (Obs. Fabra),411,15,19.5,12.2,33.6,3.1,2002
Berguedà,Guardiola de Berguedà,720,11,18.8,4.7,34.1,-8.3,2002
Cerdanya,Bellver de Cerdanya,1043,10,18.1,2.9,34.6,-10.8,2002
Conca de Barberà,l'Espluga de Francolí,441,15,20.4,9.2,36.1,-3.1,2002
Garraf,Vilanova i la Geltrú,14,18,21.3,14.4,30.9,5.2,2002
Garrigues,Juneda,275,15,20.7,10.2,36.2,-2.2,2002
Garrotxa,Olot,422,14,20.8,8.6,35.5,-4.1,2002
Gironès,Girona,100,16,22.3,10.9,35.8,-1.7,2002
Maresme,Vilassar de Mar,45,17,21.5,13.8,31.8,5.2,2002
Montsià,Amposta,7,17,20.7,12.8,30.5,1.9,2002
Noguera,Vallfogona de Balaguer,245,15,21.1,8.7,37.7,-3.6,2002
Osona,Vic,498,13,19.4,7,35.5,-5.5,2002
Pallars Jussà,la Pobla de Segur,513,13,20.2,7,37.6,-7.1,2002
Pallars Sobirà,Sort,682,13,19.6,7.5,35.6,-6.3,2002
Pla d'Urgell,Castellnou de Seana,264,14,21,7.9,37.1,-4,2002
Pla de l'Estany,Banyoles,157,16,21.3,10.8,34.7,-1,2002
Priorat,Falset,350,15,20.7,10.3,36.5,0.1,2002
Ribera d'Ebre,Vinebre,48,17,23.8,11.1,39.5,-1.7,2002
Ripollès,Sant Pau de Segúries,851,10,16.7,4.3,31.1,-9.1,2002
Segarra,Cervera,558,13,18.7,8.2,36.6,-2.6,2002
Segrià,Lleida (Raïmat),290,14,20.2,8.6,35.6,-3.9,2002
Selva,Santa Coloma de Farners,167,15,21.5,9.2,33.6,-2.7,2002
Solsonès,Clariana de Cardener,693,13,19.5,7.2,37,-3.7,2002
Tarragonès,Tarragona,8,17,21.9,13.3,34.5,2.6,2002
Terra Alta,Gandesa,363,15,19.9,11.2,35,-1.4,2002
Urgell,Tàrrega,420,14,19.7,9.5,36.6,-4.5,2002
Val d'Aran,Vielha e Mijaran,997,9,15.8,4.9,33.1,-7,2002
Vallès Occidental,Cerdanyola,97,15,21.2,9.7,34.4,-2.5,2002
Vallès Oriental,Montmeló,75,16,23.5,9.7,38.5,-2.5,2002
Alt Camp,Vila-rodona,290,16,21.9,11.3,38.8,-2.5,2003
Alt Empordà,Roses,24,18,22.8,12.5,41,-3.6,2003
Alt Penedès,la Granada,238,16,22.1,10.2,38.8,-2.1,2003
Alt Urgell,la Seu d'Urgell,849,12,19.3,6.3,37.2,-9.7,2003
Alta Ribagorça,el Pont de Suert,824,11,18.9,4.1,36.4,-11.8,2003
Anoia,els Hostalets de Pierola,312,16,21.5,11.1,37.4,-1.5,2003
Bages,Sant Salvador de Guardiola,349,14,21.3,7.7,38.8,-7.4,2003
Baix Camp,Botarell,231,16,21.3,11.9,36.3,-0.7,2003
Baix Ebre,el Perelló,179,17,22,13.1,38.4,-0.9,2003
Baix Empordà,la Bisbal d'Empordà,29,16,22.7,9.5,41.3,-5.7,2003
Baix Llobregat,Vallirana,220,16,22.1,11.6,39.8,-2.2,2003
Baix Penedès,el Vendrell,60,17,22.6,12.5,37.6,-1.6,2003
Barcelonès,Barcelona (Obs. Fabra),411,16,20.4,12.7,39.2,-1.1,2003
Berguedà,Guardiola de Berguedà,720,12,19.7,5.2,38.1,-10.5,2003
Cerdanya,Das,1096,9,16.9,2.1,33.6,-16.6,2003
Conca de Barberà,l'Espluga de Francolí,441,15,20.5,9.8,38.1,-3.5,2003
Garraf,Vilanova i la Geltrú,14,18,21.6,14.7,34,1.8,2003
Garrigues,Juneda,275,16,21.4,11,37.8,-4.8,2003
Garrotxa,Olot,422,14,20.9,8.2,38.9,-6.8,2003
Gironès,Girona,100,16,22.6,10.9,41.2,-3.7,2003
Maresme,Vilassar de Mar,45,17,21.6,13.7,37.4,1,2003
Montsià,Amposta,7,17,21,13.2,32.8,0,2003
Noguera,Vallfogona de Balaguer,245,15,21.8,9.2,38.7,-8,2003
Osona,Vic,498,13,19.7,7,38.8,-8,2003
Pallars Jussà,la Pobla de Segur,513,14,20.8,7.8,39.6,-8.5,2003
Pallars Sobirà,Sort,682,14,20.3,8.1,37.3,-7.2,2003
Pla d'Urgell,Castellnou de Seana,264,15,21.8,8.4,38.4,-7.1,2003
Pla de l'Estany,Banyoles,157,16,21.6,10.8,40.7,-3.7,2003
Priorat,Falset,350,15,20.7,10.1,39.5,-4.4,2003
Ribera d'Ebre,Vinebre,48,17,24.3,11.2,41.1,-5.8,2003
Ripollès,Sant Pau de Segúries,851,11,17.7,4.6,35.9,-11.1,2003
Segarra,Cervera,558,14,19.5,8.9,37.4,-6.1,2003
Segrià,Lleida (Raïmat),290,14,20.5,8.9,37.3,-7.6,2003
Selva,Santa Coloma de Farners,167,15,21.9,9.3,40.9,-4.3,2003
Solsonès,Clariana de Cardener,693,13,19.7,7.5,38.3,-7.8,2003
Tarragonès,Tarragona,8,18,21.8,12.9,35.2,-3.2,2003
Terra Alta,Gandesa,363,16,20.3,11.6,37.5,-5.1,2003
Urgell,Tàrrega,420,15,19.9,9.8,37.7,-5.3,2003
Val d'Aran,Vielha e Mijaran,997,10,16.8,5.2,36.1,-12,2003
Vallès Occidental,Cerdanyola,97,16,21.7,10.3,38.6,-3.5,2003
Vallès Oriental,Montmeló,75,15,22.8,8.6,39.8,-4.6,2003
Alt Camp,Vila-rodona,290,15,21,10.4,34.7,-1.1,2004
Alt Empordà,Roses,24,16,20.4,11.2,36.8,-2.4,2004
Alt Penedès,la Granada,238,15,21.5,9.6,36.5,-2.6,2004
Alt Urgell,la Seu d'Urgell,849,12,18.8,5.3,35.3,-8.7,2004
Alta Ribagorça,el Pont de Suert,824,10,18.6,3,34.9,-9.8,2004
Anoia,els Hostalets de Pierola,312,14,20.1,9.8,36.8,-3.4,2004
Bages,Sant Salvador de Guardiola,349,13,20.4,6.6,37,-8.5,2004
Baix Camp,Botarell,231,15,20.4,11.1,35.6,-1.1,2004
Baix Ebre,el Perelló,179,16,21.1,12.1,35.7,0,2004
Baix Empordà,la Bisbal d'Empordà,29,15,21.5,8.9,36.2,-4,2004
Baix Llobregat,Vallirana,220,16,21.7,11.2,36.7,-2.2,2004
Baix Penedès,el Vendrell,60,16,21.5,11.2,34.3,-1.4,2004
Barcelonès,Barcelona (Obs. Fabra),411,15,19.5,11.8,34.9,-0.9,2004
Berguedà,Guardiola de Berguedà,720,10,18.4,4,37.7,-9.2,2004
Cerdanya,Das,1096,8,17.1,0.8,34.2,-12,2004
Conca de Barberà,l'Espluga de Francolí,441,13,18.7,8.1,34,-3.5,2004
Garraf,Vilanova i la Geltrú,14,18,21,14.3,33.2,0.9,2004
Garrigues,Juneda,490,13,18.8,8.1,35.6,-4.8,2004
Garrotxa,Olot,422,13,19.7,7.4,35.2,-6.3,2004
Gironès,Girona,100,16,21.9,10.5,37.1,-3.4,2004
Maresme,Vilassar de Mar,45,17,20.9,13.1,35.8,-0.1,2004
Montsià,Amposta,7,16,20.5,12.6,32.7,0.2,2004
Noguera,Vallfogona de Balaguer,245,14,20.6,7.9,37.3,-6.5,2004
Osona,Gurb,517,12,19.2,6.4,36.1,-7.1,2004
Pallars Jussà,la Pobla de Segur,513,13,20.1,6.3,38.3,-7.7,2004
Pallars Sobirà,,..,..,..,..,..,..,2004
Pla d'Urgell,Castellnou de Seana,264,13,20.3,7.3,36.7,-6.4,2004
Pla de l'Estany,Banyoles,157,15,20.2,9.8,35.7,-3.9,2004
Priorat,Falset,350,14,20.5,9.3,38.3,-5.2,2004
Ribera d'Ebre,Vinebre,48,16,22.9,10,40.8,-4.2,2004
Ripollès,Sant Pau de Segúries,851,10,16.9,3.7,32.2,-10,2004
Segarra,Cervera,558,12,18,7.6,35.5,-5.8,2004
Segrià,Lleida (Raimat),290,14,20,8.1,36.7,-5.6,2004
Selva,Anglès,150,15,21.2,8.7,39.3,-4.2,2004
Solsonès,Clariana de Cardener,693,13,19.6,7,37.1,-7.2,2004
Tarragonès,Tarragona,8,17,21.9,12.7,37.1,0.5,2004
Terra Alta,Horta de Sant Joan,511,14,19.9,9.4,37.3,-3.3,2004
Urgell,Tàrrega,420,13,18.7,8.6,35.6,-5.4,2004
Val d'Aran,Vielha e Mijaran,997,9,15.5,4.3,33,-9.6,2004
Vallès Occidental,Vacarisses,343,13,20,7.1,36.5,-7,2004
Vallès Oriental,Montmeló,75,15,21.6,8.8,38.1,-4.8,2004
Alt Camp,Vila-rodona,290,15,20.2,9.9,35.3,-5,2005
Alt Empordà,Roses,24,16,20.6,10.9,36.3,-5,2005
Alt Penedès,la Granada,238,15,21.3,8.9,36.4,-6,2005
Alt Urgell,la Seu d'Urgell,849,12,18.8,5,36.6,-11,2005
Alta Ribagorça,el Pont de Suert,824,10,18.9,2.5,35.8,-14,2005
Anoia,els Hostalets de Pierola,312,14,20.4,9.9,35.2,-6,2005
Bages,La Quar,349,14,21.1,6.8,38.2,-11,2005
Baix Camp,Botarell,231,16,20.8,10.9,36.3,-4,2005
Baix Ebre,el Perelló,179,16,20.6,11.6,34.8,-5,2005
Baix Empordà,la Bisbal d'Empordà,29,15,22.1,8.4,36.6,-9,2005
Baix Llobregat,Vallirana,220,16,21.8,11.2,35.9,-4,2005
Baix Penedès,el Vendrell,60,17,21.9,11.6,36.4,-3,2005
Barcelonès,Barcelona (Obs. Fabra),411,15,19.9,11.7,35.6,-5,2005
Berguedà,Guardiola de Berguedà,860,11,18.1,6.3,36,-11,2005
Cerdanya,Das,1096,9,17.3,0.6,35.2,-16,2005
Conca de Barberà,l'Espluga de Francolí,441,14,19.4,8.2,35.7,-6,2005
Garraf,Sant Pere de Ribes,171,16,22,10.6,38.3,-5,2005
Garrigues,Juneda,490,13,18.6,7.6,37,-9,2005
Garrotxa,Olot,422,13,19.4,6.5,36,-10,2005
Gironès,Girona,100,16,22.4,10,38.4,-7,2005
Maresme,Vilassar de Mar,45,17,21.2,13.3,35.4,-2,2005
Montsià,Amposta,7,16,20,12,31.7,-3,2005
Noguera,Vallfogona de Balaguer,245,14,20.6,7.3,37.7,-11,2005
Osona,Gurb,517,12,19.2,5.7,38.2,-12,2005
Pallars Jussà,la Pobla de Segur,513,13,20.6,6.4,40.6,-10,2005
Pallars Sobirà,,..,..,..,..,..,..,2005
Pla d'Urgell,Castellnou de Seana,264,14,21.1,7.6,39.2,-10,2005
Pla de l'Estany,Banyoles,157,15,20.7,9.7,36.8,-7,2005
Priorat,Ulldemolins,631,13,20.5,7.1,40.2,-10,2005
Ribera d'Ebre,Vinebre,48,17,23.3,10.7,39.8,-6,2005
Ripollès,Sant Pau de Segúries,851,10,17.2,3.1,34.8,-12,2005
Segarra,Cervera,558,13,18.3,7.8,37.9,-8,2005
Segrià,Lleida (Raimat),290,13,20.1,7.5,37.7,-10,2005
Selva,Anglès,150,15,21.9,8.5,39.5,-9,2005
Solsonès,Clariana de Cardener,693,12,19.4,6.5,38.3,-11,2005
