,Fires,Affected area (ha). With trees,Affected area (ha). With scrub,Affected area (ha). Total,Year
Berguedà,9,2,0.3,2.3,2002
Cerdanya,8,0.1,4.6,4.7,2002
Conca de Barberà,12,506.4,37.9,544.4,2002
Garraf,3,0,0.1,0.1,2002
Garrigues,23,8.9,6.4,15.3,2002
Garrotxa,8,0.6,1,1.6,2002
Gironès,11,1.7,0.2,1.9,2002
Maresme,12,0.1,0.3,0.4,2002
Montsià,5,1,2.3,3.3,2002
Noguera,24,14.6,15,29.7,2002
Osona,6,1,0.1,1.2,2002
Pallars Jussà,9,23.6,2.1,25.7,2002
Pallars Sobirà,10,40.6,31.9,72.5,2002
Pla d'Urgell,0,0,0,0,2002
Pla de l'Estany,10,1.1,0.2,1.3,2002
Priorat,11,6.4,2.8,9.2,2002
Ribera d'Ebre,14,44,1.5,45.5,2002
Ripollès,4,9.2,0.8,10,2002
Segarra,5,0.6,5.3,5.9,2002
Segrià,14,42.2,5.2,47.4,2002
Selva,14,1.7,0,1.7,2002
Solsonès,12,4.7,0.1,4.9,2002
Tarragonès,4,0.5,0.7,1.2,2002
Terra Alta,13,3.6,0.1,3.7,2002
Urgell,14,0.3,7.8,8.1,2002
Val d'Aran,5,130,740,870,2002
Vallès Occidental,30,7.1,139.1,146.2,2002
Vallès Oriental,12,0.3,0.8,1.1,2002
Alt Camp,9,207,1.1,208.1,2003
Alt Empordà,40,66.3,104.5,170.7,2003
Alt Penedès,24,153.7,10,163.7,2003
Alt Urgell,14,11.1,2.8,13.9,2003
Alta Ribagorça,4,3.5,6.1,9.6,2003
Anoia,34,218.5,8.1,226.6,2003
Bages,46,1213.5,111.1,1324.6,2003
Baix Camp,12,2.5,22.7,25.2,2003
Baix Ebre,7,15.1,0.9,16.9,2003
Baix Empordà,32,817.2,54.7,871.8,2003
Baix Llobregat,50,6.8,7.9,14.8,2003
Baix Penedès,8,9.8,6.1,15.9,2003
Barcelonès,34,37.2,23.5,60.6,2003
Berguedà,26,6.8,1.1,7.9,2003
Cerdanya,4,3.5,1,4.5,2003
Conca de Barberà,8,23.1,2.8,25.9,2003
Garraf,5,4.1,3.5,7.6,2003
Garrigues,16,40.7,2,42.7,2003
Garrotxa,4,0.1,0.1,0.1,2003
Gironès,37,77.3,13.9,91.2,2003
Maresme,16,243.8,5.2,249.1,2003
Montsià,3,0,0.7,0.7,2003
Noguera,22,34.6,27.8,62.4,2003
Osona,16,6.9,1.5,8.4,2003
Pallars Jussà,11,11.6,2,13.6,2003
Pallars Sobirà,12,3,4.3,7.3,2003
Pla d'Urgell,0,0,0,0,2003
Pla de l'Estany,15,38.8,1.3,40.2,2003
Priorat,2,3.8,6.1,9.9,2003
Ribera d'Ebre,17,9.1,4.6,13.8,2003
Ripollès,3,0.6,1.3,1.9,2003
Segarra,5,82.3,200.6,282.9,2003
Segrià,14,224,1328.6,1552.6,2003
Selva,35,811.2,41.8,853,2003
Solsonès,18,1.3,0.2,1.6,2003
Tarragonès,5,10.8,16.9,27.7,2003
Terra Alta,5,1.2,0.1,1.3,2003
Urgell,2,1.9,8.1,10,2003
Val d'Aran,7,0.3,5.3,5.5,2003
Vallès Occidental,45,1834.5,343.7,2178.2,2003
Vallès Oriental,35,1170.4,71.4,1241.8,2003
Alt Camp,16,8.9,7.1,16,2004
Alt Empordà,38,6.3,37.3,43.6,2004
Alt Penedès,30,1.5,3.7,5.2,2004
Alt Urgell,6,71.4,12.2,83.6,2004
Alta Ribagorça,5,0,16.4,16.4,2004
Anoia,14,3.3,4.7,8,2004
Bages,28,21.1,1.3,22.4,2004
Baix Camp,9,2.8,1.4,4.1,2004
Baix Ebre,8,1.9,1.1,3,2004
Baix Empordà,12,193.8,307,500.8,2004
Baix Llobregat,38,4.5,1.2,5.8,2004
Baix Penedès,6,0.1,1.6,1.8,2004
Barcelonès,15,1,25.7,26.7,2004
Berguedà,7,0,0.4,0.5,2004
Cerdanya,3,0,0.5,0.5,2004
