,Fires,Affected area (ha). With trees,Affected area (ha). With scrub,Affected area (ha). Total,Year
Pallars Jussà,9,0.3,3,3.3,2013
Pallars Sobirà,3,0,0.5,0.5,2013
Pla d'Urgell,1,0.1,0,0.1,2013
Pla de l'Estany,5,0,0.2,0.2,2013
Priorat,12,30,25.8,55.7,2013
Ribera d'Ebre,27,101.8,60.7,162.5,2013
Ripollès,4,1.3,0,1.3,2013
Segarra,2,0,0.2,0.2,2013
Segrià,39,9.9,30.6,40.5,2013
Selva,23,1.7,1.6,3.2,2013
Solsonès,4,0,2,2,2013
Tarragonès,6,1.3,4.1,5.4,2013
Terra Alta,9,5.5,1.6,7.1,2013
Urgell,4,0,3.1,3.1,2013
Val d'Aran,0,0,0,0,2013
Vallès Occidental,34,2.1,3.2,5.3,2013
Vallès Oriental,32,2.3,0.7,3,2013
Alt Camp,9,34.4,5.5,39.9,2014
Alt Empordà,22,6.6,32.4,38.9,2014
Alt Penedès,24,0.5,2,2.5,2014
Alt Urgell,6,0.5,4,4.4,2014
Alta Ribagorça,2,0,1.1,1.1,2014
Anoia,24,1.7,0.8,2.5,2014
Bages,37,2.7,1.9,4.6,2014
Baix Camp,9,0.9,0.6,1.5,2014
Baix Ebre,18,5.3,19.6,24.9,2014
Baix Empordà,14,372.6,4.8,377.4,2014
Baix Llobregat,24,1.6,2.2,3.8,2014
Baix Penedès,14,0.4,0.6,1,2014
Barcelonès,6,0.2,0.7,0.9,2014
Berguedà,13,0.9,1.4,2.4,2014
Cerdanya,1,0.8,1.6,2.4,2014
Conca de Barberà,25,1.6,7.2,8.8,2014
Garraf,6,1.9,0.5,2.4,2014
Garrigues,6,0.4,0.4,0.8,2014
Garrotxa,2,0,0.2,0.2,2014
Gironès,15,5.7,2.8,8.5,2014
Maresme,8,0.1,9.7,9.8,2014
Montsià,14,0,6.2,6.2,2014
Noguera,13,32.3,22.8,55.1,2014
Osona,11,4.6,0.4,5,2014
Pallars Jussà,9,1.7,7.3,9,2014
Pallars Sobirà,0,0,0,0,2014
Pla d'Urgell,0,0,0,0,2014
Pla de l'Estany,4,0,0.1,0.1,2014
Priorat,7,0.2,2.2,2.4,2014
Ribera d'Ebre,9,498.7,380.6,879.3,2014
Ripollès,2,0.3,0.8,1.1,2014
Segarra,6,5.5,9.4,14.9,2014
Segrià,28,8.1,21.8,29.8,2014
Selva,12,0.9,0,1,2014
Solsonès,4,0,0.9,1,2014
Tarragonès,1,0,0.7,0.7,2014
Terra Alta,3,0,0.8,0.8,2014
Urgell,6,0.2,2,2.2,2014
Val d'Aran,3,0,16.4,16.4,2014
Vallès Occidental,16,1.6,1.2,2.8,2014
Vallès Oriental,28,2.8,0.9,3.7,2014
Alt Camp,9,9.1,5.6,14.6,2015
Alt Empordà,28,0.8,23.4,24.1,2015
Alt Penedès,18,2.2,0.9,3.1,2015
Alt Urgell,4,0,0.1,0.1,2015
Alta Ribagorça,2,0.6,0.3,0.9,2015
Anoia,33,516.1,102.7,618.8,2015
Aran,4,0.1,98.2,98.3,2015
Bages,38,400.2,59.5,459.7,2015
Baix Camp,15,2.4,3.3,5.7,2015
Baix Ebre,21,2.9,46.8,49.8,2015
Baix Empordà,12,0.1,0.2,0.3,2015
Baix Llobregat,27,2.5,5.1,7.7,2015
Baix Penedès,4,0,0.7,0.7,2015
Barcelonès,9,0.1,21.1,22.1,2015
Berguedà,11,0,0.8,0.8,2015
Cerdanya,4,4.7,2,6.7,2015
Conca de Barberà,19,6.9,8.1,15,2015
Garraf,8,0.1,0.3,0.4,2015
Garrigues,12,17.5,9.4,26.9,2015
Garrotxa,6,0,0.2,0.2,2015
Gironès,14,19.4,24.2,43.6,2015
Maresme,14,0.6,2,2.6,2015
Moianès,2,0,0.1,0.1,2015
Montsià,3,0,3.9,3.9,2015
Noguera,9,6.5,4.6,11.2,2015
Osona,8,0.6,0.2,0.8,2015
Pallars Jussà,9,0.2,5.1,5.3,2015
Pallars Sobirà,8,0,28.3,28.3,2015
Pla d'Urgell,1,0,0.2,0.2,2015
Pla de l'Estany,2,0.1,0,0.1,2015
Priorat,15,15.9,39.4,55.2,2015
Ribera d'Ebre,17,2.8,0.7,3.6,2015
Ripollès,1,0,0.2,0.2,2015
Segarra,2,2.6,0.9,3.5,2015
Segrià,21,19.8,14.1,34,2015
Selva,12,11.2,0.1,11.3,2015
Solsonès,5,0.5,0.6,1.2,2015
Tarragonès,7,2.5,3.5,6,2015
Terra Alta,10,9.8,4.6,14.3,2015
Urgell,6,5.5,1.7,7.3,2015
Vallès Occidental,29,2,7.5,9.4,2015
Vallès Oriental,30,2.1,2.5,4.5,2015
Alt Camp,3,0.1,0.3,0.4,2016
Alt Empordà,29,23.9,15.7,39.6,2016
Alt Penedès,26,5.8,1.1,6.9,2016
Alt Urgell,2,8.4,5.2,13.5,2016
Alta Ribagorça,6,1.2,5.7,6.9,2016
Anoia,26,2.3,4.1,6.4,2016
Aran,2,0,27.5,27.5,2016
Bages,23,45.9,6.7,52.6,2016
Baix Camp,10,4.4,5.4,9.8,2016
Baix Ebre,32,3.3,6.3,9.7,2016
Baix Empordà,22,44.1,8.6,52.8,2016
Baix Llobregat,35,2.4,14.7,17.1,2016
Baix Penedès,16,203.8,80.4,284.2,2016
Barcelonès,9,0.8,22.1,22.9,2016
Berguedà,16,0.7,0.7,1.4,2016
Cerdanya,5,0.8,3.9,4.7,2016
Conca de Barberà,12,3.4,5.8,9.2,2016
Garraf,3,9.7,4.3,14,2016
Garrigues,4,0.3,0.4,0.7,2016
Garrotxa,2,1.4,0,1.4,2016
Gironès,9,0.5,0.5,1,2016
Maresme,21,0.9,7.5,8.4,2016
Moianès,4,0.1,0.1,0.2,2016
Montsià,6,0.2,3.3,3.5,2016
Noguera,17,3.5,7.2,10.8,2016
Osona,12,0.5,0.4,0.9,2016
Pallars Jussà,7,0.2,5.5,5.7,2016
Pallars Sobirà,5,81.9,553.8,635.7,2016
Pla d'Urgell,0,0,0,0,2016
Pla de l'Estany,15,3.3,0,3.3,2016
Priorat,15,1,3.2,4.2,2016
Ribera d'Ebre,9,2,0,2,2016
Ripollès,4,1.1,2,3,2016
Segarra,3,13.4,9.5,22.9,2016
Segrià,13,1.2,2.2,3.4,2016
Selva,23,52.8,3.6,56.5,2016
Solsonès,2,1,0,1,2016
Tarragonès,21,181.7,60.1,241.8,2016
Terra Alta,7,0.7,0.2,0.9,2016
Urgell,7,242.1,172.8,414.9,2016
Vallès Occidental,53,1,6.1,7.1,2016
Vallès Oriental,24,1.4,0.5,1.9,2016
Alt Camp,10,2.2,1.8,4,2017
Alt Empordà,18,5.3,1.7,7,2017
Alt Penedès,20,3.7,9.3,13,2017
Alt Urgell,6,0.4,0.5,0.9,2017
Alta Ribagorça,4,3.8,18.7,22.5,2017
Anoia,33,27.1,7.9,35,2017
Aran,1,20.5,411.8,432.3,2017
Bages,23,267.7,55.5,323.2,2017
Baix Camp,11,0.2,2.1,2.3,2017
Baix Ebre,60,42.1,145.7,187.8,2017
Baix Empordà,19,2.2,0.3,2.4,2017
Baix Llobregat,40,9.6,9.3,18.9,2017
Baix Penedès,5,2.2,0.8,3.1,2017
Barcelonès,7,0.5,4.9,5.4,2017
Berguedà,4,2.3,1.8,4.1,2017
Cerdanya,6,-,3.7,3.7,2017
Conca de Barberà,16,2.6,5.8,8.4,2017
Garraf,4,-,0.2,0.2,2017
Garrigues,15,8,8.6,16.6,2017
Garrotxa,12,0.3,1.3,1.6,2017
Gironès,17,1.7,1.6,3.3,2017
Maresme,24,6.7,11.8,18.5,2017
Moianès,2,9.3,1.6,11,2017
Montsià,9,-,4.1,4.1,2017
Noguera,21,17.8,12.2,30,2017
Osona,13,0.8,0.5,1.3,2017
Pallars Jussà,14,1,5.4,6.4,2017
Pallars Sobirà,3,0.4,6.9,7.3,2017
Pla d'Urgell,-,-,-,0,2017
Pla de l'Estany,14,0.8,0.1,0.9,2017
Priorat,6,0.9,1,1.9,2017
Ribera d'Ebre,15,2.4,2.4,4.8,2017
Ripollès,3,-,0.1,0.1,2017
Segarra,14,9.5,4.4,13.9,2017
Segrià,33,3.4,27.1,30.4,2017
Selva,14,3.7,0.7,4.4,2017
Solsonès,8,1.3,0.1,1.4,2017
Tarragonès,18,1.9,1.7,3.6,2017
Terra Alta,11,2.7,4.3,6.9,2017
Urgell,11,19.1,8.2,27.3,2017
Vallès Occidental,35,3.9,13,16.9,2017
Vallès Oriental,30,4.5,3,7.5,2017
Alt Camp,7,5.7,1.5,7.2,2018
Alt Empordà,18,2.6,21.5,24.2,2018
Alt Penedès,19,1.5,2,3.5,2018
Alt Urgell,2,0.3,1.1,1.4,2018
Alta Ribagorça,0,0,0,0,2018
Anoia,11,0.1,0.3,0.4,2018
Aran,2,0.6,1.3,1.9,2018
Bages,2,0,0.1,0.1,2018
Baix Camp,5,1,3.4,4.4,2018
Baix Ebre,12,1.3,1.2,2.4,2018
Baix Empordà,9,8,1.4,9.3,2018
Baix Llobregat,25,0.5,9.8,10.3,2018
Baix Penedès,6,0.1,1.7,1.7,2018
Barcelonès,8,0.1,5.1,5.2,2018
Berguedà,3,0.8,0.3,1,2018
Cerdanya,1,0,0.1,0.1,2018
Conca de Barberà,8,0.3,0.5,0.8,2018
Garraf,14,0.4,0.6,1,2018
Garrigues,14,0.4,13.8,14.2,2018
Garrotxa,2,0.8,0,0.8,2018
Gironès,3,0.1,0,0.1,2018
Maresme,16,1.6,16.5,18.1,2018
Moianès,4,1.3,1.4,2.8,2018
Montsià,7,0.4,0.8,1.2,2018
Noguera,6,0.2,1.3,1.5,2018
Osona,9,1.8,6.2,7.9,2018
Pallars Jussà,9,0.3,0.7,1,2018
Pallars Sobirà,0,0,0,0,2018
Pla d'Urgell,20,0.3,4.7,5,2018
Pla de l'Estany,7,0.3,0.2,0.6,2018
Priorat,6,0.1,0.8,1,2018
Ribera d'Ebre,1,0,0.3,0.3,2018
Ripollès,5,0.2,0,0.2,2018
Segarra,1,0,0.1,0.1,2018
Segrià,6,0.1,0.2,0.3,2018
Selva,7,4.3,1.2,5.5,2018
Solsonès,0,0,0,0,2018
Tarragonès,4,0.7,0,0.7,2018
Terra Alta,10,1.5,1.7,3.2,2018
Urgell,3,0.8,0.2,0.9,2018
Vallès Occidental,12,0.2,0.8,1,2018
Vallès Oriental,8,0.3,0.1,0.4,2018
Alt Camp,9,1.1,21.2,22.3,2019
Alt Empordà,32,2,2.2,4.1,2019
Alt Penedès,12,0.3,0.2,0.4,2019
Alt Urgell,7,0.4,0.2,0.6,2019
Alta Ribagorça,2,0,0.3,0.3,2019
Anoia,25,54.7,5.3,60,2019
Aran,3,26.6,218,244.6,2019
Bages,21,2.4,6,8.3,2019
Baix Camp,10,0.9,3.9,4.8,2019
Baix Ebre,29,91.6,124.1,215.7,2019
Baix Empordà,25,3.7,1.5,5.2,2019
Baix Llobregat,33,0.9,1.4,2.3,2019
Baix Penedès,4,0.9,1.7,2.5,2019
Barcelonès,8,0,0.3,0.3,2019
Berguedà,14,1,0.4,1.4,2019
Cerdanya,3,0.3,1.1,1.4,2019
Conca de Barberà,15,3.7,1.1,4.8,2019
Garraf,2,0,0,0,2019
Garrigues,8,39.6,57.4,97,2019
Garrotxa,8,0.6,0.3,0.9,2019
Gironès,16,0.4,0.2,0.6,2019
Maresme,13,0.9,0.5,1.4,2019
Moianès,4,0.1,0.1,0.2,2019
Montsià,11,0.1,5.1,5.1,2019
Noguera,24,2.1,12.1,14.3,2019
Osona,9,1.1,0.5,1.6,2019
Pallars Jussà,9,1.1,4.9,6,2019
Pallars Sobirà,7,3,24,27,2019
Pla d'Urgell,1,0,0.2,0.2,2019
Pla de l'Estany,7,0.2,0.1,0.3,2019
Priorat,6,7.8,3.1,10.9,2019
Ribera d'Ebre,10,1487.5,1974.8,3462.3,2019
Ripollès,5,2.7,2.1,4.8,2019
Segarra,7,7.1,9.5,16.6,2019
Segrià,26,292.5,486.9,779.3,2019
Selva,12,4.2,0.1,4.3,2019
Solsonès,7,1,0.4,1.4,2019
Tarragonès,22,3.3,3.4,6.6,2019
Terra Alta,16,12.2,16.5,28.6,2019
Urgell,14,8.6,16.8,25.5,2019
Vallès Occidental,28,0.2,1.9,2.1,2019
Vallès Oriental,21,0.1,1.5,1.6,2019
Alt Camp,2,0,0,0,2020
Alt Empordà,6,0.5,3.3,3.8,2020
Alt Penedès,13,0.4,0.8,1.2,2020
Alt Urgell,8,0.2,4.3,4.5,2020
Alta Ribagorça,1,0,0,0,2020
Anoia,7,0.9,0.4,1.3,2020
Aran,2,2.2,0,2.2,2020
Bages,7,0.2,0.9,1.1,2020
Baix Camp,5,0.2,1.9,2.1,2020
Baix Ebre,19,2.4,3.2,5.6,2020
Baix Empordà,7,0.3,0.2,0.4,2020
Baix Llobregat,13,0.1,0.6,0.7,2020
Baix Penedès,5,0.2,0.3,0.5,2020
Barcelonès,7,0,1.5,1.5,2020
Berguedà,3,0,0,0,2020
Cerdanya,4,0,1.3,1.3,2020
Conca de Barberà,13,0.2,1.3,1.5,2020
Garraf,7,2.3,0.2,0.2,2020
Garrigues,5,6.9,1.9,2,2020
Garrotxa,2,0,0,0,2020
Gironès,10,0.1,0.2,0.3,2020
Maresme,6,0,0.9,0.9,2020
Moianès,2,0,0.2,0.2,2020
Montsià,5,0.6,8.2,8.8,2020
Noguera,16,27.6,9.1,36.7,2020
Osona,6,0.2,0.2,0.3,2020
Pallars Jussà,5,0,0.9,0.9,2020
Pallars Sobirà,6,2,7.2,9.2,2020
Pla d'Urgell,1,0,0.2,0.2,2020
Pla de l'Estany,1,0,0,0,2020
Priorat,1,0,0.1,0.1,2020
Ribera d'Ebre,8,3.9,5.8,9.7,2020
Ripollès,1,0,0.1,0.1,2020
Segarra,8,0.1,4.8,4.9,2020
Segrià,18,2.9,10.8,13.6,2020
Selva,10,7.2,4.8,11.9,2020
Solsonès,2,0.3,0.3,0.5,2020
Tarragonès,7,0.3,1.2,1.4,2020
Terra Alta,7,0.4,0.6,0.9,2020
Urgell,6,1.2,1.6,2.8,2020
Vallès Occidental,14,0.4,0.2,0.6,2020
Vallès Oriental,13,0.3,0.3,0.6,2020
Alt Camp,9,1.4,5.8,7.2,2021
Alt Empordà,29,25.9,432.8,458.7,2021
Alt Penedès,34,2.3,2.9,5.2,2021
Alt Urgell,8,0.3,0,0.3,2021
Alta Ribagorça,3,0.1,0.2,0.3,2021
Anoia,21,1111.4,180.8,1292.2,2021
Aran,0,0,0,0,2021
Bages,16,1.7,2,3.6,2021
Baix Camp,11,0.3,3.2,3.4,2021
Baix Ebre,11,0.3,2.4,2.7,2021
Baix Empordà,40,53.6,48.8,102.5,2021
Baix Llobregat,45,95.4,109.4,204.8,2021
Baix Penedès,11,1.4,1,2.4,2021
Barcelonès,24,0.7,18.5,19.2,2021
Berguedà,7,0.2,0.3,0.4,2021
Cerdanya,4,4.4,3.1,7.5,2021
Conca de Barberà,17,44.8,14.5,59.3,2021
Garraf,5,0.7,0,0.7,2021
Garrigues,19,7.3,1.9,9.2,2021
Garrotxa,4,0,0.5,0.6,2021
Gironès,27,1.4,2.6,4,2021
Maresme,16,12.9,2.4,15.3,2021
Moianès,2,0.3,0.1,0.4,2021
Montsià,6,0,5.2,5.2,2021
Noguera,27,8.2,14.9,23.1,2021
Osona,11,1.4,0.4,1.8,2021
Pallars Jussà,9,0.4,3.4,3.8,2021
Pallars Sobirà,8,0.8,2.1,2.9,2021
Pla d'Urgell,0,0,0,0,2021
Pla de l'Estany,1,0.1,0,0.1,2021
Priorat,3,1.5,1,2.5,2021
Ribera d'Ebre,10,4.4,3.2,7.6,2021
Ripollès,2,0,0.1,0.1,2021
Segarra,6,0.1,10.7,10.8,2021
Segrià,26,11.2,40.7,51.9,2021
Selva,9,2.2,0,2.2,2021
Solsonès,12,3.1,0.5,3.5,2021
Tarragonès,14,2.9,11.3,14.2,2021
Terra Alta,7,49.6,21.4,71,2021
Urgell,12,1.3,3.4,4.6,2021
Vallès Occidental,47,3.7,9.1,12.8,2021
Vallès Oriental,34,1.4,2.7,4.1,2021
