,DATE OF FIRE,SUBREGION ID,SUBREGION,CITY ID,CITY,HA WOODED,HA NOT WOODED,HA NO FOREST,HA FOREST
69,24/02/2011,32,Segarra,250729,Cervera,0.0,0.46,0.0,0.46
70,24/02/2011,16,Conca de Barberà,431763,Vimbodí i Poblet,0.0,0.9,0.0,0.9
71,25/02/2011,10,Baix Empordà,171100,Mont-ras,0.03,0.0,0.0,0.03
72,25/02/2011,2,Alt Empordà,170887,Lladó,0.0,0.1,0.05,0.1
73,25/02/2011,7,Bages,80121,Avinyó,0.8,0.34,0.0,1.14
74,25/02/2011,7,Bages,80180,Balsareny,0.0,0.13,0.0,0.13
75,25/02/2011,6,Anoia,81705,"Prats de Rei, els",0.0,0.63,0.0,0.63
76,25/02/2011,37,Terra Alta,431750,Vilalba dels Arcs,6.2,5.0,0.7,11.2
77,26/02/2011,7,Bages,80478,Cardona,0.0,0.12,0.0,0.12
78,26/02/2011,16,Conca de Barberà,431476,Solivella,0.06,0.54,0.0,0.6
79,26/02/2011,18,Garrigues,250582,"Borges Blanques, les",0.0,1.0,0.6,1.0
80,26/02/2011,22,Montsià,430770,Mas de Barberans,0.0,0.27,0.0,0.27
81,27/02/2011,10,Baix Empordà,170046,Albons,0.0,0.1,0.0,0.1
82,27/02/2011,3,Alt Penedès,82732,Subirats,0.0,0.07,0.0,0.07
83,27/02/2011,4,Alt Urgell,251850,Ribera d'Urgellet,0.0,0.02,0.0,0.02
84,27/02/2011,25,Pallars Jussà,252347,Tremp,6.4,7.7,5.1,14.1
85,28/02/2011,6,Anoia,80214,Bellprat,0.0,0.35,0.0,0.35
86,28/02/2011,9,Baix Ebre,439060,"Ampolla, l'",0.0,0.0,0.0,0.0
87,28/02/2011,33,Segrià,250077,Albatàrrec,0.0,0.2,0.0,0.2
88,01/03/2011,21,Maresme,80095,Argentona,1.03,0.0,0.0,1.03
89,01/03/2011,42,Moianès,80790,"Estany, l'",0.23,0.88,0.0,1.11
90,01/03/2011,7,Bages,81419,Navàs,0.0,0.02,0.0,0.02
91,01/03/2011,15,Cerdanya,251790,Prullans,0.4,0.22,0.0,0.62
92,01/03/2011,33,Segrià,252542,Vilanova de la Barca,0.0,0.4,0.3,0.4
93,02/03/2011,2,Alt Empordà,170669,Figueres,0.0,0.8,0.0,0.8
94,02/03/2011,2,Alt Empordà,170669,Figueres,0.14,0.0,0.0,0.14
95,02/03/2011,11,Baix Llobregat,81580,"Papiol, el",0.0,0.08,0.0,0.08
96,02/03/2011,7,Bages,80983,Sant Salvador de Guardiola,0.0,0.03,0.0,0.03
97,02/03/2011,3,Alt Penedès,81458,Olèrdola,0.0,0.33,0.0,0.33
98,02/03/2011,6,Anoia,80636,Castellolí,0.0,0.11,0.0,0.11
99,02/03/2011,33,Segrià,250138,Alfarràs,0.0,0.7,0.16,0.7
100,03/03/2011,9,Baix Ebre,439060,"Ampolla, l'",0.0,1.6,0.0,1.6
101,04/03/2011,25,Pallars Jussà,251615,Conca de Dalt,0.0,0.9,0.0,0.9
102,06/03/2011,20,Gironès,171557,Salt,0.0,0.0,0.0,0.0
103,07/03/2011,3,Alt Penedès,82270,Sant Martí Sarroca,0.0,0.07,0.05,0.07
104,07/03/2011,26,Pallars Sobirà,250390,Baix Pallars,0.0,0.5,0.0,0.5
105,07/03/2011,23,Noguera,250220,Alòs de Balaguer,0.0,2.7,0.0,2.7
106,07/03/2011,33,Segrià,252542,Vilanova de la Barca,0.0,0.05,0.0,0.05
107,08/03/2011,40,Vallès Occidental,81846,Rubí,0.0,0.06,0.0,0.06
108,09/03/2011,20,Gironès,171864,Sarrià de Ter,0.16,0.0,0.0,0.16
109,09/03/2011,17,Garraf,81483,Olivella,0.0,0.0,0.0,0.0
110,09/03/2011,37,Terra Alta,430483,Corbera d'Ebre,0.18,0.28,0.0,0.46
111,10/03/2011,16,Conca de Barberà,430862,Montblanc,0.0,1.61,0.3,1.61
112,11/03/2011,42,Moianès,82589,Santa Maria d'Oló,0.0,0.2,1.0,0.2
113,11/03/2011,38,Urgell,252173,Tàrrega,0.0,0.16,0.11,0.16
114,11/03/2011,25,Pallars Jussà,259046,Castell de Mur,0.4,4.3,0.3,4.7
115,11/03/2011,33,Segrià,252108,Soses,0.0,0.4,0.0,0.4
116,11/03/2011,33,Segrià,252108,Soses,0.0,0.3,0.0,0.3
117,19/03/2011,33,Segrià,252542,Vilanova de la Barca,0.0,0.09,0.0,0.09
118,20/03/2011,22,Montsià,430629,Freginals,0.0,0.5,0.0,0.5
119,21/03/2011,33,Segrià,251207,Lleida,0.0,0.15,0.0,0.15
120,23/03/2011,38,Urgell,252424,Verdú,0.0,0.23,0.0,0.23
121,23/03/2011,9,Baix Ebre,431554,Tortosa,0.0,0.0,0.0,0.0
122,24/03/2011,24,Osona,82541,"Esquirol, l'",0.0,0.6,0.0,0.6
123,25/03/2011,41,Vallès Oriental,82093,Sant Fost de Campsentelles,0.0,0.0,0.0,0.0
124,25/03/2011,25,Pallars Jussà,251155,Isona i Conca Dellà,0.0,0.7,0.0,0.7
125,25/03/2011,25,Pallars Jussà,251615,Conca de Dalt,0.0,0.8,0.0,0.8
126,29/03/2011,33,Segrià,252542,Vilanova de la Barca,0.0,0.0,0.0,0.0
127,31/03/2011,16,Conca de Barberà,431763,Vimbodí i Poblet,0.08,0.0,0.0,0.08
128,01/04/2011,36,Tarragonès,430430,"Catllar, el",0.0,0.13,0.0,0.13
129,01/04/2011,16,Conca de Barberà,430614,Forès,0.6,1.1,0.0,1.7
130,01/04/2011,38,Urgell,251459,Nalec,0.0,0.24,0.0,0.24
131,01/04/2011,33,Segrià,251333,Maials,0.2,0.4,0.0,0.6
132,02/04/2011,9,Baix Ebre,431042,"Perelló, el",0.0,0.0,0.0,0.0
133,02/04/2011,9,Baix Ebre,431042,"Perelló, el",0.0,0.27,0.0,0.27
134,02/04/2011,9,Baix Ebre,431042,"Perelló, el",0.0,0.7,0.0,0.7
135,02/04/2011,9,Baix Ebre,431042,"Perelló, el",0.0,0.0,0.0,0.0
136,02/04/2011,9,Baix Ebre,431554,Tortosa,0.01,0.0,0.0,0.01
137,04/04/2011,8,Baix Camp,430075,"Aleixar, l'",0.0,0.12,0.0,0.12
138,05/04/2011,16,Conca de Barberà,430862,Montblanc,0.0,1.08,0.0,1.08
139,05/04/2011,37,Terra Alta,431750,Vilalba dels Arcs,0.17,0.0,0.09,0.17
140,06/04/2011,9,Baix Ebre,431554,Tortosa,0.01,0.0,0.0,0.01
141,08/04/2011,10,Baix Empordà,179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",5.75,0.0,0.0,5.75
142,08/04/2011,3,Alt Penedès,82401,Sant Sadurní d'Anoia,0.0,0.1,0.0,0.1
143,08/04/2011,33,Segrià,252326,Torres de Segre,0.0,0.2,0.1,0.2
144,09/04/2011,9,Baix Ebre,439018,Deltebre,0.0,0.03,0.0,0.03
145,09/04/2011,33,Segrià,250117,Alcarràs,0.1,0.0,0.0,0.1
146,09/04/2011,33,Segrià,251312,Massalcoreig,0.0,0.12,0.1,0.12
147,10/04/2011,19,Garrotxa,171143,Olot,0.0,0.0,0.0,0.0
148,11/04/2011,41,Vallès Oriental,80462,Cardedeu,0.06,0.0,0.0,0.06
149,11/04/2011,12,Baix Penedès,431634,"Vendrell, el",0.0,0.0,0.0,0.0
150,11/04/2011,30,Ribera d'Ebre,431508,Tivissa,0.0,1.0,0.0,1.0
151,12/04/2011,2,Alt Empordà,171523,Roses,0.01,0.0,0.0,0.01
152,12/04/2011,2,Alt Empordà,170118,"Armentera, l'",0.01,0.0,0.0,0.01
153,12/04/2011,10,Baix Empordà,172327,Vilopriu,0.01,0.0,0.0,0.01
154,13/04/2011,2,Alt Empordà,171582,Sant Climent Sescebes,0.0,3.6,0.0,3.6
155,13/04/2011,40,Vallès Occidental,82520,Barberà del Vallès,0.0,0.0,0.0,0.0
156,13/04/2011,30,Ribera d'Ebre,430939,Móra d'Ebre,0.0,0.01,0.0,0.01
157,14/04/2011,33,Segrià,250143,Alfés,0.0,0.1,0.16,0.1
158,15/04/2011,33,Segrià,252542,Vilanova de la Barca,0.0,0.15,0.0,0.15
159,16/04/2011,21,Maresme,82613,Santa Susanna,0.0,0.08,0.0,0.08
160,16/04/2011,38,Urgell,250463,Belianes,0.0,0.34,0.0,0.34
161,16/04/2011,9,Baix Ebre,431042,"Perelló, el",0.0,0.96,0.0,0.96
162,16/04/2011,9,Baix Ebre,439060,"Ampolla, l'",0.0,0.03,0.0,0.03
163,16/04/2011,9,Baix Ebre,439060,"Ampolla, l'",0.0,0.01,0.0,0.01
164,16/04/2011,9,Baix Ebre,431042,"Perelló, el",0.0,0.0,0.0,0.0
165,16/04/2011,9,Baix Ebre,431042,"Perelló, el",0.0,0.11,0.0,0.11
166,16/04/2011,9,Baix Ebre,439060,"Ampolla, l'",0.0,0.04,0.0,0.04
167,16/04/2011,9,Baix Ebre,431042,"Perelló, el",0.0,0.08,0.0,0.08
168,16/04/2011,9,Baix Ebre,439060,"Ampolla, l'",0.0,0.0,0.0,0.0
169,17/04/2011,13,Barcelonès,80193,Barcelona,0.0,1.6,0.0,1.6
170,17/04/2011,37,Terra Alta,430483,Corbera d'Ebre,0.0,1.14,0.0,1.14
171,17/04/2011,33,Segrià,252108,Soses,0.0,0.5,0.25,0.5
172,18/04/2011,41,Vallès Oriental,80462,Cardedeu,0.0,0.0,0.0,0.0
173,18/04/2011,16,Conca de Barberà,431476,Solivella,0.3,0.4,0.6,0.7
174,19/04/2011,38,Urgell,252173,Tàrrega,0.0,2.98,0.05,2.98
175,19/04/2011,23,Noguera,250349,Artesa de Segre,0.0,0.3,0.01,0.3
176,19/04/2011,38,Urgell,250030,Agramunt,0.0,0.5,0.0,0.5
177,20/04/2011,40,Vallès Occidental,81803,Ripollet,0.0,0.06,0.0,0.06
178,20/04/2011,3,Alt Penedès,82877,Torrelavit,0.0,0.0,0.0,0.0
179,21/04/2011,3,Alt Penedès,82877,Torrelavit,0.0,0.02,0.0,0.02
180,21/04/2011,38,Urgell,251305,Maldà,0.0,0.3,0.0,0.3
181,27/04/2011,33,Segrià,251207,Lleida,0.0,0.1,0.0,0.1
182,28/04/2011,1,Alt Camp,430831,"Milà, el",0.0,0.04,0.0,0.04
183,01/05/2011,13,Barcelonès,80193,Barcelona,0.0,0.0,0.0,0.0
184,03/05/2011,41,Vallès Oriental,81810,"Roca del Vallès, la",0.0,0.01,0.0,0.01
185,03/05/2011,41,Vallès Oriental,81810,"Roca del Vallès, la",0.0,0.0,0.0,0.0
186,04/05/2011,30,Ribera d'Ebre,431251,Riba-roja d'Ebre,0.0,0.0,0.0,0.0
187,05/05/2011,2,Alt Empordà,171582,Sant Climent Sescebes,0.0,8.2,0.0,8.2
188,06/05/2011,20,Gironès,170792,Girona,0.05,0.0,0.0,0.05
189,06/05/2011,41,Vallès Oriental,81075,Lliçà d'Amunt,0.04,0.0,0.0,0.04
190,06/05/2011,41,Vallès Oriental,82107,Sant Feliu de Codines,0.0,0.0,0.0,0.0
191,06/05/2011,12,Baix Penedès,431634,"Vendrell, el",0.0,0.02,0.0,0.02
192,07/05/2011,2,Alt Empordà,171788,Sant Pere Pescador,0.0,0.0,0.0,0.0
