Subregion,Forest area. Woods (Ha),Forest area. Scrubland (Ha),Forest area. Others (Ha),No vegetation (Ha),Cropland. Dry farming (Ha),Cropland. Irrigated (Ha),Urban and others (1) (Ha),year
Baix Ebre,16182,15752,9668,4959,32886,17133,3360,2003
Baix Empordà,19388,12218,4488,2785,13231,9051,9099,2003
Baix Llobregat,12319,5776,1415,1531,2270,2652,22617,2003
Baix Penedès,5113,9183,187,1877,7038,362,5820,2003
Barcelonès,1855,143,463,183,163,181,11382,2003
Berguedà,44099,6557,42150,9363,10306,119,5916,2003
Cerdanya,19107,2508,25311,3038,2255,981,1785,2003
Conca de Barberà,11752,14633,4380,5162,27252,425,1416,2003
Garraf,4479,2523,3535,2557,1918,163,3285,2003
Garrigues,13222,12085,2932,2014,39060,9244,1233,2003
Garrotxa,32160,14288,11577,4544,7562,1338,1961,2003
Gironès,20665,12827,1247,2880,10730,4580,4671,2003
Maresme,17252,1993,3094,2344,1452,3441,10174,2003
Montsià,10679,9356,3674,7316,21537,18518,2710,2003
Noguera,15372,60268,17253,6703,50510,24444,3790,2003
Osona,54002,14879,13247,7185,30191,480,6286,2003
Pallars Jussà,29091,35228,41554,7157,17528,2993,859,2003
Pallars Sobirà,61845,2935,55147,13192,2103,286,382,2003
Pla d'Urgell,11,0,504,273,745,26077,2960,2003
Pla de l'Estany,10820,2945,898,988,8187,987,1495,2003
Priorat,8668,11490,6067,5459,13640,2324,2022,2003
Ribera d'Ebre,23013,15967,5240,9289,20614,7386,1091,2003
Ripollès,39566,3041,46810,4460,813,41,1059,2003
Segarra,3889,15086,2774,560,47289,165,2507,2003
Segrià,5710,9741,10363,1917,39655,65800,6534,2003
Selva,61328,13353,3198,3392,7247,4446,6686,2003
Solsonès,46894,10643,19185,4058,18032,63,1305,2003
Tarragonès,3242,3353,284,2038,8254,4016,10553,2003
Terra Alta,17554,15766,3327,4004,31850,459,1250,2003
Urgell,2194,2752,2467,1107,31405,15590,2415,2003
Val d'Aran,10500,4986,37607,9630,51,0,516,2003
Vallès Occidental,28478,4697,800,483,4791,609,18442,2003
Vallès Oriental,42122,9268,5476,3362,8801,2914,13302,2003
Alt Camp,10148,8790,3486,4139,19727,3979,3501,2004
Alt Empordà,55096,13884,12546,3673,26679,12769,10419,2004
Alt Penedès,15660,11901,212,3152,23622,190,4583,2004
Alt Urgell,43220,27518,52653,14312,3638,1854,1505,2004
Alta Ribagorça,10708,7156,19995,3888,592,184,267,2004
Anoia,29756,9489,7710,3726,30867,466,4736,2004
Bages,60564,23339,8345,3455,25137,1207,7913,2004
Baix Camp,14640,13110,4792,5921,12875,10091,8301,2004
Baix Ebre,15899,15440,9256,5047,32773,18165,3360,2004
Baix Empordà,19582,12318,4288,2777,13206,9082,9007,2004
Baix Llobregat,12315,5776,1331,1534,2332,2679,22613,2004
Baix Penedès,5113,9183,187,1887,7036,364,5810,2004
Barcelonès,1858,150,477,182,154,156,11393,2004
Berguedà,42383,8273,41679,9539,10287,117,6234,2004
Cerdanya,19117,2508,25442,3002,2169,992,1755,2004
Conca de Barberà,11752,14633,4510,5030,27252,427,1416,2004
Garraf,4479,2523,3525,2557,1925,166,3285,2004
Garrigues,13222,12085,2799,2014,38129,10308,1233,2004
Garrotxa,40321,13003,6347,2865,7995,1417,1482,2004
Gironès,20984,13414,1519,2403,10097,4117,5066,2004
Maresme,17252,1991,3079,2344,1475,3434,10175,2004
Montsià,10311,9093,3534,7212,21874,19116,2650,2004
Noguera,15372,60268,17253,6703,50107,24847,3790,2004
Osona,53506,14307,14711,7179,30074,625,5947,2004
Pallars Jussà,29091,35228,41554,7157,17519,3002,859,2004
Pallars Sobirà,61845,2935,55147,13192,2097,292,382,2004
Pla d'Urgell,11,0,493,273,740,26093,2960,2004
Pla de l'Estany,10820,2945,898,988,8180,987,1502,2004
Priorat,8668,11490,6067,5459,13639,2325,2022,2004
Ribera d'Ebre,23015,15967,5240,9248,20391,7506,1233,2004
Ripollès,39566,3995,46107,4485,556,22,1059,2004
Segarra,3889,15086,2760,574,47288,166,2507,2004
Segrià,5710,9731,10210,1917,39267,66351,6534,2004
Selva,61093,13406,3203,3376,7114,4407,6541,2004
Solsonès,46894,10643,19185,4058,18031,64,1305,2004
Tarragonès,3241,3350,284,2022,8282,4000,10561,2004
Terra Alta,17554,15766,3235,4004,31938,446,1267,2004
Urgell,2194,2752,2467,1107,31396,15599,2415,2004
Val d'Aran,10500,4986,37607,9630,51,,516,2004
Vallès Occidental,28459,4695,780,485,4768,675,18438,2004
Vallès Oriental,41976,9387,5295,3259,8870,3081,13302,2004
Alt Camp,10148,8787,3486,4139,19730,3979,3501,2005
Alt Empordà,62832,7469,13357,6512,26717,12782,5398,2005
Alt Penedès,12536,15249,432,1978,23070,201,5854,2005
Alt Urgell,43220,27518,52636,14312,3620,1889,1505,2005
Alta Ribagorça,6176,10156,24345,918,592,184,419,2005
Anoia,30522,13803,5186,1972,29461,380,5426,2005
Bages,65353,26160,2317,3795,24710,1158,6467,2005
Baix Camp,14641,13132,4810,5891,12905,10050,8301,2005
Baix Ebre,16063,15740,9655,5037,32643,17401,3401,2005
Baix Empordà,19582,12318,4278,2777,13176,9122,9007,2005
Baix Llobregat,11701,10782,1575,2863,2359,2751,16549,2005
Baix Penedès,5113,9078,187,1887,7141,364,5810,2005
Barcelonès,1594,941,134,118,28,89,11466,2005
Berguedà,58990,15429,28439,2544,10742,118,2250,2005
Cerdanya,21492,2204,25047,2147,1910,838,1347,2005
Conca de Barberà,11752,14633,4510,5030,27222,457,1416,2005
Garraf,3348,7118,364,734,1911,170,4815,2005
Garrigues,13222,12085,2877,2014,38056,10303,1233,2005
Garrotxa,40981,14156,5232,1024,8200,1575,2232,2005
Gironès,20941,13414,1488,2388,10133,4184,5052,2005
Maresme,20489,2994,879,1792,1314,3310,8972,2005
Montsià,9287,12690,1132,5387,23159,19037,3098,2005
Noguera,15342,60238,17186,6769,50075,24864,3866,2005
Osona,63214,12769,9613,4548,29941,614,5652,2005
Pallars Jussà,29091,35228,41552,7157,17517,3006,859,2005
Pallars Sobirà,61845,2935,55147,13192,2077,312,382,2005
Pla d'Urgell,26,0,499,1166,846,26149,1884,2005
Pla de l'Estany,10820,2945,898,988,8173,985,1511,2005
Priorat,8668,11490,5867,5459,13645,2519,2022,2005
Ribera d'Ebre,22920,15798,5568,10459,19507,7226,1122,2005
Ripollès,39566,3995,46006,4487,652,20,1064,2005
Segarra,3889,15086,2760,574,47278,176,2507,2005
Segrià,5710,9731,10183,1917,38921,66724,6534,2005
Selva,60384,13301,2918,2540,7020,4380,9109,2005
Solsonès,57433,5972,14532,2820,18249,70,1104,2005
Tarragonès,2902,3934,819,3129,8886,3858,8212,2005
Terra Alta,32390,8602,603,1284,29401,372,1558,2005
Urgell,2164,2781,2712,1222,31295,15629,2127,2005
Val d'Aran,10500,9597,41702,773,51,0,667,2005
Vallès Occidental,22855,8070,806,2537,4834,721,18295,2005
Vallès Oriental,45419,7284,2735,2902,8794,3104,14932,2005
Alt Camp,10148,8787,3472,4139,19744,3979,3501,2006
Alt Empordà,63226,7901,15478,6691,24445,12619,5343,2006
Alt Penedès,12536,15249,690,1978,22833,162,5872,2006
Alt Urgell,57549,34772,41572,3666,4034,2399,708,2006
Alta Ribagorça,6180,10156,24439,827,592,184,412,2006
Anoia,29601,13823,5889,1994,29610,372,5461,2006
Bages,66181,27241,3228,3769,21765,909,6744,2006
Baix Camp,14641,13132,4810,5891,12905,10050,8301,2006
Baix Ebre,16035,15689,9608,5194,32585,17431,3398,2006
Baix Empordà,19682,12318,4178,2777,13166,9132,9007,2006
Baix Llobregat,11678,10898,1502,2684,2962,2487,16369,2006
Baix Penedès,7244,7970,35,1354,7827,321,4829,2006
Barcelonès,1598,941,133,109,28,76,11485,2006
Berguedà,60112,15511,28174,2362,10083,69,2201,2006
Cerdanya,24426,13086,11311,1396,2145,923,1719,2006
Conca de Barberà,11752,14633,4510,5030,27245,434,1416,2006
Garraf,3544,6916,342,738,1891,170,4859,2006
Garrigues,13222,11917,3041,1063,36101,12108,2338,2006
Garrotxa,41011,14156,5231,1025,8208,1567,2232,2006
Gironès,21031,13409,1524,2462,9863,4229,5082,2006
Maresme,20489,2994,923,2058,833,2957,9496,2006
Montsià,9081,12818,947,5392,23501,18961,3090,2006
Noguera,15328,60238,19806,4899,49330,25442,3297,2006
Osona,66828,10189,9327,4758,28719,601,5929,2006
Pallars Jussà,29091,35228,44331,3262,17529,3014,1955,2006
Pallars Sobirà,61845,2935,65663,1660,2071,321,1395,2006
Pla d'Urgell,28,0,595,1147,726,26263,1811,2006
Pla de l'Estany,10820,2945,898,988,8158,984,1527,2006
Priorat,8668,11490,5867,5577,13645,2519,1904,2006
Ribera d'Ebre,22920,15798,5349,10429,18443,7722,1939,2006
Ripollès,39566,3995,45980,4487,678,20,1064,2006
Segarra,3889,14833,3465,764,47204,188,1927,2006
Segrià,5701,9414,7769,6431,37409,66815,6181,2006
Selva,60280,13414,3262,2540,6752,4285,9109,2006
Solsonès,73742,1315,3034,1418,19135,51,1485,2006
Tarragonès,2099,6276,476,1753,9187,3919,8640,2006
Terra Alta,32408,8598,591,1284,29403,368,1558,2006
Urgell,2324,2610,2780,1172,31074,15929,2041,2006
Val d'Aran,27037,8717,25914,883,51,0,688,2006
Vallès Occidental,23036,8065,1170,2494,4173,601,18761,2006
Vallès Oriental,46408,7255,2655,2951,8398,2560,14943,2006
Alt Camp,14389,12211,0,1107,18849,4123,3091,2007
Alt Empordà,55096,25211,12507,4471,18625,12017,7776,2007
Alt Penedès,13642,13081,1819,2158,22596,155,5869,2007
Alt Urgell,91678,37041,5351,2344,3950,2332,2004,2007
Alta Ribagorça,16331,22902,1542,826,591,185,413,2007
Anoia,29881,14081,5375,2514,29030,368,5501,2007
Bages,66645,23948,4425,5048,21937,827,7130,2007
