,Year,Subregion,Cuty,TOTAL,traffic accidents,Alerts,Other alerts,Assist_ Techn_ urg_,Assist_Tecn_ not urg_,Explosion/Collapse,Building fires,Home fires,Industrial fires,Various fires,Information  M_P,Information incidents,Smells,Animal rescue,Goods rescue,People rescue,Use of air means,Simulacrum,Veget_ agricul_ land,Veget_ forest_land,Veget_ urban_land
331,2007.0,Barcelonès,Barcelona,432,16,33.0,17.0,28,26,10.0,2.0,2,,6,1.0,,,7,1.0,9,248,21.0,,4,1
332,2007.0,Barcelonès,Hospitalet de Llobregat,2278,46,3.0,2.0,659,697,5.0,28.0,104,15.0,429,,1.0,24.0,33,1.0,154,4,19.0,1,3,50
333,2007.0,Barcelonès,Sant Adrià de Besòs,264,21,,1.0,92,9,,6.0,16,4.0,68,,,1.0,3,,23,,5.0,,2,13
334,2007.0,Barcelonès,Santa Coloma de Gramenet,696,41,,,219,112,,17.0,62,2.0,161,,,12.0,20,,33,,6.0,,5,6
335,2007.0,Berguedà,Avià,18,3,4.0,,4,3,,,,,,,,,,,3,,,1,,
336,2007.0,Berguedà,Bagà,47,3,1.0,,11,7,,,1,1.0,5,,,1.0,1,,10,,1.0,1,2,2
337,2007.0,Berguedà,Berga,429,31,25.0,1.0,95,164,1.0,2.0,14,2.0,55,,,,12,,9,3,6.0,2,3,4
338,2007.0,Berguedà,Borredà,6,,1.0,,1,4,,,,,,,,,,,,,,,,
339,2007.0,Berguedà,Capolat,8,2,1.0,,1,1,,,,,,,,,,,1,,,,2,
340,2007.0,Berguedà,Casserres,18,6,1.0,,1,3,,,1,,1,,,,,,2,,,1,2,
341,2007.0,Berguedà,Castell de l'Areny,1,,,,,,,,1,,,,,,,,,,,,,
342,2007.0,Berguedà,Castellar de n'Hug,7,5,1.0,,,,,,,,1,,,,,,,,,,,
343,2007.0,Berguedà,Castellar del Riu,10,1,,,3,,,,,,3,,,,,,2,,,,1,
344,2007.0,Berguedà,Cercs,46,22,3.0,,9,2,,,,,5,,,,,2.0,3,,,,,
345,2007.0,Berguedà,Espunyola,9,4,,,1,3,,,,,,,,,,,,,,,1,
346,2007.0,Berguedà,Fígols,2,1,,,1,,,,,,,,,,,,,,,,,
347,2007.0,Berguedà,Gironella,100,21,1.0,,16,44,,1.0,2,,8,,,,1,,,,1.0,1,,4
348,2007.0,Berguedà,Gisclareny,1,,,,,,,,,,,,,,,,1,,,,,
349,2007.0,Berguedà,Gósol,5,,,,,,,,,,,,,,,,5,,,,,
350,2007.0,Berguedà,Guardiola de Berguedà,102,21,,,14,59,,,1,,2,,,,3,,1,,,,1,
351,2007.0,Berguedà,Montmajor,10,3,,,,4,,,,,3,,,,,,,,,,,
352,2007.0,Berguedà,Nou de Berguedà,7,3,1.0,,2,,,,,,,,,,,,1,,,,,
353,2007.0,Berguedà,Olvan,13,4,,,3,1,,,,,1,,,,,,2,,,1,1,
354,2007.0,Berguedà,Pobla de Lillet,14,5,2.0,,1,1,1.0,,,,1,,,,,,3,,,,,
355,2007.0,Berguedà,Puig-reig,116,25,2.0,,14,47,,,3,1.0,12,,,3.0,2,1.0,,,3.0,1,1,1
356,2007.0,Berguedà,Quar,1,,,,1,,,,,,,,,,,,,,,,,
357,2007.0,Berguedà,Sagàs,4,2,,,,1,,,,,,,,,,,,,,1,,
358,2007.0,Berguedà,Saldes,35,2,3.0,,,12,,1.0,,,,,,,,,16,,,,1,
359,2007.0,Berguedà,Sant Jaume de Frontanyà,3,,,,,1,,,2,,,,,,,,,,,,,
360,2007.0,Berguedà,Sant Julià de Cerdanyola,1,1,,,,,,,,,,,,,,,,,,,,
361,2007.0,Berguedà,Santa Maria de Merlès,24,2,,,,19,,,,,2,,,,1,,,,,,,
362,2007.0,Berguedà,Vallcebre,3,,,,,1,,,,,,,,,,,1,,,,1,
363,2007.0,Berguedà,Vilada,9,4,1.0,,,,,,1,,,,,,,,1,,1.0,,1,
364,2007.0,Berguedà,Viver i Serrateix,1,,,,,,,,,,,,,,,,,,,,1,
365,2007.0,Cerdanya,Alp,73,21,1.0,,13,16,,1.0,6,,7,,,,,,4,1,1.0,,,2
366,2007.0,Cerdanya,Bellver de Cerdanya,75,11,3.0,,12,22,,1.0,8,2.0,4,,,,1,,5,,1.0,1,4,
367,2007.0,Cerdanya,Bolvir,18,3,2.0,,2,1,,,1,,1,,,,,,,,,4,2,2
368,2007.0,Cerdanya,Das,4,1,,,1,,,,,,1,,,,,,1,,,,,
369,2007.0,Cerdanya,Fontanals de Cerdanya,14,5,,,,1,,,1,,2,,,,,,1,,,1,2,1
370,2007.0,Cerdanya,Ger,10,1,,,2,,,1.0,1,,1,,,,,,1,,,,2,1
371,2007.0,Cerdanya,Guils de Cerdanya,21,3,1.0,,3,,1.0,,1,,3,,,,,,4,,,2,3,
372,2007.0,Cerdanya,Isòvol,8,2,,,,,,,,,4,,,,,,,,,,1,1
373,2007.0,Cerdanya,Lles de Cerdanya,7,2,,,1,,,,1,,1,,,,,,1,,,,,1
374,2007.0,Cerdanya,Llívia,29,5,,,9,2,1.0,,1,,3,,,1.0,2,,1,,,2,,2
375,2007.0,Cerdanya,Meranges,8,,,,,3,,,,,1,,,,,,4,,,,,
376,2007.0,Cerdanya,Montellà i Martinet,18,3,,,3,4,,,3,,,,,,,,3,1,,1,,
377,2007.0,Cerdanya,Prats i Sansor,6,,,,,,,1.0,2,,1,,,,1,1.0,,,,,,
378,2007.0,Cerdanya,Prullans,10,2,1.0,,4,,,,1,,,,,,1,,,,,,1,
379,2007.0,Cerdanya,Puigcerdà,157,23,9.0,,36,27,,1.0,10,1.0,17,,,5.0,1,,15,1,,4,4,3
380,2007.0,Cerdanya,Riu de Cerdanya,3,1,,,,,,,,,,,,,,,2,,,,,
381,2007.0,Cerdanya,Urús,7,1,,,,2,,,1,,,,,,1,,2,,,,,
382,2007.0,Conca de Barberà,Barberà de la Conca,15,5,,,2,1,,,,,1,,1.0,,,,1,,,3,1,
383,2007.0,Conca de Barberà,Blancafort,8,1,,,1,3,,,1,,1,,,,,,,,,,1,
384,2007.0,Conca de Barberà,Conesa,11,,,,,11,,,,,,,,,,,,,,,,
385,2007.0,Conca de Barberà,Espluga de Francolí,48,12,,,2,10,,,4,,7,,,,,,,,,2,8,3
386,2007.0,Conca de Barberà,Forès,8,1,,,1,4,,,,,,,,,1,,,,,1,,
387,2007.0,Conca de Barberà,Llorac,4,,,,,2,,,1,,,,,,,,,,,1,,
388,2007.0,Conca de Barberà,Montblanc,208,30,3.0,,17,95,,,3,1.0,16,,2.0,,5,,6,1,,13,10,6
389,2007.0,Conca de Barberà,Passanant,15,,,,,12,,,,,1,,,,,,,,,1,1,
390,2007.0,Conca de Barberà,Piles,11,2,,,1,6,,,,,,,,,,,1,,,,1,
391,2007.0,Conca de Barberà,Pira,8,3,,,1,1,,,,,1,,,,,,,,,1,1,
392,2007.0,Conca de Barberà,Pontils,5,,,,1,3,,,,,,,,1.0,,,,,,,,
393,2007.0,Conca de Barberà,Rocafort de Queralt,5,3,,,2,,,,,,,,,,,,,,,,,
394,2007.0,Conca de Barberà,Santa Coloma de Queralt,59,5,,,6,27,,,,,12,,,,2,,1,,,5,1,
395,2007.0,Conca de Barberà,Sarral,35,6,,,7,14,,,1,,3,,,,,,,,,1,2,1
396,2007.0,Conca de Barberà,Savallà del Comtat,2,,,,1,,,,,,,,,,1,,,,,,,
397,2007.0,Conca de Barberà,Senan,5,,,,,4,,,,,,,,,,,,,,,1,
398,2007.0,Conca de Barberà,Solivella,7,1,,,,,,1.0,,,1,,,,,,,,,3,,1
399,2007.0,Conca de Barberà,Vallclara,6,1,,,,4,,,1,,,,,,,,,,,,,
400,2007.0,Conca de Barberà,Vallfogona de Riucorb,1,,,,1,,,,,,,,,,,,,,,,,
401,2007.0,Conca de Barberà,Vilanova de Prades,10,1,,,3,4,,,,,2,,,,,,,,,,,
402,2007.0,Conca de Barberà,Vilaverd,13,3,,,1,1,,,,,3,,,,,,1,,,2,2,
403,2007.0,Conca de Barberà,Vimbodí i Poblet,32,8,,,1,14,,,,,3,,,,,,2,,,1,2,1
404,2007.0,Garraf,Canyelles,49,5,3.0,,9,11,1.0,,5,,6,,,,4,,,,,,5,
405,2007.0,Garraf,Cubelles,80,11,,1.0,18,12,,1.0,4,3.0,19,,,,2,,3,,,,2,4
406,2007.0,Garraf,Olivella,42,3,,,13,5,,,2,,7,,,,5,,1,,1.0,,2,3
407,2007.0,Garraf,Sant Pere de Ribes,231,26,,,32,12,,3.0,16,2.0,90,,,,19,,8,1,2.0,1,7,12
408,2007.0,Garraf,Sitges,592,57,2.0,1.0,202,148,1.0,2.0,12,2.0,56,,,2.0,23,1.0,59,7,2.0,1,3,11
409,2007.0,Garraf,Vilanova i la Geltrú,1075,36,2.0,,184,326,,5.0,32,11.0,330,,,4.0,25,2.0,46,6,8.0,5,7,46
410,2007.0,Garrigues,Albagés,5,1,,,1,,,,1,,,,,,,,,,,,2,
411,2007.0,Garrigues,Albi,17,3,,,,1,,,,,5,,,,,,,,,3,5,
412,2007.0,Garrigues,Arbeca,23,6,,,4,1,,,,,2,,,,1,,2,,,6,1,
413,2007.0,Garrigues,Bellaguarda,5,,,,,1,,,,,1,,,,1,,1,,,,1,
414,2007.0,Garrigues,Borges Blanques,218,24,2.0,4.0,16,105,,,4,,19,,,,8,,5,2,,24,5,
415,2007.0,Garrigues,Bovera,3,,,,2,,,,,,,,,,,,,,,1,,
416,2007.0,Garrigues,Castelldans,17,9,,,,,,,,1.0,1,,,,,,,2,,1,3,
417,2007.0,Garrigues,Cervià de les Garrigues,12,,,,2,1,,,,,3,,,,,,,,,4,2,
418,2007.0,Garrigues,Cogul,1,,,,,,,,1,,,,,,,,,,,,,
419,2007.0,Garrigues,Espluga Calba,1,1,,,,,,,,,,,,,,,,,,,,
420,2007.0,Garrigues,Floresta,8,3,,,,,,,,,1,,,,,,,,,,3,1
421,2007.0,Garrigues,Fulleda,1,,,,,1,,,,,,,,,,,,,,,,
422,2007.0,Garrigues,Granadella,113,7,,,20,77,,,1,,2,,,,,,1,,,5,,
423,2007.0,Garrigues,Granyena de les Garrigues,2,1,,,1,,,,,,,,,,,,,,,,,
424,2007.0,Garrigues,Juncosa,4,2,,,,,,,,1.0,,,,,,,,,,,1,
425,2007.0,Garrigues,Juneda,44,12,,,7,2,,1.0,,,9,,,,1,,1,,,8,2,1
426,2007.0,Garrigues,Omellons,6,1,,,,1,,,1,,1,,,,,,,,,1,1,
427,2007.0,Garrigues,Pobla de Cérvoles,2,,,,,,,,,,,,,,,,1,,,,1,
428,2007.0,Garrigues,Puiggròs,5,4,,,,,,,,,,,,,,,,,,1,,
429,2007.0,Garrigues,Soleràs,1,,,,1,,,,,,,,,,,,,,,,,
430,2007.0,Garrigues,Tarrés,4,3,,,,,,,,,1,,,,,,,,,,,
431,2007.0,Garrigues,Torms,2,,,,,,,,,1.0,1,,,,,,,,,,,
432,2007.0,Garrigues,Vilosell,5,1,,,,1,,,,,1,,,,,,,,,,2,
433,2007.0,Garrigues,Vinaixa,21,8,1.0,,3,,,,,,5,,,,,,1,,,1,2,
434,2007.0,Garrotxa,Argelaguer,18,5,,,5,3,,,1,1.0,1,,,,,,,,,1,1,
435,2007.0,Garrotxa,Besalú,32,17,,,2,3,,,1,,5,,,1.0,1,,2,,,,,
436,2007.0,Garrotxa,Beuda,7,1,,,,1,,,,1.0,1,,,,,,1,,,1,1,
437,2007.0,Garrotxa,Castellfollit de la Roca,9,4,,,1,1,,,1,,,,,,,,1,,,,1,
438,2007.0,Garrotxa,Maià de Montcal,8,2,,,,,,,1,,,,,,1,,1,,,,3,
439,2007.0,Garrotxa,Mieres,13,3,,,,7,,,,,1,,,,,,,,,,2,
440,2007.0,Garrotxa,Montagut,42,3,,,2,19,,,,1.0,1,,,,1,,11,,,,4,
441,2007.0,Garrotxa,Olot,303,53,1.0,,44,88,1.0,2.0,22,7.0,43,,,,4,,21,10,2.0,1,4,
442,2007.0,Garrotxa,Planes d'Hostoles,37,8,,,1,14,,1.0,,3.0,3,,,,,,1,,,1,3,2
443,2007.0,Garrotxa,Preses,26,11,,,2,6,,,,,5,,,,1,,1,,,,,
444,2007.0,Garrotxa,Riudaura,8,4,,,,1,,,,,1,,,,,,2,,,,,
445,2007.0,Garrotxa,Sales de Llierca,8,,,,,5,,,,,,,,,,,3,,,,,
446,2007.0,Garrotxa,Sant Aniol de Finestres,14,2,,,1,5,,,,,,,,,1,,1,1,,,3,
447,2007.0,Garrotxa,Sant Feliu de Pallerols,21,8,,,1,9,,,,,,,,,,,1,,1.0,,,1
448,2007.0,Garrotxa,Sant Ferriol,18,5,,,,10,,,,,1,,,,,,2,,,,,
449,2007.0,Garrotxa,Sant Jaume de Llierca,6,1,,,2,3,,,,,,,,,,,,,,,,
450,2007.0,Garrotxa,Sant Joan les Fonts,25,11,,,3,4,,1.0,2,,3,,,,,,,,1.0,,,
451,2007.0,Garrotxa,Santa Pau,24,2,,,3,6,,1.0,1,1.0,1,,,,,,4,,,2,3,
452,2007.0,Garrotxa,Tortellà,8,,,,,1,,,1,,2,,,,,,3,,,,,1
453,2007.0,Garrotxa,Vall de Bianya,18,6,,,1,6,,,1,,2,,,,,,1,,,1,,
454,2007.0,Garrotxa,Vall d'en Bas,42,13,,,3,7,,,2,1.0,5,,,,,,8,,,,3,
455,2007.0,Gironès,Aiguaviva,55,28,,,,2,,,1,1.0,8,,,,,,1,,10.0,1,2,1
456,2007.0,Gironès,Bescanó,85,34,,,12,14,,,6,,9,,,,4,,,,1.0,2,3,
457,2007.0,Gironès,Bordils,19,5,,,3,5,,,1,,2,,,,,,2,,,,,1
458,2007.0,Gironès,Campllong,8,6,,,,,,1.0,,,1,,,,,,,,,,,
459,2007.0,Gironès,Canet d'Adri,20,1,1.0,,1,14,,,,,2,,,,,,,,,1,,
460,2007.0,Gironès,Cassà de la Selva,184,28,,,15,85,,,7,1.0,28,,,,3,,5,,2.0,4,4,2
461,2007.0,Gironès,Celrà,63,22,,,9,11,,1.0,1,3.0,11,,,1.0,,,3,,1.0,,,
462,2007.0,Gironès,Cervià de Ter,14,5,,,1,,,,1,,5,,,,1,,,,,1,,
463,2007.0,Gironès,Flaçà,15,9,,,,3,,,,,1,,,,1,,,,,,1,
464,2007.0,Gironès,Fornells de la Selva,64,37,,,6,5,,,3,1.0,7,,,,3,,,,,1,1,
465,2007.0,Gironès,Girona,1318,270,3.0,1.0,239,171,2.0,21.0,71,3.0,269,,1.0,13.0,20,,124,36,32.0,4,27,11
466,2007.0,Gironès,Juià,5,3,,,,1,,,,,1,,,,,,,,,,,
467,2007.0,Gironès,Llagostera,161,61,,,14,36,,,9,1.0,20,,,,1,,2,,,4,10,3
468,2007.0,Gironès,Llambilles,30,24,,,1,2,,,2,,1,,,,,,,,,,,
469,2007.0,Gironès,Madremanya,16,1,,,,11,,,1,,2,,,,,,1,,,,,
470,2007.0,Gironès,Quart,74,25,,,8,21,,,4,1.0,9,,,,,1.0,2,,,1,2,
471,2007.0,Gironès,Salt,264,42,1.0,,49,22,3.0,2.0,24,2.0,54,,,5.0,3,,39,,5.0,3,7,3
472,2007.0,Gironès,Sant Andreu Salou,1,,,,,,,,,,1,,,,,,,,,,,
473,2007.0,Gironès,Sant Gregori,59,25,,1.0,4,1,,,1,1.0,14,,,,3,,2,,,,6,1
474,2007.0,Gironès,Sant Joan de Mollet,3,1,,,,,,,1,,1,,,,,,,,,,,
475,2007.0,Gironès,Sant Jordi Desvalls,14,4,,,1,5,,,,,1,,,,,,1,,,1,1,
476,2007.0,Gironès,Sant Julià de Ramis,85,47,,,7,3,,,2,,17,,,1.0,,,1,,1.0,,6,
477,2007.0,Gironès,Sant Martí de Llémena,13,4,,,1,,,,,,4,,,,,,2,,,2,,
478,2007.0,Gironès,Sant Martí Vell,7,3,,,3,,,,,,,,,,,,,,,,1,
479,2007.0,Gironès,Sarrià de Ter,38,16,,,3,,,,2,1.0,6,,,,1,,2,,2.0,1,3,1
480,2007.0,Gironès,Vilablareix,45,19,,,2,6,,,3,,12,,,,,,,,,1,2,
481,2007.0,Gironès,Viladasens,9,5,,,1,,,,,,2,,,,,,,,,1,,
482,2007.0,Maresme,Alella,67,6,,,25,14,1.0,1.0,3,,7,,,,,,3,,4.0,,1,2
483,2007.0,Maresme,Arenys de Mar,351,21,1.0,,139,95,,4.0,10,,32,,,,11,9.0,20,1,2.0,,4,2
484,2007.0,Maresme,Arenys de Munt,96,11,1.0,,42,5,,1.0,7,1.0,12,,,,1,5.0,3,1,2.0,1,3,
485,2007.0,Maresme,Argentona,120,25,,,37,5,,,5,,17,,,,12,,9,,,,6,4
486,2007.0,Maresme,Cabrera de Mar,88,18,,,17,4,,,1,4.0,22,,,,3,2.0,8,,1.0,,2,6
487,2007.0,Maresme,Cabrils,30,3,,,5,1,,,2,,7,,,,1,,4,,3.0,,4,
488,2007.0,Maresme,Caldes d'Estrac,25,4,,,14,1,,,3,,1,,,,,1.0,,,1.0,,,
489,2007.0,Maresme,Calella,212,11,1.0,,67,22,2.0,3.0,13,,48,,,,,2.0,22,,3.0,,9,9
490,2007.0,Maresme,Canet de Mar,85,7,,,37,1,1.0,3.0,1,,9,,,,7,,5,,2.0,2,6,4
491,2007.0,Maresme,Dosrius,120,6,,,16,69,,,4,4.0,5,,,,4,,4,4,1.0,,2,1
492,2007.0,Maresme,Malgrat de Mar,364,28,,,73,158,,7.0,11,2.0,30,,,,10,4.0,15,1,8.0,,8,9
493,2007.0,Maresme,Masnou,103,9,,,38,4,,1.0,9,1.0,26,,,,1,,5,,1.0,,3,5
494,2007.0,Maresme,Mataró,1058,47,1.0,,336,189,2.0,8.0,57,6.0,245,2.0,,8.0,35,3.0,51,12,16.0,1,12,27
495,2007.0,Maresme,Montgat,92,13,,,43,2,,,3,,22,,,,1,2.0,2,,,,1,3
496,2007.0,Maresme,Òrrius,10,,,,1,4,,,,,1,,,,,,3,,,,1,
497,2007.0,Maresme,Palafolls,109,17,,,42,4,,,6,,21,,,2.0,4,1.0,2,,2.0,1,3,4
498,2007.0,Maresme,Pineda de Mar,399,22,,,112,151,,7.0,17,3.0,45,,,1.0,7,,17,,4.0,,5,8
499,2007.0,Maresme,Premià de Dalt,45,3,,,11,3,1.0,,5,,12,,,,4,,1,,2.0,,,3
500,2007.0,Maresme,Premià de Mar,95,5,,,44,6,1.0,1.0,7,,19,,,,4,,5,,2.0,,,1
501,2007.0,Maresme,Sant Andreu de Llavaneres,70,10,,,26,5,,2.0,4,,8,,,,5,,4,,1.0,,2,3
502,2007.0,Maresme,Sant Cebrià de Vallalta,108,1,,,10,74,,1.0,5,,3,,,,7,,1,,1.0,,4,1
503,2007.0,Maresme,Sant Iscle de Vallalta,23,,,,9,1,,,2,,5,,,,2,,1,,,,2,1
504,2007.0,Maresme,Sant Pol de Mar,56,6,1.0,,15,1,,1.0,3,,11,,,1.0,5,,4,,,,5,3
505,2007.0,Maresme,Sant Vicenç de Montalt,31,3,,,11,,,1.0,2,,6,,,1.0,1,,1,,1.0,,3,1
506,2007.0,Maresme,Santa Susanna,58,6,,,19,11,,3.0,3,,10,,,,2,,1,,,,1,2
507,2007.0,Maresme,Teià,22,1,,1.0,6,1,,1.0,1,1.0,7,,,,1,,,,,,,2
508,2007.0,Maresme,Tiana,62,3,,1.0,17,1,,,4,1.0,18,,,,4,,2,,,1,4,6
509,2007.0,Maresme,Tordera,376,38,,,81,173,,2.0,6,,39,,,,11,,4,,5.0,,7,10
510,2007.0,Maresme,Vilassar de Dalt,120,3,,,20,78,,1.0,7,2.0,5,,,,,,2,,,,,2
511,2007.0,Maresme,Vilassar de Mar,95,7,,,38,7,1.0,2.0,7,2.0,15,,,,2,1.0,6,,1.0,,2,4
512,2007.0,Montsià,Alcanar,112,26,1.0,1.0,12,4,,1.0,6,5.0,13,,,,2,,4,,1.0,19,8,9
513,2007.0,Montsià,Amposta,417,75,4.0,,129,56,,3.0,11,5.0,52,,,1.0,8,,22,6,3.0,21,10,11
514,2007.0,Montsià,Freginals,25,16,,,,1,,,,,1,,1.0,,,,1,,,2,2,1
515,2007.0,Montsià,Galera,12,1,,,2,1,,,,,4,,,,1,,,,,3,,
516,2007.0,Montsià,Godall,11,1,,,,3,,,,,2,,,,,,,,,2,3,
517,2007.0,Montsià,Mas de Barberans,23,1,,,,2,,,,1.0,2,,,,,,1,,,9,6,1
518,2007.0,Montsià,Masdenverge,16,4,,,4,1,,,,,,,,,,2.0,,,,3,1,1
519,2007.0,Montsià,Sant Carles de la Ràpita,112,22,1.0,,31,7,,,3,4.0,13,,,3.0,4,,11,,,5,3,5
520,2007.0,Montsià,Sant Jaume d'Enveja,26,2,,,6,,,,2,1.0,3,,,,1,,1,,,4,2,4
521,2007.0,Montsià,Santa Bàrbara,86,12,,,3,1,,2.0,3,,53,,,,,,,,,8,3,1
522,2007.0,Montsià,Sénia,86,11,,,14,18,,,1,2.0,7,,,1.0,1,,2,,,15,8,6
523,2007.0,Montsià,Ulldecona,228,42,1.0,1.0,33,73,,,2,1.0,16,,1.0,1.0,8,,3,1,1.0,23,13,8
524,2007.0,Noguera,Àger,144,3,1.0,,16,104,,,,,2,,,,2,,13,,,1,1,1
525,2007.0,Noguera,Albesa,4,2,,,,,,,,,2,,,,,,,,,,,
526,2007.0,Noguera,Algerri,16,10,,,1,2,,,1,1.0,,,,,1,,,,,,,
527,2007.0,Noguera,Alòs de Balaguer,3,,,,,2,,,,,1,,,,,,,,,,,
528,2007.0,Noguera,Artesa de Segre,185,32,,,22,87,,,3,3.0,9,,,1.0,5,,5,2,,10,6,
529,2007.0,Noguera,Avellanes i Santa Linya,4,1,,,,,,,,,,,,,,,2,,,1,,
530,2007.0,Noguera,Balaguer,353,72,4.0,3.0,68,103,,2.0,11,6.0,25,,,4.0,11,,16,9,1.0,6,5,7
531,2007.0,Noguera,Baronia de Rialb,11,5,,,,1,,,,,,,,,,,3,,,1,1,
532,2007.0,Noguera,Bellcaire d'Urgell,21,6,,,,2,,,3,2.0,5,,,,,,,,,1,1,1
533,2007.0,Noguera,Bellmunt d'Urgell,1,1,,,,,,,,,,,,,,,,,,,,
534,2007.0,Noguera,Camarasa,38,19,,,2,7,,,,1.0,4,,,,1,,2,,,2,,
535,2007.0,Noguera,Castelló de Farfanya,6,4,,,,,,,,,1,,,,1,,,,,,,
536,2007.0,Noguera,Cubells,17,7,,,2,3,,,,1.0,,,,,1,,,,3.0,,,
537,2007.0,Noguera,Foradada,2,2,,,,,,,,,,,,,,,,,,,,
538,2007.0,Noguera,Ivars de Noguera,2,,,,,,,,,,1,,,,,,1,,,,,
539,2007.0,Noguera,Menàrguens,21,11,,,,,,,1,,3,,,,,,,,,3,3,
540,2007.0,Noguera,Montgai,13,5,,,,,,,,,2,,,,1,,,,,3,,2
541,2007.0,Noguera,Oliola,10,7,,,1,1,,,,,,,,,,,,,,1,,
542,2007.0,Noguera,Os de Balaguer,17,2,,,2,6,,,2,,1,,,,,,,,,3,1,
543,2007.0,Noguera,Penelles,13,6,,,,,,,,,2,,,,,,1,,,2,,2
544,2007.0,Noguera,Ponts,93,10,,,17,50,1.0,1.0,1,,3,,,2.0,2,,1,2,,2,1,
545,2007.0,Noguera,Preixens,9,,,,2,3,,,1,1.0,,,,,1,,,,,1,,
546,2007.0,Noguera,Sentiu de Sió,27,22,,,2,1,,,,,1,,,,,,,,,,,1
547,2007.0,Noguera,Térmens,24,11,2.0,,2,,,,1,1.0,4,,,,,,1,,,1,1,
548,2007.0,Noguera,Tiurana,2,1,,,,1,,,,,,,,,,,,,,,,
549,2007.0,Noguera,Torrelameu,12,2,,,,7,,1.0,,,1,,,,,,,,,1,,
550,2007.0,Noguera,Vallfogona de Balaguer,28,14,,,1,,,1.0,,1.0,5,,,,1,,2,,,1,2,
551,2007.0,Noguera,Vilanova de l'Aguda,13,7,,,1,1,,,,1.0,1,,,,,,,,,,2,
552,2007.0,Noguera,Vilanova de Meià,9,5,,,,3,,,,,,,,,,,1,,,,,
553,2007.0,Osona,Alpens,3,,,1.0,,,,,,,1,,,,,,,,,,1,
554,2007.0,Osona,Balenyà,23,12,1.0,,3,,,,,,2,,,,,,2,,,2,,1
555,2007.0,Osona,Brull,3,,,,,2,,,,,,,,,,,1,,,,,
556,2007.0,Osona,Calldetenes,19,6,1.0,,3,1,,,2,,2,,,1.0,,,1,,1.0,1,,
557,2007.0,Osona,Centelles,79,13,1.0,,4,48,,,1,1.0,3,,,,,,2,1,2.0,,,3
558,2007.0,Osona,Collsuspina,11,2,,,1,2,,,,,1,,,,2,,,,,3,,
559,2007.0,Osona,Espinelves,9,3,,,2,,,,,,2,,,,,,,,,1,1,
560,2007.0,Osona,Folgueroles,9,3,,,2,,,,,,2,,,,,,1,,,,1,
561,2007.0,Osona,Gurb,54,31,2.0,,9,2,,,1,1.0,4,,,,1,,1,,1.0,,,1
562,2007.0,Osona,Lluçà,13,4,,,,4,,,,,,,,,1,,2,,,,2,
563,2007.0,Osona,Malla,10,6,,,1,2,,,,1.0,,,,,,,,,,,,
564,2007.0,Osona,Manlleu,101,22,1.0,,14,6,,1.0,8,2.0,29,,,1.0,2,,5,,1.0,,5,4
565,2007.0,Osona,Masies de Roda,7,2,,,2,1,,,,,,,,,,,2,,,,,
566,2007.0,Osona,Masies de Voltregà,43,20,,,1,10,,1.0,1,2.0,4,,,,,,,,,1,1,2
567,2007.0,Osona,Montesquiu,8,2,,,,1,,,,,3,,,,,,2,,,,,
568,2007.0,Osona,Muntanyola,7,2,,,,3,,,,,,,,,,,,,,1,1,
569,2007.0,Osona,Olost,17,6,1.0,,1,5,,,1,1.0,1,,,,1,,,,,,,
570,2007.0,Osona,Orís,15,5,,,2,,,1.0,,,3,,,,,,4,,,,,
571,2007.0,Osona,Oristà,29,2,,,3,20,,,,,,,,,,,,,,,4,
572,2007.0,Osona,Perafita,10,5,,,2,2,,,1,,,,,,,,,,,,,
573,2007.0,Osona,Prats de Lluçanès,99,9,2.0,,8,66,,,2,,6,,,,2,,3,,1.0,,,
574,2007.0,Osona,Roda de Ter,28,7,1.0,,5,2,,,,1.0,8,,,,,,,,1.0,,,3
575,2007.0,Osona,Rupit i Pruit,8,2,1.0,,,,,1.0,1,1.0,,,,,,,2,,,,,
576,2007.0,Osona,Sant Agustí de Lluçanès,5,3,,,,1,,,,,,,,,,,,,,1,,
577,2007.0,Osona,Sant Bartomeu del Grau,11,6,,,2,1,,,,,2,,,,,,,,,,,
578,2007.0,Osona,Sant Boi de Lluçanès,2,,,,,,,,,,1,,,,,,1,,,,,
579,2007.0,Osona,Sant Hipòlit de Voltregà,15,,,,2,2,,1.0,3,,3,,,,,,1,,2.0,,,1
580,2007.0,Osona,Sant Julià de Vilatorta,18,8,,,,,,,1,,5,,,,2,,1,,,,,1
581,2007.0,Osona,Sant Martí de Centelles,8,1,1.0,,1,1,,,,1.0,1,,,,,,,,,1,1,
582,2007.0,Osona,Sant Pere de Torelló,16,3,,,1,4,,,1,,5,,,,,,,,1.0,,1,
583,2007.0,Osona,Sant Quirze de Besora,13,5,,,1,,,1.0,1,,1,,,1.0,,,1,,,,,2
584,2007.0,Osona,Sant Sadurní d'Osormort,3,2,,,,,,,,,,,,,,,1,,,,,
585,2007.0,Osona,Sant Vicenç de Torelló,15,2,,,,4,,,1,1.0,4,,,,,,2,,1.0,,,
586,2007.0,Osona,Santa Cecília de Voltregà,5,,1.0,,,1,,,,,,,,,,,,,,1,2,
587,2007.0,Osona,Santa Eugènia de Berga,17,8,1.0,,,1,,1.0,2,,3,,,,,,,,,1,,
588,2007.0,Osona,Santa Eulàlia de Riuprimer,3,1,,,,1,,,1,,,,,,,,,,,,,
