year,subregion,fires,affected_wood_ha,affected_scrub_ha,affected_total_ha,affected_size
2001-01-01,Alt Camp,6.0,3.8,2.6,6.4,0 <10 ha
2001-01-01,Alt Empordà,36.0,164.7,1453.6,1618.4,>1000 ha
2001-01-01,Alt Penedès,28.0,26.7,2.4,29.0,10 > 100 ha
2001-01-01,Alt Urgell,7.0,0.6,1.4,1.9,0 <10 ha
2001-01-01,Alta Ribagorça,4.0,0.0,9.3,9.3,0 <10 ha
2001-01-01,Anoia,32.0,59.7,9.1,68.8,10 > 100 ha
2001-01-01,Bages,64.0,36.9,0.8,37.7,10 > 100 ha
2001-01-01,Baix Camp,10.0,0.1,2.9,3.0,0 <10 ha
2001-01-01,Baix Ebre,4.0,3.5,1.4,4.9,0 <10 ha
2001-01-01,Baix Empordà,67.0,310.7,119.2,429.9,100 > 500 ha
2001-01-01,Baix Llobregat,35.0,62.6,41.4,104.0,100 > 500 ha
2001-01-01,Baix Penedès,15.0,2.6,1.4,4.0,0 <10 ha
2001-01-01,Barcelonès,27.0,32.6,102.7,135.3,100 > 500 ha
2001-01-01,Berguedà,17.0,2.9,0.9,3.8,0 <10 ha
2001-01-01,Cerdanya,2.0,0.0,0.0,0.0,
2001-01-01,Conca de Barberà,18.0,6.3,5.6,11.9,10 > 100 ha
2001-01-01,Garraf,20.0,1.5,0.0,1.5,0 <10 ha
2001-01-01,Garrigues,17.0,18.3,60.5,78.8,10 > 100 ha
2001-01-01,Garrotxa,5.0,1.3,0.3,1.5,0 <10 ha
2001-01-01,Gironès,24.0,7.2,1.1,8.3,0 <10 ha
2001-01-01,Maresme,37.0,30.5,15.3,45.8,10 > 100 ha
2001-01-01,Montsià,9.0,0.0,9.0,9.0,0 <10 ha
2001-01-01,Noguera,18.0,119.1,100.4,219.4,100 > 500 ha
2001-01-01,Osona,14.0,0.6,0.6,1.2,0 <10 ha
2001-01-01,Pallars Jussà,7.0,1.3,0.3,1.6,0 <10 ha
2001-01-01,Pallars Sobirà,6.0,1.0,17.5,18.5,10 > 100 ha
2001-01-01,Pla d'Urgell,0.0,0.0,0.0,0.0,
