subregion,forest_wood_Ha,forest_scrub_Ha,forest_other_Ha,areas_without_vegetation_Ha,rainfed_crops_Ha,irrigated_crops_Ha,urban_Ha,year
Catalunya,914195,476018,509933.0,175501,658951,259850.0,214817,2002-01-01
Metropolità,122165,36505,15024.0,13964,42821,10204.0,83267,2002-01-01
Comarques Gironines,221295,79285,91419.0,22257,72243,33603.0,38808,2002-01-01
Camp de Tarragona,53573,60605,19610.0,25915,88772,20740.0,30295,2002-01-01
Terres de l'Ebre,67246,57451,20868.0,22223,107185,44368.0,11199,2002-01-01
Ponent,40407,99932,36315.0,12593,207744,142391.0,19238,2002-01-01
Comarques Centrals,235068,61909,93777.0,27227,114537,2438.0,26714,2002-01-01
Alt Pirineu i Aran,174441,80331,232920.0,51322,25649,6106.0,5296,2002-01-01
Barcelona,304770,85104,85781.0,36978,139015,12643.0,108509,2002-01-01
Girona,229160,82932,107680.0,22930,73852,34400.0,40121,2002-01-01
Lleida,259446,189926,275994.0,67455,250127,147699.0,24693,2002-01-01
Tarragona,120819,118056,40478.0,48138,195957,65108.0,41494,2002-01-01
Alt Camp,10148,8817,3486.0,4139,19700,3979.0,3501,2003-01-01
Alt Empordà,36673,20025,19449.0,3450,29248,12997.0,14019,2003-01-01
Alt Penedès,15660,12092,249.0,3620,23248,185.0,4266,2003-01-01
Alt Urgell,43220,27518,52687.0,14312,3636,1822.0,1505,2003-01-01
Alta Ribagorça,10708,7156,20455.0,3888,271,45.0,267,2003-01-01
Anoia,29846,9520,7619.0,3734,30833,464.0,4734,2003-01-01
Bages,61572,22270,8708.0,3441,24744,1313.0,7912,2003-01-01
Baix Camp,14648,13125,4864.0,5921,12831,10040.0,8301,2003-01-01
Baix Ebre,16182,15752,9668.0,4959,32886,17133.0,3360,2003-01-01
Baix Empordà,19388,12218,4488.0,2785,13231,9051.0,9099,2003-01-01
Baix Llobregat,12319,5776,1415.0,1531,2270,2652.0,22617,2003-01-01
Baix Penedès,5113,9183,187.0,1877,7038,362.0,5820,2003-01-01
