subregion,forest_wood_Ha,forest_scrub_Ha,forest_other_Ha,areas_without_vegetation_Ha,rainfed_crops_Ha,irrigated_crops_Ha,urban_Ha,year
Gironès,33456,2100,211.0,1985,10315,4369.0,5164,2009-01-01
Maresme,20477,2224,1797.0,2223,804,2863.0,9362,2009-01-01
Montsià,9324,13237,2732.0,5691,21635,18046.0,3126,2009-01-01
Noguera,59631,36450,1126.0,5043,46211,26160.0,3720,2009-01-01
Osona,74798,11606,4447.0,4688,24251,707.0,5854,2009-01-01
Pallars Jussà,55488,50915,4497.0,3249,15685,2807.0,1769,2009-01-01
Pallars Sobirà,63035,62115,6257.0,1665,1249,175.0,1394,2009-01-01
Pla d'Urgell,31,164,793.0,1296,564,25771.0,1951,2009-01-01
Pla de l'Estany,13922,1272,478.0,826,7309,1147.0,1367,2009-01-01
Priorat,19961,15730,0.0,1126,9794,2001.0,1058,2009-01-01
Ribera d'Ebre,21896,23736,7501.0,8436,11800,7092.0,2138,2009-01-01
Ripollès,52053,4312,34207.0,2679,1116,6.0,1417,2009-01-01
Segarra,9480,13520,1896.0,762,44444,220.0,1948,2009-01-01
Segrià,9138,17268,489.0,6748,33637,65833.0,6607,2009-01-01
Selva,69837,6695,1804.0,3298,5037,4145.0,8826,2009-01-01
Solsonès,58558,18913,2831.0,1513,17554,25.0,786,2009-01-01
Tarragonès,4046,4579,0.0,2552,8447,3523.0,8593,2009-01-01
Terra Alta,25847,17164,20.0,955,27874,1007.0,1343,2009-01-01
Urgell,3575,5180,83.0,1168,30446,15359.0,2119,2009-01-01
Aran,21857,35232,4517.0,895,51,0.0,738,2009-01-01
Vallès Occidental,23342,7555,561.0,3113,4000,595.0,19134,2009-01-01
Vallès Oriental,46388,7284,3430.0,3775,7061,2483.0,14749,2009-01-01
Alt Camp,14429,12211,0.0,1231,18518,4067.0,3315,2010-01-01
Alt Empordà,55096,25076,2492.0,4671,25230,15088.0,8050,2010-01-01
Alt Penedès,13726,13076,1804.0,2229,22302,286.0,5897,2010-01-01
Alt Urgell,91930,36977,5612.0,2449,3622,2202.0,1909,2010-01-01
Alta Ribagorça,16382,22850,1545.0,836,590,180.0,407,2010-01-01
Anoia,29504,14419,5325.0,2484,28935,446.0,5638,2010-01-01
Bages,65912,24940,4414.0,4761,21764,745.0,7424,2010-01-01
Baix Camp,19122,17274,5758.0,3568,6355,11208.0,6444,2010-01-01
Baix Ebre,16035,23045,6225.0,5297,27543,16682.0,5113,2010-01-01
Baix Empordà,29773,6493,2886.0,4086,12014,8870.0,6139,2010-01-01
Baix Llobregat,11490,10499,1909.0,4218,1828,1745.0,16891,2010-01-01
Baix Penedès,7175,8104,0.0,1580,7860,453.0,4409,2010-01-01
Barcelonès,1233,1144,217.0,142,13,48.0,11574,2010-01-01
Berguedà,63278,20629,20410.0,2364,9513,25.0,2291,2010-01-01
Cerdanya,24263,16878,7674.0,1015,2273,768.0,2136,2010-01-01
Conca de Barberà,20722,13510,471.0,2948,24797,383.0,2188,2010-01-01
Garraf,3855,6729,481.0,960,1604,173.0,4658,2010-01-01
Garrigues,13450,15542,2.0,1198,34974,12177.0,2448,2010-01-01
Garrotxa,56454,2384,4496.0,1266,5144,1304.0,2383,2010-01-01
Gironès,33430,2100,85.0,1827,10480,4369.0,5309,2010-01-01
Maresme,20466,2442,1654.0,2178,832,2765.0,9412,2010-01-01
Montsià,9282,13237,2549.0,5786,21605,18282.0,3049,2010-01-01
Noguera,59575,37193,345.0,5234,46035,26296.0,3662,2010-01-01
Osona,74766,11563,4967.0,4645,23931,523.0,5955,2010-01-01
Pallars Jussà,55478,50913,4297.0,3288,15664,2807.0,1963,2010-01-01
Pallars Sobirà,63031,62120,6440.0,1663,1049,187.0,1401,2010-01-01
Pla d'Urgell,33,216,761.0,1299,629,25741.0,1892,2010-01-01
Pla de l'Estany,13893,1272,692.0,836,7267,1039.0,1321,2010-01-01
Priorat,19918,15730,0.0,1124,9851,1989.0,1057,2010-01-01
Ribera d'Ebre,22293,23736,7411.0,8683,10953,7380.0,2144,2010-01-01
Ripollès,53534,4308,32736.0,2652,1141,6.0,1413,2010-01-01
Segarra,9469,13441,1771.0,853,44396,238.0,2103,2010-01-01
Segrià,9054,17072,489.0,7121,32626,66466.0,6892,2010-01-01
Selva,70039,6553,1726.0,3269,5060,4155.0,8840,2010-01-01
Solsonès,58327,18907,3587.0,1746,16523,29.0,1062,2010-01-01
Tarragonès,4061,4579,0.0,2507,8339,3705.0,8550,2010-01-01
Terra Alta,25874,17796,23.0,1001,27036,1083.0,1397,2010-01-01
Urgell,3571,5182,87.0,1260,30266,15352.0,2212,2010-01-01
Aran,21877,35232,4544.0,903,51,2.0,682,2010-01-01
Vallès Occidental,23337,7623,549.0,3080,3970,607.0,19134,2010-01-01
Vallès Oriental,46699,7325,3249.0,3750,6858,2533.0,14757,2010-01-01
Alt Camp,14393,12211,10.0,1283,18469,4089.0,3315,2011-01-01
Alt Empordà,55122,24919,2323.0,4685,25504,15095.0,8054,2011-01-01
Alt Penedès,13692,13089,1761.0,2264,22234,353.0,5926,2011-01-01
Alt Urgell,91940,36841,5767.0,2495,3504,2088.0,2065,2011-01-01
Alta Ribagorça,16331,22930,1519.0,830,590,180.0,410,2011-01-01
Anoia,29483,15271,4630.0,2387,28867,455.0,5658,2011-01-01
Bages,66044,24805,4504.0,4352,21859,760.0,7636,2011-01-01
Baix Camp,19105,17310,3911.0,3738,6926,11613.0,7128,2011-01-01
Baix Ebre,15166,24232,6048.0,4526,27447,16927.0,5595,2011-01-01
Baix Empordà,29732,6488,3132.0,2953,11986,8861.0,7108,2011-01-01
Baix Llobregat,11430,10484,1932.0,4288,1831,1714.0,16900,2011-01-01
Baix Penedès,7203,8104,3.0,1304,7643,453.0,4870,2011-01-01
Barcelonès,1232,1144,216.0,133,13,47.0,11584,2011-01-01
Berguedà,69679,18697,15953.0,2242,9524,28.0,2389,2011-01-01
Cerdanya,24411,16884,7601.0,1057,2182,759.0,2110,2011-01-01
Conca de Barberà,20797,13510,323.0,2898,24939,385.0,2167,2011-01-01
Garraf,3851,6729,415.0,956,1658,172.0,4678,2011-01-01
Garrigues,13487,15609,121.0,1376,34640,12035.0,2523,2011-01-01
Garrotxa,56670,2389,4348.0,1276,5022,1312.0,2413,2011-01-01
Gironès,33488,2094,103.0,1984,10221,4454.0,5256,2011-01-01
Maresme,20428,2708,1329.0,2099,861,2739.0,9586,2011-01-01
Montsià,9265,13609,2549.0,5416,21461,18377.0,3113,2011-01-01
Noguera,59396,36899,311.0,5555,45866,26133.0,4180,2011-01-01
Osona,74728,11400,4932.0,4649,23914,432.0,6297,2011-01-01
Pallars Jussà,55264,52014,3200.0,3654,15302,2785.0,2192,2011-01-01
Pallars Sobirà,63095,62116,6457.0,1681,986,186.0,1369,2011-01-01
Pla d'Urgell,32,203,770.0,1410,583,25508.0,2064,2011-01-01
Pla de l'Estany,13943,1262,641.0,922,7196,1031.0,1325,2011-01-01
Priorat,19909,15730,0.0,1143,9806,1998.0,1083,2011-01-01
Ribera d'Ebre,22462,23736,7431.0,8535,10663,7595.0,2178,2011-01-01
Ripollès,64603,4167,22164.0,2482,1148,3.0,1222,2011-01-01
Segarra,9442,13400,1733.0,938,44310,253.0,2195,2011-01-01
Segrià,9068,16733,383.0,7648,32070,66674.0,7145,2011-01-01
Selva,69560,6925,1581.0,3290,5157,4149.0,8982,2011-01-01
Solsonès,58259,18693,3233.0,1715,16857,26.0,1397,2011-01-01
Tarragonès,3985,4456,0.0,2719,8033,3829.0,8719,2011-01-01
Terra Alta,25894,17792,29.0,995,26935,1151.0,1413,2011-01-01
Urgell,3548,5221,79.0,1314,30145,15261.0,2364,2011-01-01
Aran,21881,35231,4534.0,907,50,3.0,685,2011-01-01
Vallès Occidental,23273,7514,537.0,3164,3990,631.0,19191,2011-01-01
Vallès Oriental,46468,7590,3040.0,3728,6896,2471.0,14978,2011-01-01
Alt Camp,14393,12209,0.0,1256,18540,4060.0,3311,2012-01-01
Alt Empordà,55174,24924,2284.0,4671,25362,14966.0,8321,2012-01-01
Alt Penedès,13692,13089,1761.0,2281,22158,412.0,5926,2012-01-01
Alt Urgell,91883,36841,5783.0,2516,3507,2097.0,2073,2012-01-01
Alta Ribagorça,16320,22930,1518.0,839,591,180.0,413,2012-01-01
Anoia,29483,15271,4496.0,2244,28891,418.0,5947,2012-01-01
Bages,65988,25131,4100.0,4250,21958,804.0,7729,2012-01-01
Baix Camp,19105,17343,3660.0,3789,7030,11601.0,7200,2012-01-01
Baix Ebre,15166,24825,5892.0,4789,27149,16640.0,5479,2012-01-01
Baix Empordà,29733,6488,3173.0,3017,11866,8919.0,7065,2012-01-01
Baix Llobregat,11430,10495,1881.0,4262,1844,1733.0,16936,2012-01-01
Baix Penedès,7202,8002,106.0,1436,7608,462.0,4764,2012-01-01
Barcelonès,1232,1213,120.0,125,13,48.0,11619,2012-01-01
Berguedà,69834,18697,15812.0,2202,9516,28.0,2425,2012-01-01
Cerdanya,24516,16922,7464.0,1058,2174,820.0,2052,2012-01-01
Conca de Barberà,20737,13518,729.0,2522,24934,401.0,2178,2012-01-01
Garraf,3850,6675,399.0,979,1703,176.0,4678,2012-01-01
Garrigues,13487,15555,112.0,1379,34425,11868.0,2963,2012-01-01
Garrotxa,56656,2389,4615.0,1343,4776,1288.0,2364,2012-01-01
Gironès,33488,2094,101.0,1938,10147,4485.0,5346,2012-01-01
Maresme,20426,2708,1164.0,2092,837,2739.0,9785,2012-01-01
Montsià,9243,13336,1941.0,5391,21367,19149.0,3362,2012-01-01
Noguera,59396,36869,324.0,5662,45691,26157.0,4242,2012-01-01
Osona,74916,11401,4648.0,4634,23873,433.0,6446,2012-01-01
Pallars Jussà,55264,52011,3181.0,3670,15279,2785.0,2220,2012-01-01
Pallars Sobirà,63095,62115,6415.0,1733,971,192.0,1369,2012-01-01
Pla d'Urgell,32,203,879.0,1339,595,25554.0,1968,2012-01-01
Pla de l'Estany,13943,1262,538.0,910,7309,1048.0,1309,2012-01-01
Priorat,19897,15698,0.0,1231,9235,2577.0,1031,2012-01-01
Ribera d'Ebre,22457,28284,5674.0,3107,13800,7272.0,2006,2012-01-01
Ripollès,65917,4366,21209.0,909,1780,14.0,1595,2012-01-01
Segarra,9442,13398,1722.0,1046,44054,255.0,2353,2012-01-01
Segrià,9047,16731,369.0,7542,31791,67117.0,7124,2012-01-01
Selva,69558,6677,1410.0,3217,5627,4210.0,8943,2012-01-01
Solsonès,58259,18774,3174.0,1555,16778,46.0,1595,2012-01-01
Tarragonès,3986,4456,0.0,2709,8114,3786.0,8690,2012-01-01
Terra Alta,25894,17816,23.0,1042,26776,1200.0,1460,2012-01-01
Urgell,3531,5220,82.0,1508,29848,15331.0,2410,2012-01-01
Aran,21881,35226,4533.0,919,43,3.0,685,2012-01-01
Vallès Occidental,23336,7514,52.0,3075,4606,527.0,19191,2012-01-01
Vallès Oriental,46471,7590,2940.0,3754,6790,2505.0,15120,2012-01-01
Alt Camp,15735,10591,1265.0,1211,17731,3960.0,3277,2013-01-01
Alt Empordà,40134,37898,5221.0,4536,24812,14538.0,8565,2013-01-01
Alt Penedès,17764,8923,2060.0,2050,21955,482.0,6086,2013-01-01
Alt Urgell,81256,34973,18098.0,2597,3609,2045.0,2123,2013-01-01
Alta Ribagorça,15579,8195,16959.0,872,584,188.0,413,2013-01-01
Anoia,33252,12875,3342.0,2119,28837,394.0,5931,2013-01-01
Bages,69627,21178,3804.0,4019,22932,824.0,7577,2013-01-01
Baix Camp,15604,21721,2006.0,3382,8242,11670.0,7104,2013-01-01
Baix Ebre,17853,24943,3179.0,4920,26956,16631.0,5459,2013-01-01
Baix Empordà,30503,5758,3023.0,2983,12123,8911.0,6959,2013-01-01
Baix Llobregat,12495,10003,2370.0,2887,1939,1715.0,17172,2013-01-01
Baix Penedès,8688,6751,528.0,1427,6959,475.0,4752,2013-01-01
Barcelonès,1187,1183,192.0,103,13,48.0,11643,2013-01-01
Berguedà,71028,19637,13673.0,2163,9558,28.0,2425,2013-01-01
Cerdanya,24981,8038,15490.0,1064,2418,936.0,2080,2013-01-01
Conca de Barberà,19510,14935,1600.0,1298,24974,419.0,2285,2013-01-01
Garraf,5628,5342,177.0,929,1654,154.0,4577,2013-01-01
Garrigues,14788,13870,966.0,1728,33320,12040.0,3079,2013-01-01
Garrotxa,28862,29496,3758.0,1302,6206,1485.0,2322,2013-01-01
Gironès,25141,10616,1100.0,1873,9249,4236.0,5385,2013-01-01
Maresme,15845,7254,1359.0,1886,839,2740.0,9828,2013-01-01
Montsià,6330,16978,1265.0,5209,21320,19317.0,3371,2013-01-01
Noguera,29743,62994,4079.0,6061,43638,27525.0,4301,2013-01-01
Osona,63194,19919,7462.0,4647,24205,456.0,6468,2013-01-01
Pallars Jussà,47341,48977,13907.0,3721,15405,2785.0,2274,2013-01-01
Pallars Sobirà,59827,43021,28711.0,1772,1000,182.0,1377,2013-01-01
Pla d'Urgell,45,350,1095.0,1508,538,25047.0,1987,2013-01-01
Pla de l'Estany,10131,4843,640.0,885,7444,1072.0,1307,2013-01-01
Priorat,17809,19690,0.0,1222,7439,2475.0,1035,2013-01-01
Ribera d'Ebre,27701,24012,5270.0,3019,13268,7299.0,2031,2013-01-01
Ripollès,64335,7403,19703.0,909,1826,19.0,1595,2013-01-01
Segarra,10794,10923,2531.0,1196,44070,394.0,2362,2013-01-01
Segrià,7859,15643,4354.0,7988,28767,67514.0,7594,2013-01-01
Selva,58752,17010,1481.0,3166,5949,4301.0,8984,2013-01-01
Solsonès,58566,14611,6843.0,1598,16919,35.0,1608,2013-01-01
Tarragonès,5276,3304,655.0,2304,7981,3829.0,8392,2013-01-01
Terra Alta,29033,14500,852.0,1075,25925,1320.0,1506,2013-01-01
Urgell,3104,4856,873.0,1689,29603,15331.0,2474,2013-01-01
Aran,23650,17899,20084.0,923,44,3.0,688,2013-01-01
Vallès Occidental,18501,12811,1393.0,2650,4095,551.0,18299,2013-01-01
Vallès Oriental,30350,24482,3212.0,3253,6530,2491.0,14853,2013-01-01
Alt Camp,15736,10585,1250.0,1260,17683,3905.0,3351,2014-01-01
Alt Empordà,37762,42284,3358.0,4666,24349,14538.0,8746,2014-01-01
Alt Penedès,17971,8733,1972.0,2071,21949,501.0,6123,2014-01-01
Alt Urgell,81258,35006,17488.0,2584,4490,1752.0,2122,2014-01-01
Alta Ribagorça,15579,8195,16831.0,1001,579,194.0,411,2014-01-01
Anoia,34390,12262,3086.0,2099,28554,384.0,5975,2014-01-01
Aran,23650,17888,20085.0,936,44,1.0,686,2014-01-01
Bages,55452,19340,3162.0,3827,19915,751.0,6773,2014-01-01
Baix Camp,15697,21832,1967.0,3492,7967,11664.0,7111,2014-01-01
Baix Ebre,17817,24932,3182.0,5027,26712,16744.0,5526,2014-01-01
Baix Empordà,30143,6236,2484.0,2844,12303,9069.0,7181,2014-01-01
Baix Llobregat,12581,10119,500.0,2915,2856,1675.0,17934,2014-01-01
Baix Penedès,8686,6791,529.0,1281,7005,499.0,4789,2014-01-01
Barcelonès,1188,1206,169.0,103,13,46.0,11645,2014-01-01
Berguedà,71585,18974,13276.0,2165,10034,49.0,2429,2014-01-01
Cerdanya,25043,8048,15015.0,1063,2525,1235.0,2077,2014-01-01
Conca de Barberà,19116,15208,1464.0,1437,25078,422.0,2295,2014-01-01
Garraf,5621,5383,164.0,929,1598,150.0,4615,2014-01-01
Garrigues,14801,14344,1151.0,1726,32127,12497.0,3144,2014-01-01
Garrotxa,28628,29337,3717.0,1264,6622,1500.0,2362,2014-01-01
Gironès,25126,10609,722.0,1897,9515,4186.0,5545,2014-01-01
Maresme,15859,7889,1221.0,1864,656,2471.0,9790,2014-01-01
Moianès,20380,5917,1318.0,502,4200,55.0,1408,2014-01-01
Montsià,6201,15535,1336.0,7384,20527,19401.0,3406,2014-01-01
Noguera,27391,65773,4189.0,5985,42932,27725.0,4345,2014-01-01
Osona,61544,19654,7641.0,4778,24207,576.0,6441,2014-01-01
Pallars Jussà,46995,48818,14037.0,4037,15499,2784.0,2240,2014-01-01
Pallars Sobirà,59088,43917,28495.0,1802,1036,183.0,1369,2014-01-01
Pla d'Urgell,45,355,1114.0,1470,534,25050.0,2000,2014-01-01
Pla de l'Estany,10009,4711,683.0,918,7578,1117.0,1304,2014-01-01
Priorat,15545,21969,0.0,1251,7348,2494.0,1063,2014-01-01
Ribera d'Ebre,27717,24054,5170.0,2851,13548,7216.0,2044,2014-01-01
Ripollès,59068,11349,20994.0,852,1865,15.0,1647,2014-01-01
Segarra,10720,10681,2790.0,1174,44180,351.0,2374,2014-01-01
Segrià,7865,16260,4277.0,7463,27525,67961.0,8369,2014-01-01
Selva,58907,16553,1213.0,3359,6304,4340.0,8966,2014-01-01
Solsonès,58575,14601,5768.0,1672,17894,58.0,1612,2014-01-01
Tarragonès,5398,3492,425.0,2412,7695,3784.0,8534,2014-01-01
Terra Alta,26999,16409,909.0,1181,25720,1450.0,1542,2014-01-01
Urgell,3103,4862,875.0,1630,29412,15549.0,2499,2014-01-01
Vallès Occidental,18368,13081,689.0,2736,4473,519.0,18434,2014-01-01
Vallès Oriental,23780,21580,2592.0,3109,5779,2419.0,14381,2014-01-01
Alt Camp,15736,10590,1177.0,1450,17662,3683.0,3472,2015-01-01
Alt Empordà,37773,42997,3190.0,4715,23959,14333.0,8736,2015-01-01
Alt Penedès,17971,8713,1960.0,2052,21996,505.0,6123,2015-01-01
Alt Urgell,81258,35007,17499.0,2664,4358,1798.0,2116,2015-01-01
Alta Ribagorça,15579,7688,17323.0,1017,579,194.0,410,2015-01-01
Anoia,34390,12592,2865.0,2320,28301,262.0,6020,2015-01-01
Aran,23652,17888,20089.0,936,44,1.0,680,2015-01-01
Bages,55373,19404,2721.0,3687,20502,758.0,6775,2015-01-01
Baix Camp,15697,21942,1967.0,3533,7851,11539.0,7201,2015-01-01
Baix Ebre,17817,24814,2895.0,5868,26546,16475.0,5525,2015-01-01
Baix Empordà,30221,6291,2872.0,2952,11945,8759.0,7220,2015-01-01
Baix Llobregat,12581,10101,643.0,2670,2729,1715.0,18141,2015-01-01
Baix Penedès,8686,6786,528.0,1397,6882,513.0,4788,2015-01-01
Barcelonès,1188,1207,81.0,105,12,41.0,11736,2015-01-01
Berguedà,71586,18906,13185.0,2200,10154,51.0,2430,2015-01-01
Cerdanya,25043,8048,15816.0,1073,2127,820.0,2079,2015-01-01
Conca de Barberà,19116,15216,1465.0,1421,25097,413.0,2292,2015-01-01
Garraf,5619,5414,130.0,929,1600,153.0,4615,2015-01-01
Garrigues,14801,14953,1239.0,1729,31371,12562.0,3135,2015-01-01
Garrotxa,28641,29489,4156.0,1293,6175,1335.0,2341,2015-01-01
Gironès,25154,10576,1068.0,1972,9142,4152.0,5536,2015-01-01
Maresme,15859,8002,1178.0,1864,655,2396.0,9796,2015-01-01
Moianès,20380,5917,1318.0,502,4200,55.0,1408,2015-01-01
Montsià,6201,15818,1241.0,7687,20408,19018.0,3417,2015-01-01
Noguera,27291,65252,4180.0,5949,43315,27993.0,4360,2015-01-01
Osona,61310,19662,7848.0,4758,24159,585.0,6519,2015-01-01
Pallars Jussà,45150,48755,15932.0,4030,15525,2784.0,2234,2015-01-01
Pallars Sobirà,59088,44137,28272.0,1810,1039,179.0,1365,2015-01-01
Pla d'Urgell,45,361,1129.0,1454,538,25019.0,2022,2015-01-01
Pla de l'Estany,10011,4713,827.0,927,7446,1088.0,1308,2015-01-01
Priorat,15545,21963,0.0,1242,7462,2393.0,1065,2015-01-01
Ribera d'Ebre,27717,24049,4746.0,2896,13849,7243.0,2100,2015-01-01
Ripollès,59084,11371,21071.0,842,1769,0.0,1653,2015-01-01
Segarra,10710,10648,2427.0,1182,44535,385.0,2383,2015-01-01
Segrià,7865,16260,4277.0,7424,27260,68285.0,8349,2015-01-01
Selva,58647,16641,1169.0,3363,6501,4356.0,8965,2015-01-01
Solsonès,58575,14611,5923.0,1675,17727,53.0,1616,2015-01-01
Tarragonès,5398,3390,384.0,2348,7652,3814.0,8754,2015-01-01
Terra Alta,26999,16393,1002.0,1177,25352,1740.0,1547,2015-01-01
Urgell,3103,4867,879.0,1594,29402,15549.0,2536,2015-01-01
Vallès Occidental,18368,13143,257.0,2614,5219,288.0,18411,2015-01-01
Vallès Oriental,23735,21698,2356.0,3140,5872,2549.0,14290,2015-01-01
Alt Camp,15736,10592,1614.0,1375,17417,3682.0,3355,2016-01-01
Alt Empordà,37781,43043,3326.0,4663,23693,14360.0,8837,2016-01-01
Alt Penedès,17971,8719,2033.0,1988,21918,567.0,6124,2016-01-01
Alt Urgell,81258,35007,17229.0,2845,4387,1854.0,2120,2016-01-01
Alta Ribagorça,15579,7687,17331.0,1019,580,194.0,400,2016-01-01
Anoia,34390,12588,2855.0,2328,28285,264.0,6040,2016-01-01
Aran,23652,17887,20085.0,935,45,0.0,686,2016-01-01
Bages,55373,19418,2528.0,3663,20728,733.0,6777,2016-01-01
Baix Camp,15697,21941,1912.0,3679,7735,11543.0,7223,2016-01-01
Baix Ebre,17817,24844,3180.0,5924,25928,16703.0,5544,2016-01-01
Baix Empordà,30054,6141,2647.0,2693,12076,8924.0,7725,2016-01-01
Baix Llobregat,12581,10106,659.0,2646,2440,1971.0,18177,2016-01-01
Baix Penedès,8686,6778,502.0,1443,6832,538.0,4801,2016-01-01
Barcelonès,1188,1185,81.0,127,12,41.0,11736,2016-01-01
Berguedà,71586,18848,13260.0,2038,10260,59.0,2461,2016-01-01
Cerdanya,25043,8053,15896.0,1054,2076,794.0,2090,2016-01-01
Conca de Barberà,19116,15215,1455.0,1437,25115,399.0,2283,2016-01-01
Garraf,5619,5425,133.0,936,1597,135.0,4615,2016-01-01
Garrigues,15226,14787,1254.0,1715,30210,13407.0,3191,2016-01-01
Garrotxa,28631,29489,4241.0,1280,6060,1398.0,2331,2016-01-01
Gironès,25144,10492,1041.0,1953,9168,4208.0,5594,2016-01-01
Maresme,15863,7991,1176.0,1869,680,2367.0,9804,2016-01-01
Moianès,20380,5890,1248.0,530,4301,51.0,1380,2016-01-01
Montsià,6201,15777,1248.0,7380,20244,19433.0,3507,2016-01-01
Noguera,27625,65388,4074.0,5927,42749,28144.0,4433,2016-01-01
Osona,61300,19570,7848.0,4740,24197,640.0,6546,2016-01-01
Pallars Jussà,45150,48653,15924.0,4046,15618,2787.0,2232,2016-01-01
Pallars Sobirà,59088,44138,28269.0,1810,1039,183.0,1363,2016-01-01
Pla d'Urgell,45,355,1113.0,1442,570,25026.0,2017,2016-01-01
Pla de l'Estany,10011,4715,770.0,946,7435,1113.0,1330,2016-01-01
Priorat,15545,21953,39.0,1241,7443,2383.0,1066,2016-01-01
Ribera d'Ebre,27717,24054,4595.0,2990,13388,7734.0,2122,2016-01-01
Ripollès,59074,11394,21097.0,842,1740,1.0,1642,2016-01-01
Segarra,10702,10626,2042.0,1195,44929,394.0,2382,2016-01-01
Segrià,7865,16260,4277.0,7413,25931,69608.0,8366,2016-01-01
Selva,58641,16513,1133.0,3367,6587,4350.0,9051,2016-01-01
Solsonès,58575,14501,5589.0,1662,18179,53.0,1621,2016-01-01
Tarragonès,5398,3867,1623.0,2338,6757,3770.0,7987,2016-01-01
Terra Alta,26999,16389,992.0,1175,24904,2167.0,1584,2016-01-01
Urgell,3103,4867,879.0,1660,29595,15266.0,2560,2016-01-01
Vallès Occidental,18341,12948,284.0,2633,5140,427.0,18527,2016-01-01
Vallès Oriental,23735,21683,2245.0,3168,5958,2542.0,14309,2016-01-01
Alt Camp,15744,10592,1612.0,1602,17151,3532.0,3538,2017-01-01
Alt Empordà,37967,43112,3268.0,4649,24044,13602.0,9061,2017-01-01
Alt Penedès,17971,8722,2023.0,1910,22000,567.0,6127,2017-01-01
Alt Urgell,81258,35007,17371.0,2873,4302,1770.0,2119,2017-01-01
Alta Ribagorça,15579,7753,17129.0,1153,583,197.0,396,2017-01-01
Anoia,34390,12507,3048.0,2173,28306,256.0,6070,2017-01-01
Aran,23650,17883,20098.0,927,44,0.0,688,2017-01-01
Bages,55373,19406,2629.0,3633,20785,701.0,6693,2017-01-01
Baix Camp,15697,22015,1987.0,3679,7523,11543.0,7286,2017-01-01
Baix Ebre,17797,24958,3469.0,6027,25591,16534.0,5564,2017-01-01
Baix Empordà,30212,5932,2761.0,2703,12034,8854.0,7764,2017-01-01
Baix Llobregat,12563,10029,763.0,2690,2311,2043.0,18181,2017-01-01
Baix Penedès,8682,6798,459.0,1534,6750,547.0,4810,2017-01-01
Barcelonès,1173,1170,81.0,205,13,41.0,11687,2017-01-01
Berguedà,71554,18803,13222.0,2001,10409,51.0,2472,2017-01-01
Cerdanya,25043,8048,15941.0,1062,2037,779.0,2096,2017-01-01
Conca de Barberà,19127,15430,1204.0,1328,25225,403.0,2303,2017-01-01
Garraf,5619,5413,129.0,956,1623,100.0,4620,2017-01-01
Garrigues,14973,14851,1252.0,2336,29565,13595.0,3218,2017-01-01
Garrotxa,28657,29539,4535.0,1272,5661,1393.0,2373,2017-01-01
Gironès,25171,10518,1051.0,1982,9063,4215.0,5600,2017-01-01
Maresme,15861,7994,1183.0,1862,670,2370.0,9810,2017-01-01
Moianès,20380,5903,1179.0,541,4344,52.0,1381,2017-01-01
Montsià,6201,15742,1204.0,7872,20373,18934.0,3464,2017-01-01
Noguera,27291,64800,4030.0,6003,43582,28151.0,4483,2017-01-01
Osona,61288,19512,7944.0,4714,24232,594.0,6557,2017-01-01
Pallars Jussà,45150,48653,16266.0,4031,15346,2734.0,2230,2017-01-01
Pallars Sobirà,59088,44127,28270.0,1802,1040,183.0,1380,2017-01-01
Pla d'Urgell,45,355,595.0,1466,1037,25018.0,2052,2017-01-01
Pla de l'Estany,10011,4715,808.0,899,7388,1105.0,1394,2017-01-01
Priorat,15545,21948,39.0,1279,7409,2376.0,1074,2017-01-01
Ribera d'Ebre,27717,24054,4644.0,2945,13166,7867.0,2207,2017-01-01
Ripollès,59074,11388,21105.0,847,1742,0.0,1634,2017-01-01
Segarra,10710,10631,2015.0,1207,44922,394.0,2391,2017-01-01
Segrià,7865,16260,4269.0,7472,25356,69852.0,8646,2017-01-01
Selva,58600,16438,1076.0,3271,6690,4348.0,9219,2017-01-01
Solsonès,58575,14611,5631.0,1691,18014,44.0,1614,2017-01-01
Tarragonès,5398,3916,1552.0,2350,6691,3503.0,8330,2017-01-01
Terra Alta,26999,16364,1040.0,1205,24638,2363.0,1601,2017-01-01
Urgell,3103,4866,892.0,1632,29414,15380.0,2643,2017-01-01
Vallès Occidental,18325,12962,218.0,2690,5234,180.0,18691,2017-01-01
Vallès Oriental,23735,21627,2269.0,3191,6011,2491.0,14316,2017-01-01
Alt Camp,15713,10592,1583.0,1761,17003,3571.0,3577,2018-01-01
Alt Empordà,39055,42147,3219.0,4733,24030,13577.0,8993,2018-01-01
Alt Penedès,17935,8746,1819.0,2010,22053,579.0,6127,2018-01-01
Alt Urgell,81220,35009,17477.0,2916,4183,1814.0,2127,2018-01-01
Alta Ribagorça,15578,7655,17125.0,1155,584,203.0,386,2018-01-01
Anoia,34374,13362,2059.0,2243,28260,235.0,6098,2018-01-01
Aran,23709,17835,20150.0,929,49,0.0,688,2018-01-01
Bages,55416,19455,2328.0,3609,20987,700.0,6731,2018-01-01
Baix Camp,15693,22546,1904.0,3802,6667,11812.0,7291,2018-01-01
Baix Ebre,17798,25024,3355.0,6155,25553,16808.0,5574,2018-01-01
Baix Empordà,30145,5802,2574.0,2693,12252,8907.0,7796,2018-01-01
Baix Llobregat,12542,9998,957.0,2667,2277,1955.0,18203,2018-01-01
Baix Penedès,8686,6819,535.0,1585,6725,483.0,4812,2018-01-01
Barcelonès,1168,1388,49.0,199,13,39.0,11719,2018-01-01
