year,subregion,fires,affected_wood_ha,affected_scrub_ha,affected_total_ha,affected_size,forest_wood_Ha,forest_scrub_Ha,forest_other_Ha,areas_without_vegetation_Ha,rainfed_crops_Ha,irrigated_crops_Ha,urban_Ha,annual_avg_temp,average_maximums,average_minimums,outright_maximum,outright_minimum,annual_rainfall_mm,relative_humidity_%,wind_avg_speed_ms,wind_dominant_direction,risk_forest_fire
2000-01-01,Baix Llobregat,51.0,6.3,5.0,11.3,10 > 100 ha,,,,,,,,16.0,22.4,11.6,38.9,-0.8,478.0,66.0,2.0,W,Very high
2000-01-01,Baix Penedès,4.0,0.1,0.0,0.1,0 <10 ha,,,,,,,,17.0,22.2,11.6,37.9,-1.0,333.0,71.0,2.7,NE,Low
2000-01-01,Barcelonès,14.0,0.0,5.5,5.6,0 <10 ha,,,,,,,,17.0,19.6,14.4,35.7,1.7,351.0,71.0,2.8,NE,Low
2000-01-01,Berguedà,27.0,20.0,6.2,26.2,10 > 100 ha,,,,,,,,11.0,19.3,4.7,37.6,-9.3,579.0,74.0,1.8,NE,Moderate
2000-01-01,Cerdanya,4.0,0.1,0.0,0.1,0 <10 ha,,,,,,,,10.0,18.7,3.1,34.2,-13.1,502.0,67.45238095238095,1.4,W,Low
2000-01-01,Conca de Barberà,19.0,2.0,1.4,3.4,0 <10 ha,,,,,,,,14.0,20.6,8.6,36.9,-4.4,326.0,73.0,3.0,W,High
2000-01-01,Garraf,19.0,122.2,45.4,167.5,100 > 500 ha,,,,,,,,19.0,23.4,16.0,40.0,3.8,376.0,74.0,0.7,SE,Very high
2000-01-01,Garrigues,18.0,37.8,4.6,42.4,10 > 100 ha,,,,,,,,15.0,21.0,10.2,37.1,-7.3,327.0,66.0,3.3,E,Moderate
2000-01-01,Garrotxa,13.0,2.5,20.3,22.7,10 > 100 ha,,,,,,,,14.0,21.4,8.4,39.1,-4.6,617.0,81.0,1.3,SW,Moderate
2000-01-01,Gironès,25.0,4.8,3.6,8.4,0 <10 ha,,,,,,,,16.0,22.4,9.7,36.1,-2.9,393.0,72.0,0.9,S,Very high
2000-01-01,Maresme,31.0,10.4,3.2,13.6,10 > 100 ha,,,,,,,,17.0,21.1,13.5,37.9,2.4,394.0,73.0,2.3,W,High
2000-01-01,Montsià,14.0,4.5,42.4,46.9,10 > 100 ha,,,,,,,,18.0,22.1,14.2,35.2,1.1,472.0,71.0,1.6,NW,High
2000-01-01,Noguera,28.0,40.0,5.3,45.3,10 > 100 ha,,,,,,,,14.0,20.7,8.4,41.4,-6.9,611.0,73.0,0.7,N,High
2000-01-01,Osona,24.0,4.7,4.3,9.1,0 <10 ha,,,,,,,,13.0,20.3,6.7,38.7,-7.6,499.0,71.0,1.3,W,High
2000-01-01,Pallars Jussà,8.0,9.9,9.9,19.8,10 > 100 ha,,,,,,,,13.0,21.1,6.8,39.2,-8.8,575.0,66.0,1.3,SE,Moderate
2000-01-01,Pallars Sobirà,10.0,2.3,67.7,69.9,10 > 100 ha,,,,,,,,13.0,19.7,6.8,36.5,-6.8,590.0,60.0,1.6,SE,Low
2000-01-01,Pla d'Urgell,0.0,0.0,0.0,0.0,,,,,,,,,16.0,22.2,11.4,36.5,-1.4,350.0,74.0,2.7,S,Moderate
2000-01-01,Pla de l'Estany,8.0,0.3,0.0,0.3,0 <10 ha,,,,,,,,14.0,21.4,7.7,37.5,-6.9,356.0,70.0,3.4,SW,High
2000-01-01,Priorat,12.0,2.1,8.0,10.1,10 > 100 ha,,,,,,,,15.0,21.0,10.4,36.2,-4.3,711.0,65.0,2.0,W,Very high
2000-01-01,Ribera d'Ebre,15.0,13.4,34.3,47.7,10 > 100 ha,,,,,,,,17.0,24.3,10.8,40.0,-7.0,425.0,69.0,2.7,E,Very high
2000-01-01,Ripollès,8.0,20.6,32.0,52.6,10 > 100 ha,,,,,,,,10.0,17.6,3.8,36.4,-9.9,843.0,77.0,1.6,SW,Low
2000-01-01,Segarra,0.0,0.0,0.0,0.0,,,,,,,,,14.0,19.1,8.5,38.0,-6.4,446.0,68.0,3.3,W,Moderate
2000-01-01,Segrià,10.0,11.5,16.8,28.3,10 > 100 ha,,,,,,,,15.0,23.7,8.6,39.6,-6.7,282.0,65.0,2.8,E,Moderate
2000-01-01,Selva,63.0,38.5,5.0,43.6,10 > 100 ha,,,,,,,,15.0,21.7,8.5,39.3,-3.9,586.0,75.0,2.1,NW,Very high
2000-01-01,Solsonès,12.0,1.1,0.0,1.1,0 <10 ha,,,,,,,,14.0,20.2,8.1,38.1,-5.1,508.0,66.0,2.2,SW,Very high
2000-01-01,Tarragonès,8.0,25.2,1.4,26.6,10 > 100 ha,,,,,,,,18.0,21.6,13.9,35.7,0.7,367.0,73.0,1.8,S,High
2000-01-01,Terra Alta,8.0,285.6,7.7,293.2,100 > 500 ha,,,,,,,,15.0,19.4,10.5,33.7,-3.5,441.0,60.0,3.4,W,Very high
2000-01-01,Urgell,6.0,1.2,3.0,4.2,0 <10 ha,,,,,,,,14.0,19.7,9.4,38.1,-4.8,373.0,69.0,3.7,SW,Moderate
2000-01-01,Aran,3.0,0.0,0.7,0.7,0 <10 ha,,,,,,,,10.0,17.2,5.3,35.8,-8.5,893.0,73.0,2.0,S,Low
