subregion,annual_avg_temp,average_maximums,average_minimums,outright_maximum,outright_minimum,year
Pallars Sobirà,11.462499999999999,19.724999999999998,5.768750000000001,34.262499999999996,-7.39375,2009-01-01
Pla d'Urgell,15.0,21.6,8.4,37.9,-9.2,2009-01-01
Pla de l'Estany,16.0,22.0,10.4,39.0,-5.4,2009-01-01
Priorat,15.0,21.1,8.7,36.2,-7.7,2009-01-01
Ribera d'Ebre,17.0,23.7,10.4,39.5,-5.6,2009-01-01
Ripollès,10.0,17.7,4.2,33.6,-13.2,2009-01-01
Segarra,13.0,19.2,8.3,36.9,-7.5,2009-01-01
Segrià,14.0,21.2,8.4,36.6,-10.3,2009-01-01
Selva,15.0,22.2,8.3,38.6,-9.7,2009-01-01
Solsonès,13.0,19.3,8.2,36.0,-8.0,2009-01-01
Tarragonès,16.0,21.6,10.8,36.2,-6.5,2009-01-01
Terra Alta,15.0,20.5,9.4,39.9,-5.6,2009-01-01
Urgell,15.0,20.4,9.8,37.6,-7.6,2009-01-01
Aran,10.0,17.5,4.8,34.3,-10.0,2009-01-01
Vallès Occidental,14.0,21.1,8.2,36.8,-6.2,2009-01-01
Vallès Oriental,15.0,21.6,8.7,37.8,-7.2,2009-01-01
Alt Camp,14.0,19.3,9.3,35.7,-3.4,2010-01-01
Alt Empordà,16.0,20.3,10.7,36.0,-3.3,2010-01-01
Alt Penedès,14.0,19.9,9.4,36.8,-3.7,2010-01-01
Alt Urgell,10.0,16.9,4.8,34.5,-9.2,2010-01-01
Alta Ribagorça,9.0,17.2,2.7,34.6,-10.6,2010-01-01
Anoia,14.0,19.2,9.5,34.6,-3.4,2010-01-01
Bages,12.0,19.2,6.0,35.4,-8.9,2010-01-01
Baix Camp,15.0,19.9,11.1,38.4,-2.9,2010-01-01
Baix Ebre,15.0,20.0,11.4,38.3,-1.0,2010-01-01
Baix Empordà,14.0,20.6,8.3,37.1,-6.6,2010-01-01
Baix Llobregat,15.0,20.5,11.2,37.2,-1.9,2010-01-01
Baix Penedès,15.0,20.4,10.3,37.2,-3.0,2010-01-01
Barcelonès,14.0,18.8,11.0,37.9,-3.1,2010-01-01
Berguedà,10.0,16.3,6.0,32.9,-8.9,2010-01-01
Cerdanya,8.0,15.5,0.2,32.1,-17.2,2010-01-01
Conca de Barberà,13.0,19.0,7.8,35.5,-6.2,2010-01-01
Garraf,15.0,20.7,10.9,39.6,-3.0,2010-01-01
Garrigues,13.0,18.5,7.8,36.0,-6.9,2010-01-01
Garrotxa,13.0,19.9,6.8,37.6,-9.4,2010-01-01
Gironès,15.36,21.51904761904762,8.633333333333335,38.07142857142858,-5.380952380952381,2010-01-01
Maresme,16.0,20.0,12.4,32.1,-1.3,2010-01-01
Montsià,16.0,20.5,12.2,32.3,-0.9,2010-01-01
Noguera,14.0,20.7,7.6,38.8,-7.9,2010-01-01
Osona,12.0,18.8,6.2,36.8,-10.2,2010-01-01
Pallars Jussà,12.0,19.3,5.9,38.3,-8.1,2010-01-01
Pallars Sobirà,11.0,19.5,4.7,37.6,-8.0,2010-01-01
Pla d'Urgell,13.0,20.1,7.2,35.8,-7.2,2010-01-01
Pla de l'Estany,15.0,20.2,9.6,38.0,-5.1,2010-01-01
Priorat,14.0,19.7,9.3,37.1,-5.7,2010-01-01
Ribera d'Ebre,16.0,22.5,9.4,39.9,-8.3,2010-01-01
Ripollès,10.0,16.4,3.7,32.7,-13.2,2010-01-01
Segarra,12.0,17.4,6.8,36.8,-11.2,2010-01-01
Segrià,13.0,20.0,7.4,36.6,-8.2,2010-01-01
Selva,14.0,20.6,7.7,39.6,-6.9,2010-01-01
Solsonès,12.0,17.9,7.0,37.0,-7.5,2010-01-01
Tarragonès,16.0,21.2,11.6,39.9,-2.8,2010-01-01
Terra Alta,14.0,19.7,8.7,38.0,-4.7,2010-01-01
Urgell,13.0,19.1,8.6,37.9,-7.0,2010-01-01
Aran,9.0,15.8,3.9,36.3,-12.3,2010-01-01
Vallès Occidental,14.0,19.6,8.6,36.8,-5.8,2010-01-01
Vallès Oriental,14.0,20.5,8.5,38.1,-6.3,2010-01-01
Alt Camp,15.0,20.6,10.5,33.4,-4.2,2011-01-01
Alt Empordà,17.0,21.7,11.8,34.2,-4.5,2011-01-01
Alt Penedès,15.0,21.1,10.3,34.9,-3.9,2011-01-01
Alt Urgell,12.0,19.4,6.2,36.5,-10.9,2011-01-01
Alta Ribagorça,11.0,19.6,3.7,35.7,-13.1,2011-01-01
Anoia,15.0,21.3,10.9,35.9,-4.3,2011-01-01
Bages,14.0,21.7,7.3,38.1,-10.6,2011-01-01
Baix Camp,17.0,21.3,12.4,31.9,-3.4,2011-01-01
Baix Ebre,16.0,21.3,12.5,33.0,-2.3,2011-01-01
Baix Empordà,15.0,22.1,9.4,35.7,-6.5,2011-01-01
Baix Llobregat,16.0,21.8,11.9,37.4,-2.2,2011-01-01
Baix Penedès,16.0,22.0,11.5,34.1,-5.0,2011-01-01
Barcelonès,15.0,19.9,12.3,34.1,-2.4,2011-01-01
Berguedà,12.0,18.7,7.7,34.7,-9.5,2011-01-01
Cerdanya,9.0,18.2,1.3,34.3,-15.6,2011-01-01
Conca de Barberà,14.0,20.9,9.1,37.7,-7.0,2011-01-01
Garraf,17.0,22.4,12.2,36.9,-2.4,2011-01-01
Garrigues,14.0,20.4,8.9,36.4,-7.3,2011-01-01
Garrotxa,14.0,21.2,7.9,37.6,-7.9,2011-01-01
Gironès,15.0,22.2,8.2,36.3,-7.4,2011-01-01
Maresme,17.0,21.1,13.5,32.0,0.0,2011-01-01
Montsià,17.0,21.4,13.2,31.4,-1.9,2011-01-01
Noguera,15.0,22.2,8.8,39.3,-8.3,2011-01-01
Osona,13.0,20.8,6.9,39.0,-8.8,2011-01-01
Pallars Jussà,14.0,21.3,7.2,39.4,-9.6,2011-01-01
Pallars Sobirà,12.0,20.3,5.7,36.8,-9.9,2011-01-01
Pla d'Urgell,15.0,21.7,8.3,39.4,-9.0,2011-01-01
Pla de l'Estany,16.0,21.7,10.6,36.7,-4.7,2011-01-01
Priorat,15.0,21.3,10.8,35.4,-6.3,2011-01-01
Ribera d'Ebre,17.0,23.8,10.5,37.8,-9.4,2011-01-01
Ripollès,11.0,17.5,4.9,32.1,-11.6,2011-01-01
Segarra,13.0,19.6,8.3,38.3,-8.8,2011-01-01
Segrià,15.0,21.3,8.6,37.5,-9.7,2011-01-01
Selva,15.0,22.1,8.7,36.7,-7.4,2011-01-01
Solsonès,14.0,20.4,8.6,38.0,-8.1,2011-01-01
Tarragonès,17.0,22.2,12.9,34.1,-4.0,2011-01-01
Terra Alta,15.0,21.1,9.8,37.3,-5.7,2011-01-01
Urgell,15.0,21.2,9.8,38.6,-7.3,2011-01-01
Aran,10.0,17.0,5.3,34.5,-11.3,2011-01-01
Vallès Occidental,15.0,21.1,9.6,34.8,-5.5,2011-01-01
Vallès Oriental,15.0,21.7,9.2,34.9,-6.7,2011-01-01
Alt Camp,15.0,20.5,9.8,34.4,-4.5,2012-01-01
Alt Empordà,16.0,21.4,11.4,36.2,-4.2,2012-01-01
Alt Penedès,15.0,20.9,9.5,35.6,-5.4,2012-01-01
Alt Urgell,12.0,19.1,5.4,38.3,-10.7,2012-01-01
Alta Ribagorça,10.0,19.2,2.9,37.1,-11.8,2012-01-01
Anoia,15.0,21.1,10.3,36.4,-5.1,2012-01-01
Bages,13.0,21.5,6.5,40.3,-10.1,2012-01-01
Baix Camp,17.0,21.1,12.2,35.5,-2.1,2012-01-01
Baix Ebre,16.0,21.0,12.0,35.0,-2.8,2012-01-01
Baix Empordà,15.0,21.7,8.4,36.9,-6.8,2012-01-01
Baix Llobregat,16.0,21.9,11.3,35.6,-4.6,2012-01-01
Baix Penedès,16.0,21.6,10.4,33.5,-4.2,2012-01-01
Barcelonès,18.0,21.3,15.0,35.1,0.6,2012-01-01
Berguedà,12.0,18.6,7.0,38.4,-11.5,2012-01-01
Cerdanya,9.0,17.8,0.5,36.8,-16.6,2012-01-01
Conca de Barberà,14.0,20.4,8.4,38.2,-5.9,2012-01-01
Garraf,16.0,22.1,11.6,36.4,-3.8,2012-01-01
Garrigues,14.0,19.9,8.5,38.9,-7.6,2012-01-01
Garrotxa,14.0,21.5,6.9,38.8,-9.9,2012-01-01
Gironès,14.0,22.0,7.2,38.0,-9.6,2012-01-01
Maresme,17.0,21.0,12.7,34.2,-2.1,2012-01-01
Montsià,16.0,21.1,12.4,34.0,-0.8,2012-01-01
Noguera,14.0,21.6,7.7,38.6,-10.7,2012-01-01
Osona,12.0,20.6,5.6,40.0,-11.6,2012-01-01
Pallars Jussà,13.0,21.0,6.3,40.3,-11.4,2012-01-01
Pallars Sobirà,12.0,19.9,5.2,38.5,-9.2,2012-01-01
Pla d'Urgell,14.0,21.5,7.5,38.8,-8.9,2012-01-01
Pla de l'Estany,15.0,21.5,9.7,38.0,-7.7,2012-01-01
Priorat,15.0,21.1,10.0,39.8,-6.7,2012-01-01
Ribera d'Ebre,16.0,23.6,9.9,41.0,-7.4,2012-01-01
Ripollès,10.0,17.2,3.4,33.4,-12.5,2012-01-01
Segarra,14.0,19.8,8.3,38.8,-9.2,2012-01-01
Segrià,14.0,21.1,7.8,39.0,-10.3,2012-01-01
Selva,14.0,22.0,7.5,40.2,-9.5,2012-01-01
Solsonès,12.0,18.8,6.8,37.8,-12.1,2012-01-01
Tarragonès,17.0,21.9,12.1,32.8,-4.5,2012-01-01
Terra Alta,14.0,20.6,9.1,40.4,-6.2,2012-01-01
Urgell,15.0,21.1,9.2,39.4,-8.2,2012-01-01
Aran,9.0,16.3,4.4,37.1,-16.5,2012-01-01
Vallès Occidental,15.0,21.0,8.9,38.3,-6.6,2012-01-01
Vallès Oriental,15.0,21.5,8.1,37.9,-8.9,2012-01-01
Alt Camp,14.0,20.2,9.6,33.3,-2.1,2013-01-01
Alt Empordà,16.0,20.8,11.3,35.1,-0.6,2013-01-01
Alt Penedès,15.0,20.8,9.2,33.8,-2.5,2013-01-01
Alt Urgell,11.0,18.0,4.8,32.8,-8.1,2013-01-01
Alta Ribagorça,10.0,18.3,3.0,32.7,-9.9,2013-01-01
Anoia,15.0,21.3,10.0,35.4,-2.3,2013-01-01
Bages,13.0,20.9,6.5,35.5,-6.6,2013-01-01
Baix Camp,17.0,21.5,12.2,34.0,0.2,2013-01-01
Baix Ebre,16.0,20.7,11.8,33.5,-0.9,2013-01-01
Baix Empordà,15.0,21.3,8.5,35.7,-5.8,2013-01-01
Baix Llobregat,16.0,21.5,11.3,33.6,-0.6,2013-01-01
Baix Penedès,16.0,21.4,10.5,33.4,-2.3,2013-01-01
Barcelonès,18.0,21.0,14.8,33.9,1.2,2013-01-01
Berguedà,11.0,17.9,6.4,32.5,-7.5,2013-01-01
Cerdanya,8.0,16.4,0.5,31.4,-13.4,2013-01-01
Conca de Barberà,14.0,19.4,8.2,34.9,-5.2,2013-01-01
Garraf,16.0,21.8,11.3,35.3,-1.2,2013-01-01
Garrigues,13.0,18.8,8.0,33.3,-4.8,2013-01-01
Garrotxa,13.0,20.7,6.7,35.6,-6.3,2013-01-01
Gironès,14.0,21.4,7.4,35.3,-6.1,2013-01-01
Maresme,16.0,20.4,12.7,32.1,0.3,2013-01-01
Montsià,16.0,20.9,12.2,32.4,0.1,2013-01-01
Noguera,14.0,20.4,7.3,35.6,-5.6,2013-01-01
Osona,12.0,19.3,5.7,34.7,-7.6,2013-01-01
Pallars Jussà,12.0,19.7,5.8,35.1,-7.2,2013-01-01
Pallars Sobirà,11.0,18.6,4.7,32.7,-8.5,2013-01-01
Pla d'Urgell,14.0,20.4,7.5,36.5,-5.5,2013-01-01
Pla de l'Estany,15.0,20.9,9.5,36.1,-5.4,2013-01-01
Priorat,14.0,20.2,9.7,35.2,-2.3,2013-01-01
Ribera d'Ebre,16.0,22.6,9.7,37.3,-4.3,2013-01-01
Ripollès,9.0,16.0,3.2,30.3,-10.1,2013-01-01
Segarra,13.0,18.6,7.6,35.7,-5.4,2013-01-01
Segrià,13.0,19.9,7.6,34.5,-5.6,2013-01-01
Selva,14.0,21.5,7.4,36.7,-6.9,2013-01-01
Solsonès,11.0,17.5,6.2,32.8,-7.3,2013-01-01
Tarragonès,17.0,21.9,12.1,34.8,0.7,2013-01-01
Terra Alta,14.0,19.4,8.8,35.8,-4.0,2013-01-01
Urgell,14.0,20.2,8.5,36.6,-4.1,2013-01-01
Aran,9.0,15.0,4.2,32.5,-8.7,2013-01-01
Vallès Occidental,14.0,20.6,8.8,34.7,-3.2,2013-01-01
Vallès Oriental,14.0,21.0,8.1,35.2,-5.1,2013-01-01
Alt Camp,15.0,21.0,10.4,33.9,-0.5,2014-01-01
Alt Empordà,17.0,21.9,12.1,35.0,-0.1,2014-01-01
Alt Penedès,15.0,21.3,10.1,33.4,-0.6,2014-01-01
Alt Urgell,12.0,18.9,5.7,32.8,-5.6,2014-01-01
Alta Ribagorça,11.0,19.2,3.9,32.0,-7.3,2014-01-01
Anoia,16.0,22.0,10.7,36.4,-1.4,2014-01-01
Bages,14.0,21.6,7.3,36.6,-6.5,2014-01-01
Baix Camp,17.0,22.0,12.7,33.7,0.7,2014-01-01
Baix Ebre,16.0,21.2,12.7,34.5,0.8,2014-01-01
Baix Empordà,16.0,22.1,9.4,35.3,-2.7,2014-01-01
Baix Llobregat,17.0,22.1,12.0,33.1,-1.9,2014-01-01
Baix Penedès,16.0,22.0,11.2,32.9,-1.6,2014-01-01
Barcelonès,18.0,21.5,15.4,34.0,4.4,2014-01-01
Berguedà,12.0,18.7,7.3,31.9,-4.1,2014-01-01
Cerdanya,9.0,17.2,1.4,29.9,-11.0,2014-01-01
Conca de Barberà,14.0,20.4,9.2,34.4,-2.5,2014-01-01
Garraf,16.0,21.2,10.4,32.3,-1.7,2014-01-01
Garrigues,14.0,20.0,9.1,34.4,-4.5,2014-01-01
Garrotxa,14.0,21.3,7.6,36.2,-3.6,2014-01-01
Gironès,15.0,22.3,8.4,35.2,-4.4,2014-01-01
Maresme,17.0,21.1,13.5,33.2,2.0,2014-01-01
Montsià,17.0,21.2,13.2,32.1,0.5,2014-01-01
Noguera,15.0,21.7,8.8,35.1,-5.5,2014-01-01
Osona,13.0,20.0,7.0,36.1,-6.6,2014-01-01
Pallars Jussà,13.0,20.2,6.9,35.9,-5.8,2014-01-01
Pallars Sobirà,12.0,19.1,5.6,33.2,-5.7,2014-01-01
Pla d'Urgell,15.0,21.6,8.7,35.8,-6.2,2014-01-01
Pla de l'Estany,16.0,21.7,10.4,35.9,-2.2,2014-01-01
Priorat,16.0,21.4,10.7,38.0,-3.0,2014-01-01
Ribera d'Ebre,17.0,23.8,10.8,39.1,-4.9,2014-01-01
Ripollès,10.0,17.1,4.7,30.5,-6.9,2014-01-01
Segarra,14.0,19.6,8.8,34.4,-4.9,2014-01-01
Segrià,15.0,21.0,9.0,34.6,-6.4,2014-01-01
Selva,15.0,22.1,8.6,35.4,-3.7,2014-01-01
Solsonès,12.0,18.4,7.3,33.1,-6.0,2014-01-01
Tarragonès,17.0,22.2,12.9,34.3,-1.6,2014-01-01
Terra Alta,15.0,20.7,9.9,36.6,-2.4,2014-01-01
Urgell,15.0,21.2,9.8,35.1,-4.1,2014-01-01
Aran,10.0,16.3,5.2,32.7,-8.3,2014-01-01
Vallès Occidental,15.0,21.2,9.7,34.8,-2.7,2014-01-01
Vallès Oriental,15.0,21.8,9.0,34.5,-5.4,2014-01-01
Alt Camp,15.2,21.5,10.1,3.6,-2.9,2015-01-01
Alt Empordà,16.6,21.8,11.7,38.2,-1.4,2015-01-01
Alt Penedès,15.3,21.9,9.7,36.7,-0.3,2015-01-01
Alt Urgell,12.2,20.2,5.7,38.5,-7.7,2015-01-01
Alta Ribagorça,10.8,20.1,3.7,37.1,-8.9,2015-01-01
Anoia,15.7,22.6,10.5,37.9,-2.9,2015-01-01
Aran,9.9,16.9,5.3,35.6,-10.4,2015-01-01
Bages,13.9,22.3,7.1,42.5,-7.4,2015-01-01
Baix Camp,1.7,22.1,12.3,35.6,-1.4,2015-01-01
Baix Ebre,16.1,21.2,12.2,34.8,-0.6,2015-01-01
Baix Empordà,15.4,22.4,0.9,40.3,-4.8,2015-01-01
Baix Llobregat,16.6,22.3,11.8,35.8,0.5,2015-01-01
Baix Penedès,16.2,22.2,10.9,35.2,-2.4,2015-01-01
Barcelonès,18.2,21.7,15.4,35.3,2.9,2015-01-01
Berguedà,12.5,19.8,7.6,39.7,-6.4,2015-01-01
Cerdanya,8.9,18.3,0.9,36.8,-13.1,2015-01-01
Conca de Barberà,14.2,20.8,8.6,39.2,-4.9,2015-01-01
Garraf,15.6,21.7,10.1,35.5,-0.3,2015-01-01
Garrigues,14.3,20.3,8.7,4.1,-8.5,2015-01-01
Garrotxa,1.4,2.2,7.6,40.4,-0.7,2015-01-01
Gironès,14.9,2.3,7.7,41.2,-7.3,2015-01-01
Maresme,16.6,21.1,12.6,35.5,0.2,2015-01-01
Moianès,13.7,18.7,8.6,35.1,-6.0,2015-01-01
Montsià,16.6,21.2,12.6,34.9,0.8,2015-01-01
Noguera,14.5,21.6,8.3,39.5,-7.7,2015-01-01
Osona,12.8,20.9,6.5,40.4,-0.7,2015-01-01
Pallars Jussà,13.4,2.1,6.8,41.3,-6.4,2015-01-01
Pallars Sobirà,11.9,20.1,5.4,36.7,-0.7,2015-01-01
Pla d'Urgell,14.4,21.6,7.8,41.4,-5.6,2015-01-01
Pla de l'Estany,15.7,21.9,10.3,4.3,-4.1,2015-01-01
Priorat,15.4,21.5,10.5,41.5,-4.2,2015-01-01
Ribera d'Ebre,16.4,23.5,10.3,4.1,-5.3,2015-01-01
Ripollès,10.6,18.2,4.4,36.5,-10.3,2015-01-01
Segarra,13.7,2.0,8.4,4.0,-6.6,2015-01-01
Segrià,14.3,20.8,8.5,39.3,-5.6,2015-01-01
Selva,14.8,22.7,0.8,42.9,-6.6,2015-01-01
Solsonès,12.5,1.9,7.1,39.1,-9.2,2015-01-01
Tarragonès,17.2,22.3,12.5,36.1,-1.3,2015-01-01
Terra Alta,14.7,20.6,9.6,39.9,-4.2,2015-01-01
Urgell,14.8,21.5,9.4,42.5,-5.4,2015-01-01
Vallès Occidental,15.5,21.8,9.7,38.9,-4.2,2015-01-01
Vallès Oriental,14.9,2.2,8.8,39.7,-5.5,2015-01-01
Alt Camp,15.3,21.7,10.3,36.8,-0.4,2016-01-01
Alt Empordà,16.6,21.6,11.8,35.5,-0.9,2016-01-01
Alt Penedès,15.2,21.5,9.8,34.9,-0.7,2016-01-01
Alt Urgell,11.7,19.3,5.4,35.9,-7.1,2016-01-01
Alta Ribagorça,10.4,19.5,3.3,35.4,-8.4,2016-01-01
Anoia,15.5,22.4,10.4,38.7,-1.4,2016-01-01
Aran,9.8,16.5,5.2,34.4,-7.8,2016-01-01
Bages,13.8,21.9,7.1,38.2,-6.5,2016-01-01
Baix Camp,1.7,2.2,12.2,37.3,-1.1,2016-01-01
Baix Ebre,1.6,21.1,12.1,38.3,-0.2,2016-01-01
Baix Empordà,15.4,22.1,9.1,36.6,-3.4,2016-01-01
Baix Llobregat,16.7,22.4,11.7,34.6,-0.2,2016-01-01
Baix Penedès,16.2,21.9,10.9,33.7,-1.2,2016-01-01
Barcelonès,18.2,21.5,15.4,33.5,4.6,2016-01-01
Berguedà,12.1,19.4,7.2,36.4,-6.6,2016-01-01
Cerdanya,8.7,17.8,0.8,34.3,-12.7,2016-01-01
Conca de Barberà,13.9,20.4,8.6,36.7,-3.1,2016-01-01
Garraf,15.5,21.3,10.1,34.2,-0.2,2016-01-01
Garrigues,13.9,19.9,8.6,37.3,-3.1,2016-01-01
Garrotxa,13.057142857142859,20.014285714285716,7.06190476190476,38.2,-6.823809523809524,2016-01-01
Gironès,14.8,22.6,7.8,36.3,-0.7,2016-01-01
Maresme,16.6,21.1,12.6,36.1,0.1,2016-01-01
Moianès,13.7,18.7,8.6,35.1,-6.0,2016-01-01
Montsià,16.5,20.9,12.7,37.1,1.2,2016-01-01
Noguera,14.3,21.1,8.1,38.2,-6.1,2016-01-01
Osona,12.8,20.5,6.6,37.8,-7.7,2016-01-01
Pallars Jussà,13.023809523809524,19.704761904761906,6.685714285714286,38.809523809523796,-8.509523809523811,2016-01-01
Pallars Sobirà,11.6,19.5,5.1,3.5,-7.5,2016-01-01
Pla d'Urgell,14.3,21.1,8.1,37.8,-6.1,2016-01-01
Pla de l'Estany,15.4,21.6,10.1,37.6,-2.6,2016-01-01
Priorat,1.5,2.1,10.2,3.9,-2.4,2016-01-01
Ribera d'Ebre,16.4,23.3,10.4,41.6,-3.6,2016-01-01
Ripollès,10.4,17.6,4.4,33.8,-7.5,2016-01-01
Segarra,13.4,19.4,8.2,36.8,-5.6,2016-01-01
Segrià,1.4,20.5,8.3,37.2,-5.6,2016-01-01
Selva,14.8,22.3,8.1,39.3,-5.8,2016-01-01
Solsonès,12.4,1.9,6.9,36.8,-5.5,2016-01-01
Tarragonès,17.3,22.4,12.7,34.5,0.1,2016-01-01
Terra Alta,14.4,20.5,9.3,37.4,-3.8,2016-01-01
Urgell,14.5,2.1,9.2,38.4,-3.7,2016-01-01
Vallès Occidental,15.4,21.5,9.7,36.2,-2.2,2016-01-01
Vallès Oriental,14.9,21.5,8.8,37.2,-5.2,2016-01-01
Alt Camp,15.8,22.2,10.4,38.5,-3.6,2017-01-01
Alt Empordà,16.7,2.2,11.6,37.6,-3.2,2017-01-01
Alt Penedès,15.1,21.8,9.4,37.4,-3.1,2017-01-01
Alt Urgell,12.2,20.2,5.4,36.6,-10.2,2017-01-01
Alta Ribagorça,10.5,20.2,0.3,35.2,-12.6,2017-01-01
Anoia,15.5,22.3,10.3,37.9,-3.7,2017-01-01
Aran,9.7,16.8,4.8,33.8,-12.3,2017-01-01
Bages,13.7,22.3,6.6,40.2,-9.1,2017-01-01
Baix Camp,16.9,22.1,11.7,34.6,-2.4,2017-01-01
Baix Ebre,16.3,21.8,1.2,37.6,-1.1,2017-01-01
Baix Empordà,15.3,22.3,8.8,36.8,-5.2,2017-01-01
Baix Llobregat,16.5,22.6,11.5,36.3,-1.6,2017-01-01
Baix Penedès,16.3,22.4,10.6,38.9,-4.1,2017-01-01
Barcelonès,18.2,21.6,15.2,35.9,2.8,2017-01-01
Berguedà,12.5,19.9,7.3,37.8,-7.1,2017-01-01
Cerdanya,9.8,17.4,3.5,33.7,-1.5,2017-01-01
Conca de Barberà,14.2,2.1,8.3,3.8,-5.3,2017-01-01
Garraf,15.4,21.6,9.8,36.6,-4.2,2017-01-01
Garrigues,14.1,20.5,8.2,37.3,-6.8,2017-01-01
Garrotxa,13.5,21.3,6.6,3.7,-8.5,2017-01-01
Gironès,14.7,23.1,7.3,38.4,-8.1,2017-01-01
Maresme,16.5,2.1,12.4,33.7,-0.2,2017-01-01
Moianès,13.7,18.7,8.6,35.1,-6.0,2017-01-01
Montsià,16.5,21.3,12.4,3.4,0.6,2017-01-01
Noguera,14.2,21.6,7.7,37.8,-8.7,2017-01-01
Osona,12.9,2.1,6.3,39.2,-8.1,2017-01-01
Pallars Jussà,13.3,21.4,6.6,38.3,-8.5,2017-01-01
Pallars Sobirà,1.2,20.4,4.9,36.3,-8.1,2017-01-01
Pla d'Urgell,14.2,21.7,7.2,38.2,-9.1,2017-01-01
Pla de l'Estany,15.6,22.1,10.1,37.7,-0.5,2017-01-01
Priorat,15.4,21.7,10.2,39.5,-6.1,2017-01-01
Ribera d'Ebre,16.5,24.1,9.8,41.7,-0.6,2017-01-01
Ripollès,10.5,18.2,4.1,34.9,-10.9,2017-01-01
Segarra,13.6,19.9,8.2,3.7,-8.3,2017-01-01
Segrià,1.4,21.2,7.7,38.7,-8.3,2017-01-01
Selva,14.7,22.6,7.6,37.8,-7.9,2017-01-01
Solsonès,12.6,19.2,0.7,36.7,-8.5,2017-01-01
Tarragonès,17.3,22.3,12.5,36.4,-3.3,2017-01-01
Terra Alta,14.9,21.2,9.5,37.9,-0.5,2017-01-01
Urgell,14.7,21.4,0.9,38.6,-7.2,2017-01-01
Vallès Occidental,15.4,21.7,9.4,37.7,-4.9,2017-01-01
Vallès Oriental,14.9,21.9,8.5,36.6,-6.2,2017-01-01
Alt Camp,15.7,21.3,11.1,38.5,-1.5,2018-01-01
Alt Empordà,17.1,22.4,1.2,39.3,-2.4,2018-01-01
Alt Penedès,15.2,21.3,10.2,38.5,-1.8,2018-01-01
Alt Urgell,11.7,1.9,5.9,36.7,-10.4,2018-01-01
Alta Ribagorça,10.1,18.9,3.6,35.9,-11.7,2018-01-01
Anoia,15.4,21.7,10.7,38.8,-2.3,2018-01-01
Aran,9.6,16.1,4.9,32.1,-10.2,2018-01-01
Bages,13.7,21.3,7.5,3.9,-6.6,2018-01-01
Baix Camp,1.7,21.8,12.2,37.8,-0.2,2018-01-01
Baix Ebre,16.4,21.6,12.4,39.2,-0.1,2018-01-01
Baix Empordà,15.6,22.2,9.5,37.4,-0.4,2018-01-01
Baix Llobregat,16.7,22.4,1.2,39.2,-0.3,2018-01-01
Baix Penedès,16.6,22.5,11.4,38.6,-1.9,2018-01-01
Barcelonès,18.2,21.6,15.4,36.9,0.1,2018-01-01
Berguedà,11.7,18.4,7.2,35.9,-8.2,2018-01-01
Cerdanya,9.3,16.3,3.7,31.1,-14.8,2018-01-01
Conca de Barberà,14.3,20.3,0.9,38.2,-3.9,2018-01-01
Garraf,15.7,21.4,10.5,37.7,-2.3,2018-01-01
Garrigues,14.3,20.3,8.9,38.4,-4.8,2018-01-01
Garrotxa,13.3,20.6,0.7,36.3,-8.1,2018-01-01
Gironès,14.8,22.5,0.8,38.1,-5.7,2018-01-01
Maresme,16.5,20.9,12.6,35.2,-0.3,2018-01-01
Moianès,13.7,18.7,8.6,35.1,-6.0,2018-01-01
Montsià,16.9,21.5,12.8,34.7,0.3,2018-01-01
Noguera,14.5,21.3,8.6,37.2,-5.8,2018-01-01
Osona,12.6,19.7,7.1,36.1,-6.1,2018-01-01
Pallars Jussà,12.8,19.9,7.2,36.7,-6.5,2018-01-01
Pallars Sobirà,11.7,19.1,5.7,35.6,-7.7,2018-01-01
Pla d'Urgell,14.6,21.4,8.4,38.7,-6.8,2018-01-01
Pla de l'Estany,15.6,21.6,10.5,3.8,-3.9,2018-01-01
Priorat,15.1,21.3,10.2,39.5,-3.9,2018-01-01
Ribera d'Ebre,16.6,23.7,10.6,41.6,-4.8,2018-01-01
Ripollès,10.4,17.2,4.8,31.5,-1.1,2018-01-01
Segarra,13.5,19.3,8.7,37.1,-5.4,2018-01-01
Segrià,14.4,20.8,8.6,37.2,-6.5,2018-01-01
Selva,1.5,22.3,8.8,39.2,-5.5,2018-01-01
Solsonès,12.3,18.1,7.4,35.3,-7.6,2018-01-01
Tarragonès,17.5,22.4,12.9,39.5,-0.3,2018-01-01
Terra Alta,14.6,20.6,9.7,37.8,-3.5,2018-01-01
Urgell,14.5,20.8,9.5,38.3,-4.8,2018-01-01
Vallès Occidental,15.3,21.2,9.9,3.8,-3.1,2018-01-01
Vallès Oriental,15.2,21.8,9.4,37.6,-3.7,2018-01-01
Alt Camp,16.0,21.8,10.6,38.6,-0.4,2019-01-01
Alt Empordà,17.0,22.1,11.6,40.9,-1.4,2019-01-01
Alt Penedès,15.0,21.9,9.5,38.4,-1.6,2019-01-01
Alt Urgell,12.0,20.2,5.3,39.0,-7.1,2019-01-01
Alta Ribagorça,10.0,20.0,2.8,38.3,-9.4,2019-01-01
Anoia,16.0,22.5,10.4,39.8,-2.1,2019-01-01
Aran,10.0,16.5,4.7,36.5,-10.0,2019-01-01
Bages,14.0,22.3,6.7,42.9,-6.8,2019-01-01
Baix Camp,17.0,22.1,11.5,34.4,-1.9,2019-01-01
