subregion,annual_avg_temp,average_maximums,average_minimums,outright_maximum,outright_minimum,year
Baix Ebre,17.0,21.9,13.2,35.7,1.8,2002-01-01
Baix Empordà,15.0,22.2,9.1,33.5,-2.8,2002-01-01
Baix Llobregat,16.0,22.0,11.4,38.5,2.1,2002-01-01
Baix Penedès,17.0,21.9,11.9,32.9,1.3,2002-01-01
Barcelonès,15.0,19.5,12.2,33.6,3.1,2002-01-01
Berguedà,11.0,18.8,4.7,34.1,-8.3,2002-01-01
Cerdanya,10.0,18.1,2.9,34.6,-10.8,2002-01-01
Conca de Barberà,15.0,20.4,9.2,36.1,-3.1,2002-01-01
Garraf,18.0,21.3,14.4,30.9,5.2,2002-01-01
Garrigues,15.0,20.7,10.2,36.2,-2.2,2002-01-01
Garrotxa,14.0,20.8,8.6,35.5,-4.1,2002-01-01
Gironès,16.0,22.3,10.9,35.8,-1.7,2002-01-01
Maresme,17.0,21.5,13.8,31.8,5.2,2002-01-01
Montsià,17.0,20.7,12.8,30.5,1.9,2002-01-01
Noguera,15.0,21.1,8.7,37.7,-3.6,2002-01-01
Osona,13.0,19.4,7.0,35.5,-5.5,2002-01-01
Pallars Jussà,13.0,20.2,7.0,37.6,-7.1,2002-01-01
Pallars Sobirà,13.0,19.6,7.5,35.6,-6.3,2002-01-01
Pla d'Urgell,14.0,21.0,7.9,37.1,-4.0,2002-01-01
Pla de l'Estany,16.0,21.3,10.8,34.7,-1.0,2002-01-01
Priorat,15.0,20.7,10.3,36.5,0.1,2002-01-01
Ribera d'Ebre,17.0,23.8,11.1,39.5,-1.7,2002-01-01
Ripollès,10.0,16.7,4.3,31.1,-9.1,2002-01-01
Segarra,13.0,18.7,8.2,36.6,-2.6,2002-01-01
Segrià,14.0,20.2,8.6,35.6,-3.9,2002-01-01
Selva,15.0,21.5,9.2,33.6,-2.7,2002-01-01
Solsonès,13.0,19.5,7.2,37.0,-3.7,2002-01-01
Tarragonès,17.0,21.9,13.3,34.5,2.6,2002-01-01
Terra Alta,15.0,19.9,11.2,35.0,-1.4,2002-01-01
Urgell,14.0,19.7,9.5,36.6,-4.5,2002-01-01
Aran,9.0,15.8,4.9,33.1,-7.0,2002-01-01
Vallès Occidental,15.0,21.2,9.7,34.4,-2.5,2002-01-01
Vallès Oriental,16.0,23.5,9.7,38.5,-2.5,2002-01-01
Alt Camp,16.0,21.9,11.3,38.8,-2.5,2003-01-01
Alt Empordà,18.0,22.8,12.5,41.0,-3.6,2003-01-01
Alt Penedès,16.0,22.1,10.2,38.8,-2.1,2003-01-01
Alt Urgell,12.0,19.3,6.3,37.2,-9.7,2003-01-01
Alta Ribagorça,11.0,18.9,4.1,36.4,-11.8,2003-01-01
Anoia,16.0,21.5,11.1,37.4,-1.5,2003-01-01
Bages,14.0,21.3,7.7,38.8,-7.4,2003-01-01
Baix Camp,16.0,21.3,11.9,36.3,-0.7,2003-01-01
Baix Ebre,17.0,22.0,13.1,38.4,-0.9,2003-01-01
Baix Empordà,16.0,22.7,9.5,41.3,-5.7,2003-01-01
Baix Llobregat,16.0,22.1,11.6,39.8,-2.2,2003-01-01
Baix Penedès,17.0,22.6,12.5,37.6,-1.6,2003-01-01
Barcelonès,16.0,20.4,12.7,39.2,-1.1,2003-01-01
Berguedà,12.0,19.7,5.2,38.1,-10.5,2003-01-01
Cerdanya,9.0,16.9,2.1,33.6,-16.6,2003-01-01
Conca de Barberà,15.0,20.5,9.8,38.1,-3.5,2003-01-01
Garraf,18.0,21.6,14.7,34.0,1.8,2003-01-01
Garrigues,16.0,21.4,11.0,37.8,-4.8,2003-01-01
Garrotxa,14.0,20.9,8.2,38.9,-6.8,2003-01-01
Gironès,16.0,22.6,10.9,41.2,-3.7,2003-01-01
Maresme,17.0,21.6,13.7,37.4,1.0,2003-01-01
Montsià,17.0,21.0,13.2,32.8,0.0,2003-01-01
Noguera,15.0,21.8,9.2,38.7,-8.0,2003-01-01
Osona,13.0,19.7,7.0,38.8,-8.0,2003-01-01
Pallars Jussà,14.0,20.8,7.8,39.6,-8.5,2003-01-01
Pallars Sobirà,14.0,20.3,8.1,37.3,-7.2,2003-01-01
Pla d'Urgell,15.0,21.8,8.4,38.4,-7.1,2003-01-01
Pla de l'Estany,16.0,21.6,10.8,40.7,-3.7,2003-01-01
Priorat,15.0,20.7,10.1,39.5,-4.4,2003-01-01
Ribera d'Ebre,17.0,24.3,11.2,41.1,-5.8,2003-01-01
Ripollès,11.0,17.7,4.6,35.9,-11.1,2003-01-01
Segarra,14.0,19.5,8.9,37.4,-6.1,2003-01-01
Segrià,14.0,20.5,8.9,37.3,-7.6,2003-01-01
Selva,15.0,21.9,9.3,40.9,-4.3,2003-01-01
Solsonès,13.0,19.7,7.5,38.3,-7.8,2003-01-01
Tarragonès,18.0,21.8,12.9,35.2,-3.2,2003-01-01
Terra Alta,16.0,20.3,11.6,37.5,-5.1,2003-01-01
Urgell,15.0,19.9,9.8,37.7,-5.3,2003-01-01
Aran,10.0,16.8,5.2,36.1,-12.0,2003-01-01
Vallès Occidental,16.0,21.7,10.3,38.6,-3.5,2003-01-01
Vallès Oriental,15.0,22.8,8.6,39.8,-4.6,2003-01-01
Alt Camp,15.0,21.0,10.4,34.7,-1.1,2004-01-01
Alt Empordà,16.0,20.4,11.2,36.8,-2.4,2004-01-01
Alt Penedès,15.0,21.5,9.6,36.5,-2.6,2004-01-01
Alt Urgell,12.0,18.8,5.3,35.3,-8.7,2004-01-01
Alta Ribagorça,10.0,18.6,3.0,34.9,-9.8,2004-01-01
Anoia,14.0,20.1,9.8,36.8,-3.4,2004-01-01
Bages,13.0,20.4,6.6,37.0,-8.5,2004-01-01
Baix Camp,15.0,20.4,11.1,35.6,-1.1,2004-01-01
Baix Ebre,16.0,21.1,12.1,35.7,0.0,2004-01-01
Baix Empordà,15.0,21.5,8.9,36.2,-4.0,2004-01-01
Baix Llobregat,16.0,21.7,11.2,36.7,-2.2,2004-01-01
Baix Penedès,16.0,21.5,11.2,34.3,-1.4,2004-01-01
Barcelonès,15.0,19.5,11.8,34.9,-0.9,2004-01-01
Berguedà,10.0,18.4,4.0,37.7,-9.2,2004-01-01
Cerdanya,8.0,17.1,0.8,34.2,-12.0,2004-01-01
Conca de Barberà,13.0,18.7,8.1,34.0,-3.5,2004-01-01
Garraf,18.0,21.0,14.3,33.2,0.9,2004-01-01
Garrigues,13.0,18.8,8.1,35.6,-4.8,2004-01-01
